protein_id	normalized_id	combined_bitscore	combined_evalue
SY366YW-0-4_bin34_SY366YW-0-4_bin34-k141_1276861_15	SY366YW-0-4_bin34-k141_1276861_15	961.3	3.3e-288
C1_12-18_bin19_C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19-k141_2550623_11	958.5	2.2e-287
SY459WG-4-8_bin8_SY459WG-4-8_bin8-k141_320908_36	SY459WG-4-8_bin8-k141_320908_36	957.3	5.2e-287
C2_12-18_bin11_C2_12-18_bin11-k141_1404867_2	C2_12-18_bin11-k141_1404867_2	935.5	2e-280
S13_0-2_bin3_S13_0-2_bin3-k141_1059512_3	S13_0-2_bin3-k141_1059512_3	928.9	2e-278
C2_12-18_bin17_C2_12-18_bin17-k141_1448372_1	C2_12-18_bin17-k141_1448372_1	923.9	6.3e-277
SY366YB-0-4_bin3_SY366YB-0-4_bin3-k141_281514_2	SY366YB-0-4_bin3-k141_281514_2	855.9	2.2e-256
S1_9-12_bin1_S1_9-12_bin1-k141_675749_2	S1_9-12_bin1-k141_675749_2	808.1	6.4e-242
SY459WG-4-8_bin39_SY459WG-4-8_bin39-k141_681176_50	SY459WG-4-8_bin39-k141_681176_50	806.0	2.7e-241
C1_12-18_bin24_C1_12-18_bin24-k141_2459344_2	C1_12-18_bin24-k141_2459344_2	788.2	6.5e-236
SY459WG-0-4_bin26_SY459WG-0-4_bin26-k141_460220_2	SY459WG-0-4_bin26-k141_460220_2	787.4	1.1e-235
SY366YW-0-4_bin2_SY366YW-0-4_bin2-k141_1353278_2	SY366YW-0-4_bin2-k141_1353278_2	783.9	1.3e-234
SY368YW-8-12_bin16_SY368YW-8-12_bin16-k141_314641_4	SY368YW-8-12_bin16-k141_314641_4	776.8	1.9e-232
SQ_58_0-4_bin4_SQ_58_0-4_bin4-k141_1629246_3	SQ_58_0-4_bin4-k141_1629246_3	776.6	2.1e-232
SY368YW-8-12_bin14_SY368YW-8-12_bin14-k141_222555_4	SY368YW-8-12_bin14-k141_222555_4	775.5	4.5e-232
