protein_id	combined_bitscore	combined_evalue	idrA_bitscore	idrA_evalue	aioA_bitscore	aioA_evalue	idrA_minus_aioA	hmm_score_note
IS|SY368YW-8-12_bin14-k141_222555_4	775.5	1.7e-235	864.9	1.6e-262	475.0	1e-144	389.9	idrA_model_higher
IS|SY368YW-8-12_bin16-k141_314641_4	776.8	7.2e-236	871.9	1.2e-264	482.3	6.8e-147	389.6	idrA_model_higher
IS|SY368YW-8-12_bin33-k141_1103131_193	987.6	1.3e-299	1382.6	0.0	461.4	1.4e-140	921.2	idrA_model_higher
IS|SY456YB-0-4_bin8-k141_492248_42	990.0	2.5e-300	1395.7	0.0	454.9	1.2e-138	940.8	idrA_model_higher
IS|SY456YB-4-8_bin24-k141_314185_12	963.4	2.7e-292	1383.4	0.0	465.4	8.5e-142	918.0	idrA_model_higher
IS|SY456YB-8-12_bin27-k141_1029503_28	997.1	1.8e-302	1395.5	0.0	461.9	9.9e-141	933.6	idrA_model_higher
IS|SY456YB-8-12_bin34-k141_963697_76	994.2	1.4e-301	1396.5	0.0	464.0	2.2e-141	932.5	idrA_model_higher
IS|SY456YB-8-12_bin4-k141_708485_189	972.3	5.8e-295	1373.4	0.0	447.0	3e-136	926.4	idrA_model_higher
IS|SY456YB-8-12_bin5-k141_222164_2	988.2	8.7e-300	1386.1	0.0	472.5	6.2e-144	913.6	idrA_model_higher
IS|SY457BB-0-4_bin2-k141_509701_9	965.1	8.3e-293	1386.1	0.0	470.0	3.4e-143	916.1	idrA_model_higher
IS|SY457BB-0-4_bin35-k141_455312_8	982.4	5e-298	1399.6	0.0	455.5	8.3e-139	944.1	idrA_model_higher
IS|SY457BB-0-4_bin6-k141_196093_82	989.2	4.3e-300	1391.3	0.0	463.4	3.3e-141	927.9	idrA_model_higher
IS|SY457BB-4-8_bin29-k141_12975_7	982.2	5.9e-298	1383.8	0.0	450.2	3.3e-137	933.6	idrA_model_higher
IS|SY457BB-4-8_bin33-k141_110702_26	989.2	4.4e-300	1390.6	0.0	467.3	2.2e-142	923.3	idrA_model_higher
IS|SY457BB-8-12_bin10-k141_377897_3	981.5	9.3e-298	1381.5	0.0	452.3	7.5e-138	929.2	idrA_model_higher
IS|SY457BB-8-12_bin15-k141_1498167_38	994.3	1.2e-301	1395.4	0.0	462.7	5.4e-141	932.7	idrA_model_higher
IS|SY457BB-8-12_bin16-k141_1142550_1	992.4	4.8e-301	1394.8	0.0	460.0	3.6e-140	934.8	idrA_model_higher
IS|SY457BB-8-12_bin25-k141_129537_12	990.7	1.6e-300	1388.8	0.0	462.2	8.1e-141	926.6	idrA_model_higher
IS|SY457BB-8-12_bin4-k141_1432391_5	991.0	1.2e-300	1391.3	0.0	460.2	3.1e-140	931.1	idrA_model_higher
IS|SY459WG-0-4_bin26-k141_460220_2	787.4	4.2e-239	856.7	4.7e-260	481.0	1.6e-146	375.7	idrA_model_higher
IS|SY459WG-0-4_bin37-k141_569169_31	994.7	1e-301	1391.1	0.0	470.3	2.8e-143	920.8	idrA_model_higher
IS|SY459WG-4-8_bin39-k141_681176_50	806.0	1e-244	896.1	6.2e-272	510.2	2.4e-155	385.9	idrA_model_higher
IS|SY459WG-4-8_bin8-k141_320908_36	957.3	1.9e-290	1381.2	0.0	463.7	2.7e-141	917.5	idrA_model_higher
IS|SY459WG-8-12_bin19-k141_364478_5	978.8	6.3e-297	1364.2	0.0	456.2	5.1e-139	908.0	idrA_model_higher
IS|SY459WG-8-12_bin2-k141_281775_92	988.4	7.6e-300	1384.4	0.0	462.8	5.3e-141	921.6	idrA_model_higher
AS|S1_9-12_bin1-k141_637215_2	1087.1	0.0	365.8	1.1e-111	1204.3	0.0	-838.5	aioA_model_higher
AS|S1_9-12_bin1-k141_675749_2	808.1	2.4e-245	1159.3	0.0	360.0	6.1e-110	799.3	idrA_model_higher
AS|SQ_58_0-4_bin4-k141_1629246_3	776.6	7.8e-236	855.0	1.6e-259	489.3	5.1e-149	365.7	idrA_model_higher
ES|C1_12-18_bin19-k141_2550623_11	958.5	8.3e-291	1383.4	0.0	436.6	4.3e-133	946.8	idrA_model_higher
ES|C1_12-18_bin24-k141_2459344_2	788.2	2.4e-239	1133.1	0.0	352.5	1.1e-107	780.6	idrA_model_higher
ES|C2_12-18_bin11-k141_1404867_2	935.5	7.7e-284	1304.0	0.0	448.5	1.1e-136	855.5	idrA_model_higher
ES|C2_12-18_bin17-k141_1448372_1	923.9	2.4e-280	1321.0	0.0	436.6	4.4e-133	884.4	idrA_model_higher
ES|S13_0-2_bin3-k141_1059512_3	928.9	7.7e-282	1364.4	0.0	395.6	1.1e-120	968.8	idrA_model_higher
ES|S15_8-10_bin20-k141_2063280_11	961.7	9.4e-292	1376.8	0.0	445.3	1e-135	931.5	idrA_model_higher
NS|R2111_N500_0-10_bin13-k141_4404301_3	780.4	5.8e-237	874.2	2.5e-265	487.3	2.1e-148	386.9	idrA_model_higher
NS|R2111_S300_0-10_bin19-k141_825759_6	969.5	4.1e-294	463.6	3.1e-141	1006.4	2.4e-305	-542.8	aioA_model_higher
