class	accession	source_tree_header	source_tree_file	fetch_status	failure_reason	cds_header	cds_length_nt	protein_length_aa	cds_sha256	protein_sha256
NapA	CAR3411937.1	NapA|CAR3411937.1 Periplasmic nitrate reductase [Mesocricetibacter sp.]	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/broad_idra_dmsor_refs.large_subunit.filtered.faa	PASS_exact		lcl|CEWRUH010000028.1_cds_CAR3411937.1_1 [locus_tag=HMCMC_NFKGLK_01230] [protein=Periplasmic nitrate reductase] [protein_id=CAR3411937.1] [location=28921..31407] [gbkey=CDS]	2487	828	3815ac8fa97865e46e186aa56ac6100503d56abb1290a9e91d46978ef2d9af7d	a0ffda533f4082d98023372b52319d6aa7973a78fd027333c5a47c875bd4214f
NapA	CAQ2012931.1	NapA|CAQ2012931.1 Periplasmic nitrate reductase [Pseudomonadaceae bacterium]	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/broad_idra_dmsor_refs.large_subunit.filtered.faa	PASS_exact		lcl|CEVHLT010000036.1_cds_CAQ2012931.1_1 [locus_tag=HMCMC_LHJAAP_01626] [protein=Periplasmic nitrate reductase] [protein_id=CAQ2012931.1] [location=complement(843..4886)] [gbkey=CDS]	4044	1347	86267fd9fcb29db07095b838a65a1ff661283138040d9d23027d12ceea81d255	fa40c2fb6dfdd95ef470094fdcc233dc3acf39456ed4369c62b9a6c4569ba585
NapA	CAQ9226582.1	NapA|CAQ9226582.1 MAG: Periplasmic nitrate reductase [Mesocricetibacter sp.]	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/broad_idra_dmsor_refs.large_subunit.filtered.faa	PASS_exact		lcl|CEVUMP010000108.1_cds_CAQ9226582.1_1 [locus_tag=HMCMC_IDNGIJ_01938] [protein=Periplasmic nitrate reductase] [protein_id=CAQ9226582.1] [location=6433..8919] [gbkey=CDS]	2487	828	7969f1b43531c1f260e47cce627750a0536b258b6720e6d3437189f73cdd15fc	28859bf7dcbb6b3a6b6c016708f2d3fa0d69d6d762afebe2a465d0a0d839a2af
ArrA	WP_011790217.1	R050__ArrA__WP_011790217.1	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/ColdSeep_K08356_plus_Fig5_plus_broad_DMSOR_refs_refDedup_shortLabels_allNonstandardToX.faa	FAIL	no_fasta_cds_na_returned		0	854		6afa92b39a0f9902004a39bdce35eea325df832f0dac06e5ef7e795b64717fda
ArrA	WP_014610142.1	R051__ArrA__WP_014610142.1	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/ColdSeep_K08356_plus_Fig5_plus_broad_DMSOR_refs_refDedup_shortLabels_allNonstandardToX.faa	FAIL	no_fasta_cds_na_returned		0	854		c9a9669dd799ace460e283e6e704e0d4dcf4121a60003ed090d0a2c9976f6da2
ArrA	WP_013345579.1	R052__ArrA__WP_013345579.1	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/ColdSeep_K08356_plus_Fig5_plus_broad_DMSOR_refs_refDedup_shortLabels_allNonstandardToX.faa	FAIL	no_fasta_cds_na_returned		0	854		2f8c4075b85cd5655f518e0de5b6e63486a37b267b64d44c60d3c6ab39709aec
ArrA	WP_012158954.1	R053__ArrA__WP_012158954.1	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/ColdSeep_K08356_plus_Fig5_plus_broad_DMSOR_refs_refDedup_shortLabels_allNonstandardToX.faa	FAIL	no_fasta_cds_na_returned		0	850		c154bb3602ced344269537b7e69b2d67c6a5852f9a2d7ecec55119d7394a682d
ArrA	WP_012062249.1	R054__ArrA__WP_012062249.1	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/ColdSeep_K08356_plus_Fig5_plus_broad_DMSOR_refs_refDedup_shortLabels_allNonstandardToX.faa	FAIL	no_fasta_cds_na_returned		0	853		d43847a848bfebe04a4c9db5d66c905d1037e990c3975a3b59a85d49bfc0f310
ArrA	ACF74513.1	R055__ArrA__ACF74513.1	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/ColdSeep_K08356_plus_Fig5_plus_broad_DMSOR_refs_refDedup_shortLabels_allNonstandardToX.faa	PASS_exact		lcl|EU723191.1_cds_ACF74513.1_1 [gene=arrA] [protein=arsenate respiratory reductase catalytic subunit] [protein_id=ACF74513.1] [location=518..3082] [gbkey=CDS]	2565	854	ac17aa9e41f51ea9d1cf00a17e139b57c82c4d15472f7178df5d0c6101d42b3d	e76ba2ebce2ea13298b643824b834e5b2c9e612acad30b329c3b19279fa4728c
ArrA	WP_012447122.1	R056__ArrA__WP_012447122.1	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/ColdSeep_K08356_plus_Fig5_plus_broad_DMSOR_refs_refDedup_shortLabels_allNonstandardToX.faa	FAIL	no_fasta_cds_na_returned		0	866		8d95db457db9dea60fbd5d1ed3aa01a2ab6cdcd18868cf590a63ca9a34fbb5a2
ArrA	WP_015943299.1	R057__ArrA__WP_015943299.1	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/ColdSeep_K08356_plus_Fig5_plus_broad_DMSOR_refs_refDedup_shortLabels_allNonstandardToX.faa	FAIL	no_fasta_cds_na_returned		0	843		593d7499a300669f857b6f032766fd146ad18190f959872dccde8e5988b9dd58
ArrA	WP_011138677.1	R058__ArrA__WP_011138677.1	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/ColdSeep_K08356_plus_Fig5_plus_broad_DMSOR_refs_refDedup_shortLabels_allNonstandardToX.faa	FAIL	no_fasta_cds_na_returned		0	848		5685dde62af82485d2ae60b089c2ff289d0813d4968d8672e585324747349f9c
ArrA	AAU11840.2	R059__ArrA__AAU11840.2	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/ColdSeep_K08356_plus_Fig5_plus_broad_DMSOR_refs_refDedup_shortLabels_allNonstandardToX.faa	PASS_exact		lcl|AY660884.2_cds_AAU11840.2_1 [gene=arrA] [protein=arsenate respiratory reductase] [frame=3] [protein_id=AAU11840.2] [location=<1..>2223] [gbkey=CDS]	2221	740	b689e7ca0fda416afdb191afd39f57fe85449e82ee110812c61273dd041801f8	6dc01d60ba3bea0a5faba96f227ec29d21ef910d363c181b4ff99fe98a334e64
ArrA	WP_013505023.1	R060__ArrA__WP_013505023.1	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/ColdSeep_K08356_plus_Fig5_plus_broad_DMSOR_refs_refDedup_shortLabels_allNonstandardToX.faa	FAIL	no_fasta_cds_na_returned		0	845		2e20e948445aaf51f99301043a09c0f7d355cf7863115cdddaaf833146a97085
ArrA	AAU11839.1	R061__ArrA__AAU11839.1	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/ColdSeep_K08356_plus_Fig5_plus_broad_DMSOR_refs_refDedup_shortLabels_allNonstandardToX.faa	PASS_exact		lcl|AY660883.1_cds_AAU11839.1_1 [gene=arrA] [protein=arsenate respiratory reductase] [protein_id=AAU11839.1] [location=301..2841] [gbkey=CDS]	2541	846	fee16320e99bc8921942a4a619099bc7f132bcbce645d5d3a6eed9105381779e	0c1e3d11b7564300296e83e69bd2c4fd15be259cd3c65ffa1d5df681ce419915
ArrA	WP_012469220.1	R062__ArrA__WP_012469220.1	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/ColdSeep_K08356_plus_Fig5_plus_broad_DMSOR_refs_refDedup_shortLabels_allNonstandardToX.faa	FAIL	no_fasta_cds_na_returned		0	856		897907d9535b5c7bb3a189789c9ee6d64b31a384ba9036c1cad1bc0a4dedf9eb
ArrA	WP_013011386.1	R063__ArrA__WP_013011386.1	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/ColdSeep_K08356_plus_Fig5_plus_broad_DMSOR_refs_refDedup_shortLabels_allNonstandardToX.faa	FAIL	no_fasta_cds_na_returned		0	845		08db1db5d0f1b19972c7f5c8c0185b5e203163990829743ebaf89bf9ce2e0ce7
ArrA	WP_013173528.1	R064__ArrA__WP_013173528.1	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/ColdSeep_K08356_plus_Fig5_plus_broad_DMSOR_refs_refDedup_shortLabels_allNonstandardToX.faa	FAIL	no_fasta_cds_na_returned		0	850		096d789e1921f38157c733f9d9fff55aa2c5864770e223e4f94488f0c228449b
ArrA	AAU11841.2	R065__ArrA__AAU11841.2	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/ColdSeep_K08356_plus_Fig5_plus_broad_DMSOR_refs_refDedup_shortLabels_allNonstandardToX.faa	PASS_exact		lcl|AY660885.2_cds_AAU11841.2_1 [gene=arrA] [protein=arsenate respiratory reductase] [protein_id=AAU11841.2] [location=<1..>2230] [gbkey=CDS]	2230	743	97833f5e03d57787c24e4159df02e5e39ec4dd97300f75c13f56473c56295874	015ba50e9ef3e2fbe61514b65d41ccbaac87b8e4a200d8bddaddd2ee7ed89d3f
ArrA	WP_006671188.1	R066__ArrA__WP_006671188.1	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/ColdSeep_K08356_plus_Fig5_plus_broad_DMSOR_refs_refDedup_shortLabels_allNonstandardToX.faa	FAIL	no_fasta_cds_na_returned		0	927		30aad94b5f2739449dcfd014f06ae4ad1df29206b72a2209ebbe4a717f403415
ArrA	WP_005576997.1	R067__ArrA__WP_005576997.1	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/ColdSeep_K08356_plus_Fig5_plus_broad_DMSOR_refs_refDedup_shortLabels_allNonstandardToX.faa	FAIL	no_fasta_cds_na_returned		0	910		c85f9d1f0f89c3668359a92b7877a04407a153fb050c96f1d5e939dac7696a23
ArrA	KY305110	R068__ArrA__KY305110	/home/ps/ps1/data/bihongyu/cold_seep/ASproteintree/aioA-like_tree_results_20260629_final/aioA-like-contigstree-5/ColdSeep_K08356_plus_Fig5_plus_broad_DMSOR_refs_refDedup_shortLabels_allNonstandardToX.faa	FAIL	fetch_error:HTTPError:HTTP Error 400: Bad Request		0	843		c89ef224039e381052fe908db8775ad31dec19e86687b1841234355bbd7277fb
