prefixed_target_ID	protein_ID	MAG_ID	source_class	curated_or_blind_group	IdrA_bitscore	IdrA_hmm_coverage_pct	IdrA_protein_coverage_pct	AioA_bitscore	AioA_hmm_coverage_pct	AioA_protein_coverage_pct	combined_bitscore	combined_hmm_coverage_pct	combined_protein_coverage_pct	nearest_reference_ID	nearest_reference_group	patristic_distance	tree_based_conservative_note	Final_class	class_color	Confidence	classification_rule	strict_synteny_QC_pass	neighborhood_class	B_related_gene	B_related_family	P_like_count	P_like_genes
S1_6-9_bin9|S1_6-9_bin9-k141_583308_1	S1_6-9_bin9-k141_583308_1	S1_6-9_bin9	T640_new_blind_candidate	blind_unclassified	782.7	59.3258426966292	99.4423791821561	222.8	57.1929824561403	93.3085501858736	543.8	57.4052812858783	99.4423791821561	VibritapetIdrA	IdrA reference	0.3486654996	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	new T640 candidate; IdrA-reference placement without complete B+2P neighborhood support	no	unresolved/truncated neighborhood			0	
S1_9-12_bin1|S1_9-12_bin1-k141_637215_2	S1_9-12_bin1-k141_637215_2	S1_9-12_bin1	core49_T640_intersection	Canonical AioA	365.8	82.3595505617977	89.3203883495146	1204.3	99.8830409356725	99.878640776699	1087.1	99.540757749713	99.6359223300971	AmphriatlanAioA	AioA reference	0.3043506659	Nearest reference group: AioA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	Canonical AioA clade	#009E73	High	retained from strict-QC 49-protein evidence table	no	Aio-like neighborhood	S1_9-12_bin1-k141_637215_2	canonical_AioB	0	
S1_9-12_bin1|S1_9-12_bin1-k141_675749_2	S1_9-12_bin1-k141_675749_2	S1_9-12_bin1	core49_T640_intersection	IdrA phylogenetic	1159.3	81.7977528089888	99.5934959349594	360	80.4678362573099	90.650406504065	808.1	84.8450057405281	99.3224932249322	VibritapetIdrA	IdrA reference	0.3486654996	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	retained from strict-QC 49-protein evidence table	no	partial DIRM-like neighborhood	S1_9-12_bin1-k141_675749_1	IdrB_related	0	
SQ_58_0-4_bin4|SQ_58_0-4_bin4-k141_1629246_3	SQ_58_0-4_bin4-k141_1629246_3	SQ_58_0-4_bin4	core49_T640_intersection	Uncertain DMSOR	855	99.438202247191	98.6794717887155	489.3	96.140350877193	97.4789915966386	776.6	98.9667049368542	98.0792316926771	ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium	Unknown-clade reference	1.1022412609	Nearest reference group: Unknown-clade reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	Unknown DMSOR clade	#D55E00	Medium	retained from strict-QC 49-protein evidence table	no	partial DIRM-like neighborhood	SQ_58_0-4_bin4-k141_1629246_2	IdrB_related	0	
SQ_81_0-4_bin5|SQ_81_0-4_bin5-k141_112333_1	SQ_81_0-4_bin5-k141_112333_1	SQ_81_0-4_bin5	T640_new_blind_candidate	blind_unclassified	903	60.8988764044944	99.4515539305302	304.3	62.5730994152047	97.4405850091408	643.8	62.9161882893226	98.1718464351006	RuegerinterIdrA	IdrA reference	0.353163953	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	new T640 candidate; IdrA-reference placement without complete B+2P neighborhood support	no	unresolved/truncated neighborhood	SQ_81_0-4_bin5-k141_112333_2	IdrB_related	0	
SY365BB-0-4_bin24|SY365BB-0-4_bin24-k141_346659_3	SY365BB-0-4_bin24-k141_346659_3	SY365BB-0-4_bin24	core49_T640_intersection	IdrA phylogenetic	1460.6	99.7752808988764	99.3355481727575	438.7	98.4795321637427	94.4629014396456	996.1	99.4259471871412	98.8925802879291	VibritapetIdrA	IdrA reference	0.2581445678	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	retained from strict-QC 49-protein evidence table	no	partial DIRM-like neighborhood	SY365BB-0-4_bin24-k141_346659_2	IdrB_related	0	
SY365BB-8-12_bin10|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10	core49_T640_intersection	DIRM-synteny IdrA	1395.5	99.6629213483146	99.4400895856663	454.5	98.7134502923977	94.8488241881299	989.9	99.4259471871412	99.1041433370661	RuegerinterIdrA	IdrA reference	0.4088494359	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA clade	#7B3294	High	retained from strict-QC 49-protein evidence table	yes	complete DIRM-like neighborhood	SY365BB-8-12_bin10-k141_688982_31	IdrB_related	2	SY365BB-8-12_bin10-k141_688982_29;SY365BB-8-12_bin10-k141_688982_30
SY365BB-8-12_bin26|SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26	core49_T640_intersection	DIRM-synteny IdrA	1398	99.6629213483146	99.4400895856663	463.9	98.7134502923977	94.8488241881299	1000	99.4259471871412	99.1041433370661	RuegerinterIdrA	IdrA reference	0.3894030338	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA clade	#7B3294	High	retained from strict-QC 49-protein evidence table	yes	complete DIRM-like neighborhood	SY365BB-8-12_bin26-k141_1297159_19	IdrB_related	2	SY365BB-8-12_bin26-k141_1297159_17;SY365BB-8-12_bin26-k141_1297159_18
SY365BB-8-12_bin7|SY365BB-8-12_bin7-k141_1337394_7	SY365BB-8-12_bin7-k141_1337394_7	SY365BB-8-12_bin7	core49_T640_intersection	IdrA phylogenetic	1537.7	100	99.888765294772	442.2	99.0643274853801	95.4393770856507	1029.6	99.540757749713	99.3325917686318	MoritelviscoIdrA	IdrA reference	0.0429120869	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	retained from strict-QC 49-protein evidence table	no	partial DIRM-like neighborhood	SY365BB-8-12_bin7-k141_1337394_6	IdrB_related	2	SY365BB-8-12_bin7-k141_1337394_4;SY365BB-8-12_bin7-k141_1337394_5
SY365BB-8-12_bin8|SY365BB-8-12_bin8-k141_832694_5	SY365BB-8-12_bin8-k141_832694_5	SY365BB-8-12_bin8	core49_T640_intersection	DIRM-synteny IdrA	1387.2	99.6629213483146	99.4400895856663	462.6	98.4795321637427	94.6248600223964	989.1	99.4259471871412	99.1041433370661	RuegerinterIdrA	IdrA reference	0.3711224939	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA clade	#7B3294	High	retained from strict-QC 49-protein evidence table	yes	complete DIRM-like neighborhood	SY365BB-8-12_bin8-k141_832694_4	IdrB_related	2	SY365BB-8-12_bin8-k141_832694_2;SY365BB-8-12_bin8-k141_832694_3
SY366YB-0-4_bin3|SY366YB-0-4_bin3-k141_281514_2	SY366YB-0-4_bin3-k141_281514_2	SY366YB-0-4_bin3	core49_T640_intersection	IdrA phylogenetic	1260.5	90.7865168539326	99.7530864197531	374.4	89.5906432748538	95.1851851851852	855.9	90.3559127439724	99.6296296296296	LabrenalbaIdrA	IdrA reference	0.2681613096	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	retained from strict-QC 49-protein evidence table	no	unresolved/truncated neighborhood			0	
SY366YB-0-4_bin5|SY366YB-0-4_bin5-k141_98994_2	SY366YB-0-4_bin5-k141_98994_2	SY366YB-0-4_bin5	core49_T640_intersection	IdrA phylogenetic	1396.4	99.6629213483146	99.4400895856663	461.2	98.4795321637427	94.6248600223964	993.7	99.4259471871412	99.1041433370661	RuegerinterIdrA	IdrA reference	0.3720463031	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	retained from strict-QC 49-protein evidence table	no	partial DIRM-like neighborhood	SY366YB-0-4_bin5-k141_98994_3	IdrB_related	0	
SY366YB-4-8_bin5|SY366YB-4-8_bin5-k141_186748_2	SY366YB-4-8_bin5-k141_186748_2	SY366YB-4-8_bin5	T640_new_blind_candidate	blind_unclassified	680.8	70.2247191011236	99.5065789473684	373.6	69.0058479532164	93.2565789473684	596.5	72.5602755453502	96.3815789473684	ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium	Unknown-clade reference	1.095743386	Nearest reference group: Unknown-clade reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	Unknown DMSOR clade	#D55E00	Medium	new T640 candidate; unknown-clade tree placement; neighborhood shown but not used as final functional proof	no	unresolved/truncated neighborhood	SY366YB-4-8_bin5-k141_186748_1	IdrB_related	0	
SY366YW-0-4_bin2|SY366YW-0-4_bin2-k141_1353278_2	SY366YW-0-4_bin2-k141_1353278_2	SY366YW-0-4_bin2	core49_T640_intersection	Uncertain DMSOR	859.2	99.438202247191	98.6794717887155	493.2	98.8304093567251	97.8391356542617	783.9	98.9667049368542	98.0792316926771	ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium	Unknown-clade reference	1.1111771095	Nearest reference group: Unknown-clade reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	Unknown DMSOR clade	#D55E00	Medium	retained from strict-QC 49-protein evidence table	no	partial DIRM-like neighborhood	SY366YW-0-4_bin2-k141_1353278_1	IdrB_related	0	
SY366YW-0-4_bin34|SY366YW-0-4_bin34-k141_1276861_15	SY366YW-0-4_bin34-k141_1276861_15	SY366YW-0-4_bin34	core49_T640_intersection	DIRM-synteny IdrA	1373.2	99.5505617977528	99.4394618834081	446.5	98.5964912280702	94.8430493273543	961.3	99.1963260619977	98.9910313901345	RuegerinterIdrA	IdrA reference	0.2494799555	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA clade	#7B3294	High	retained from strict-QC 49-protein evidence table	yes	complete DIRM-like neighborhood	SY366YW-0-4_bin34-k141_1276861_16	IdrB_related	2	SY366YW-0-4_bin34-k141_1276861_17;SY366YW-0-4_bin34-k141_1276861_18
SY366YW-0-4_bin9|SY366YW-0-4_bin9-k141_1360848_3	SY366YW-0-4_bin9-k141_1360848_3	SY366YW-0-4_bin9	core49_T640_intersection	DIRM-synteny IdrA	1388.8	99.6629213483146	99.5515695067264	456.1	98.5964912280702	94.8430493273543	982	99.3111366245695	99.1031390134529	RuegerinterIdrA	IdrA reference	0.3029527379	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA clade	#7B3294	High	retained from strict-QC 49-protein evidence table	yes	complete DIRM-like neighborhood	SY366YW-0-4_bin9-k141_1360848_4	IdrB_related	2	SY366YW-0-4_bin9-k141_1360848_5;SY366YW-0-4_bin9-k141_1360848_6
SY366YW-4-8_bin7|SY366YW-4-8_bin7-k141_14765_13	SY366YW-4-8_bin7-k141_14765_13	SY366YW-4-8_bin7	core49_T640_intersection	Canonical AioA	388.4	82.5842696629213	89.7218863361548	1314.7	99.766081871345	99.8790810157195	1175	99.4259471871412	99.6372430471584	HalomonbolivieAioA	AioA reference	0.0759254683	Nearest reference group: AioA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	Canonical AioA clade	#009E73	High	retained from strict-QC 49-protein evidence table	no	Aio-like neighborhood	SY366YW-4-8_bin7-k141_14765_13	canonical_AioB	0	
SY366YW-8-12_bin2|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2	core49_T640_intersection	DIRM-synteny IdrA	1391.1	99.6629213483146	99.4400895856663	467	98.7134502923977	94.8488241881299	995.7	99.4259471871412	99.1041433370661	RuegerinterIdrA	IdrA reference	0.3846887676	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA clade	#7B3294	High	retained from strict-QC 49-protein evidence table	yes	complete DIRM-like neighborhood	SY366YW-8-12_bin2-k141_497241_23	IdrB_related	2	SY366YW-8-12_bin2-k141_497241_24;SY366YW-8-12_bin2-k141_497241_25
SY368YW-4-8_bin24|SY368YW-4-8_bin24-k141_617455_9	SY368YW-4-8_bin24-k141_617455_9	SY368YW-4-8_bin24	core49_T640_intersection	IdrA phylogenetic	1762.1	99.8876404494382	99.8873873873874	486.2	98.3625730994152	94.481981981982	1177.5	99.540757749713	99.4369369369369	DefluviaquaeIdrA	IdrA reference	0.1118029967	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	retained from strict-QC 49-protein evidence table	no	partial DIRM-like neighborhood	SY368YW-4-8_bin24-k141_617455_8	IdrB_related	2	SY368YW-4-8_bin24-k141_617455_6;SY368YW-4-8_bin24-k141_617455_7
SY368YW-8-12_bin14|SY368YW-8-12_bin14-k141_222555_4	SY368YW-8-12_bin14-k141_222555_4	SY368YW-8-12_bin14	core49_T640_intersection	Uncertain DMSOR	864.9	96.8539325842697	99.2831541218638	475	99.1812865497076	99.0442054958184	775.5	99.4259471871412	99.4026284348865	ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium	Unknown-clade reference	1.0196918425	Nearest reference group: Unknown-clade reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	Unknown DMSOR clade	#D55E00	Medium	retained from strict-QC 49-protein evidence table	no	partial DIRM-like neighborhood	SY368YW-8-12_bin14-k141_222555_5	IdrB_related	0	
SY368YW-8-12_bin16|SY368YW-8-12_bin16-k141_314641_4	SY368YW-8-12_bin16-k141_314641_4	SY368YW-8-12_bin16	core49_T640_intersection	Uncertain DMSOR	871.9	98.9887640449438	99.1515151515152	482.3	97.6608187134503	97.6969696969697	776.8	99.1963260619977	99.2727272727273	ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium	Unknown-clade reference	1.054178282	Nearest reference group: Unknown-clade reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	Unknown DMSOR clade	#D55E00	Medium	retained from strict-QC 49-protein evidence table	no	partial DIRM-like neighborhood	SY368YW-8-12_bin16-k141_314641_3	IdrB_related	0	
SY368YW-8-12_bin33|SY368YW-8-12_bin33-k141_1103131_193	SY368YW-8-12_bin33-k141_1103131_193	SY368YW-8-12_bin33	core49_T640_intersection	DIRM-synteny IdrA	1382.6	99.438202247191	99.2161254199328	461.4	98.8304093567251	94.9608062709966	987.6	99.3111366245695	98.9921612541993	RuegerinterIdrA	IdrA reference	0.3637528181	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA clade	#7B3294	High	retained from strict-QC 49-protein evidence table	yes	complete DIRM-like neighborhood	SY368YW-8-12_bin33-k141_1103131_197	IdrB_related	2	SY368YW-8-12_bin33-k141_1103131_198;SY368YW-8-12_bin33-k141_1103131_199
SY456YB-0-4_bin2|SY456YB-0-4_bin2-k141_200390_5	SY456YB-0-4_bin2-k141_200390_5	SY456YB-0-4_bin2	T640_new_blind_candidate	blind_unclassified	903.4	67.4157303370787	99.1735537190083	268.5	62.3391812865497	93.0578512396694	622.8	63.9494833524684	99.3388429752066	RuegerinterIdrA	IdrA reference	0.3095940707	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	new T640 candidate; IdrA-reference placement without complete B+2P neighborhood support	no	unresolved/truncated neighborhood			0	
SY456YB-0-4_bin8|SY456YB-0-4_bin8-k141_492248_42	SY456YB-0-4_bin8-k141_492248_42	SY456YB-0-4_bin8	core49_T640_intersection	DIRM-synteny IdrA	1395.7	99.6629213483146	99.4400895856663	454.9	98.7134502923977	94.8488241881299	990	99.4259471871412	99.1041433370661	RuegerinterIdrA	IdrA reference	0.4032614171	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA clade	#7B3294	High	retained from strict-QC 49-protein evidence table	yes	complete DIRM-like neighborhood	SY456YB-0-4_bin8-k141_492248_43	IdrB_related	2	SY456YB-0-4_bin8-k141_492248_44;SY456YB-0-4_bin8-k141_492248_45
SY456YB-4-8_bin24|SY456YB-4-8_bin24-k141_314185_12	SY456YB-4-8_bin24-k141_314185_12	SY456YB-4-8_bin24	core49_T640_intersection	IdrA phylogenetic	1383.4	99.7752808988764	99.3318485523385	465.4	99.1812865497076	95.1002227171492	963.4	99.540757749713	98.9977728285078	VibritapetIdrA	IdrA reference	0.5306549713	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	retained from strict-QC 49-protein evidence table	no	partial DIRM-like neighborhood	SY456YB-4-8_bin24-k141_314185_11	IdrB_related	2	SY456YB-4-8_bin24-k141_314185_9;SY456YB-4-8_bin24-k141_314185_10
SY456YB-8-12_bin17|SY456YB-8-12_bin17-k141_937905_1	SY456YB-8-12_bin17-k141_937905_1	SY456YB-8-12_bin17	T640_new_blind_candidate	blind_unclassified	771.2	58.9887640449438	99.4307400379507	245.6	56.374269005848	92.4098671726755	558.5	57.1756601607348	99.6204933586338	RuegerinterIdrA	IdrA reference	0.3160714125	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	new T640 candidate; IdrA-reference placement without complete B+2P neighborhood support	no	unresolved/truncated neighborhood			0	
SY456YB-8-12_bin27|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27	core49_T640_intersection	DIRM-synteny IdrA	1395.5	99.6629213483146	99.4400895856663	461.9	98.7134502923977	94.8488241881299	997.1	99.4259471871412	99.1041433370661	RuegerinterIdrA	IdrA reference	0.3890119847	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA clade	#7B3294	High	retained from strict-QC 49-protein evidence table	yes	complete DIRM-like neighborhood	SY456YB-8-12_bin27-k141_1029503_29	IdrB_related	2	SY456YB-8-12_bin27-k141_1029503_30;SY456YB-8-12_bin27-k141_1029503_31
SY456YB-8-12_bin34|SY456YB-8-12_bin34-k141_963697_76	SY456YB-8-12_bin34-k141_963697_76	SY456YB-8-12_bin34	core49_T640_intersection	DIRM-synteny IdrA	1396.5	99.5505617977528	99.3281075027996	464	98.8304093567251	94.9608062709966	994.2	99.4259471871412	99.1041433370661	RuegerinterIdrA	IdrA reference	0.3986119761	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA clade	#7B3294	High	retained from strict-QC 49-protein evidence table	yes	complete DIRM-like neighborhood	SY456YB-8-12_bin34-k141_963697_76	IdrB_related	2	SY456YB-8-12_bin34-k141_963697_74;SY456YB-8-12_bin34-k141_963697_75
SY456YB-8-12_bin4|SY456YB-8-12_bin4-k141_708485_189	SY456YB-8-12_bin4-k141_708485_189	SY456YB-8-12_bin4	core49_T640_intersection	DIRM-synteny IdrA	1373.4	99.5505617977528	99.3273542600897	447	99.0643274853801	97.5336322869955	972.3	99.4259471871412	99.1031390134529	RuegerinterIdrA	IdrA reference	0.3249012623	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA clade	#7B3294	High	retained from strict-QC 49-protein evidence table	yes	complete DIRM-like neighborhood	SY456YB-8-12_bin4-k141_708485_187	IdrB_related	2	SY456YB-8-12_bin4-k141_708485_185;SY456YB-8-12_bin4-k141_708485_186
SY456YB-8-12_bin5|SY456YB-8-12_bin5-k141_222164_2	SY456YB-8-12_bin5-k141_222164_2	SY456YB-8-12_bin5	core49_T640_intersection	IdrA phylogenetic	1386.1	99.7752808988764	99.6636771300448	472.5	98.7134502923977	94.9551569506726	988.2	99.3111366245695	99.1031390134529	RuegerinterIdrA	IdrA reference	0.3015863902	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	retained from strict-QC 49-protein evidence table	no	partial DIRM-like neighborhood	SY456YB-8-12_bin5-k141_222164_3	IdrB_related	1	SY456YB-8-12_bin5-k141_222164_4
SY457BB-0-4_bin10|SY457BB-0-4_bin10-k141_729355_7	SY457BB-0-4_bin10-k141_729355_7	SY457BB-0-4_bin10	T640_new_blind_candidate	blind_unclassified	1021.8	75.5056179775281	99.5555555555556	289.7	73.4502923976608	94.3703703703704	670.6	74.3972445464983	99.5555555555556	LitoreiascidiIdrA	IdrA reference	0.130258473	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	new T640 candidate; IdrA-reference placement without complete B+2P neighborhood support	no	unresolved/truncated neighborhood			0	
