prefixed_target_ID	protein_ID	MAG_ID	source_class	curated_or_blind_group	IdrA_full_evalue	IdrA_bitscore	IdrA_full_bias	IdrA_domain_count	IdrA_best_domain_bitscore	IdrA_best_domain_i_evalue	IdrA_hmm_length	IdrA_protein_length	IdrA_hmm_coverage_pct	IdrA_protein_coverage_pct	IdrA_best_hmm_from	IdrA_best_hmm_to	IdrA_best_ali_from	IdrA_best_ali_to	AioA_full_evalue	AioA_bitscore	AioA_full_bias	AioA_domain_count	AioA_best_domain_bitscore	AioA_best_domain_i_evalue	AioA_hmm_length	AioA_protein_length	AioA_hmm_coverage_pct	AioA_protein_coverage_pct	AioA_best_hmm_from	AioA_best_hmm_to	AioA_best_ali_from	AioA_best_ali_to	combined_full_evalue	combined_bitscore	combined_full_bias	combined_domain_count	combined_best_domain_bitscore	combined_best_domain_i_evalue	combined_hmm_length	combined_protein_length	combined_hmm_coverage_pct	combined_protein_coverage_pct	combined_best_hmm_from	combined_best_hmm_to	combined_best_ali_from	combined_best_ali_to	IdrA_minus_AioA_bitscore	normalized_IdrA_bitscore	normalized_AioA_bitscore	normalized_delta_bitscore
S1_6-9_bin9|S1_6-9_bin9-k141_583308_1	S1_6-9_bin9-k141_583308_1	S1_6-9_bin9	T640_new_blind_candidate	blind_unclassified	1.3e-237	782.7	8.6	1	782.6	1.5e-237	890	538	59.325842696629216	99.44237918215613	362	889	2	536	2.2e-68	222.8	8.9	2	204.7	6.2e-63	855	538	57.19298245614035	93.3085501858736	364	779	3	429	2.1e-165	543.8	6.5	1	543.7	2.4e-165	871	538	57.4052812858783	99.44237918215613	370	869	2	536	559.9000000000001	1.4548327137546468	0.41412639405204466	1.0407063197026023
S1_9-12_bin1|S1_9-12_bin1-k141_637215_2	S1_9-12_bin1-k141_637215_2	S1_9-12_bin1	core49_T640_intersection	Canonical AioA	1.3e-111	365.8	4.3	2	183.1	2.2e-56	890	824	82.35955056179775	89.32038834951456	355	782	342	749	0.0	1204.3	5.1	1	1204.1	0.0	855	824	99.88304093567251	99.87864077669903	1	854	1	823	0.0	1087.1	5.6	1	1087.0	0.0	871	824	99.54075774971297	99.63592233009709	3	869	2	822	-838.5	0.44393203883495147	1.461529126213592	-1.0175970873786409
S1_9-12_bin1|S1_9-12_bin1-k141_675749_2	S1_9-12_bin1-k141_675749_2	S1_9-12_bin1	core49_T640_intersection	IdrA phylogenetic	0.0	1159.3	13.6	1	1159.1	0.0	890	738	81.79775280898876	99.59349593495935	4	731	4	738	7.3e-110	360.0	8.0	1	353.9	5e-108	855	738	80.46783625730994	90.65040650406505	3	690	6	674	2.8e-245	808.1	7.8	1	807.7	3.7e-245	871	738	84.84500574052812	99.32249322493224	4	742	6	738	799.3	1.5708672086720867	0.4878048780487805	1.0830623306233063
SQ_58_0-4_bin4|SQ_58_0-4_bin4-k141_1629246_3	SQ_58_0-4_bin4-k141_1629246_3	SQ_58_0-4_bin4	core49_T640_intersection	Uncertain DMSOR	1.9e-259	855.0	0.2	1	843.7	4.9e-256	890	833	99.43820224719101	98.67947178871549	5	889	4	825	6.1e-149	489.3	0.0	2	327.0	6.8e-100	855	833	96.14035087719299	97.47899159663865	273	853	248	825	9.3e-236	776.6	0.0	1	776.3	1.2e-235	871	833	98.96670493685419	98.07923169267707	9	870	10	826	365.7	1.0264105642256902	0.5873949579831933	0.43901560624249697
SQ_81_0-4_bin5|SQ_81_0-4_bin5-k141_112333_1	SQ_81_0-4_bin5-k141_112333_1	SQ_81_0-4_bin5	T640_new_blind_candidate	blind_unclassified	5.6e-274	903.0	6.2	1	902.9	6.3e-274	890	547	60.89887640449438	99.45155393053017	3	544	3	546	4.9e-93	304.3	0.5	1	300.2	8.7e-92	855	547	62.57309941520468	97.44058500914076	6	540	9	541	1.3e-195	643.8	1.3	1	643.5	1.6e-195	871	547	62.91618828932262	98.17184643510055	5	552	7	543	598.7	1.6508226691042047	0.5563071297989032	1.0945155393053017
SY365BB-0-4_bin24|SY365BB-0-4_bin24-k141_346659_3	SY365BB-0-4_bin24-k141_346659_3	SY365BB-0-4_bin24	core49_T640_intersection	IdrA phylogenetic	0.0	1460.6	9.0	1	1460.4	0.0	890	903	99.7752808988764	99.33554817275747	2	889	2	898	1.2e-133	438.7	9.3	2	417.8	2.4e-127	855	903	98.47953216374269	94.46290143964562	5	779	8	791	4.4e-302	996.1	3.6	1	995.7	5.5e-302	871	903	99.42594718714122	98.89258028792912	4	869	6	898	1021.8999999999999	1.6174972314507197	0.4858250276854928	1.131672203765227
SY365BB-8-12_bin10|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10	core49_T640_intersection	DIRM-synteny IdrA	0.0	1395.5	12.1	1	1395.4	0.0	890	893	99.66292134831461	99.4400895856663	4	890	4	891	2e-138	454.5	10.3	2	430.4	3.7e-131	855	893	98.71345029239767	94.8488241881299	6	779	9	783	3.2e-300	989.9	6.7	1	989.6	4e-300	871	893	99.42594718714122	99.10414333706606	5	870	7	891	941.0	1.5627099664053752	0.5089585666293394	1.053751399776036
SY365BB-8-12_bin26|SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26	core49_T640_intersection	DIRM-synteny IdrA	0.0	1398.0	11.7	1	1397.9	0.0	890	893	99.66292134831461	99.4400895856663	4	890	4	891	2.9e-141	463.9	9.3	2	439.2	8.4e-134	855	893	98.71345029239767	94.8488241881299	6	779	9	783	2.9e-303	1000.0	6.5	1	999.7	3.6e-303	871	893	99.42594718714122	99.10414333706606	5	870	7	891	934.1	1.5655095184770438	0.519484882418813	1.0460246360582308
SY365BB-8-12_bin7|SY365BB-8-12_bin7-k141_1337394_7	SY365BB-8-12_bin7-k141_1337394_7	SY365BB-8-12_bin7	core49_T640_intersection	IdrA phylogenetic	0.0	1537.7	14.2	1	1537.5	0.0	890	899	100.0	99.88876529477197	1	890	1	898	1e-134	442.2	12.9	2	422.2	1.1e-128	855	899	99.06432748538012	95.43937708565072	5	780	8	791	0.0	1029.6	9.0	1	1029.4	0.0	871	899	99.54075774971297	99.33259176863181	3	869	5	897	1095.5	1.7104560622914349	0.4918798665183537	1.2185761957730812
SY365BB-8-12_bin8|SY365BB-8-12_bin8-k141_832694_5	SY365BB-8-12_bin8-k141_832694_5	SY365BB-8-12_bin8	core49_T640_intersection	DIRM-synteny IdrA	0.0	1387.2	13.2	1	1387.0	0.0	890	893	99.66292134831461	99.4400895856663	3	889	3	890	6.9e-141	462.6	9.6	2	436.1	7e-133	855	893	98.47953216374269	94.62486002239642	6	776	9	780	5.5e-300	989.1	7.8	1	988.8	6.8e-300	871	893	99.42594718714122	99.10414333706606	5	870	7	891	924.6	1.5534154535274356	0.5180291153415454	1.0353863381858903
SY366YB-0-4_bin3|SY366YB-0-4_bin3-k141_281514_2	SY366YB-0-4_bin3-k141_281514_2	SY366YB-0-4_bin3	core49_T640_intersection	IdrA phylogenetic	0.0	1260.5	6.4	1	1260.4	0.0	890	810	90.78651685393258	99.75308641975309	82	889	1	808	3.2e-114	374.4	0.6	2	351.5	2.7e-107	855	810	89.5906432748538	95.18518518518519	85	779	4	701	1e-259	855.9	0.9	1	855.8	1.1e-259	871	810	90.35591274397244	99.62962962962963	83	869	2	808	886.1	1.556172839506173	0.4622222222222222	1.0939506172839506
SY366YB-0-4_bin5|SY366YB-0-4_bin5-k141_98994_2	SY366YB-0-4_bin5-k141_98994_2	SY366YB-0-4_bin5	core49_T640_intersection	IdrA phylogenetic	0.0	1396.4	10.4	1	1396.2	0.0	890	893	99.66292134831461	99.4400895856663	3	889	3	890	1.8e-140	461.2	6.8	2	435.1	1.5e-132	855	893	98.47953216374269	94.62486002239642	6	776	9	780	2.3e-301	993.7	5.3	1	993.4	2.9e-301	871	893	99.42594718714122	99.10414333706606	5	870	7	891	935.2	1.563717805151176	0.5164613661814109	1.047256438969765
SY366YB-4-8_bin5|SY366YB-4-8_bin5-k141_186748_2	SY366YB-4-8_bin5-k141_186748_2	SY366YB-4-8_bin5	T640_new_blind_candidate	blind_unclassified	8.5e-207	680.8	0.0	1	680.6	9.7e-207	890	608	70.2247191011236	99.50657894736842	5	629	4	608	5.6e-114	373.6	0.0	1	365.4	1.7e-111	855	608	69.00584795321637	93.25657894736842	9	598	11	577	2.5e-181	596.5	0.0	1	596.0	3.6e-181	871	608	72.56027554535017	96.38157894736842	9	640	10	595	307.19999999999993	1.1197368421052631	0.6144736842105264	0.5052631578947367
SY366YW-0-4_bin2|SY366YW-0-4_bin2-k141_1353278_2	SY366YW-0-4_bin2-k141_1353278_2	SY366YW-0-4_bin2	core49_T640_intersection	Uncertain DMSOR	9.8e-261	859.2	0.2	1	847.9	2.6e-257	890	833	99.43820224719101	98.67947178871549	5	889	4	825	3.8e-150	493.2	0.0	1	484.6	1.6e-147	855	833	98.83040935672514	97.83913565426171	9	853	11	825	6e-238	783.9	0.0	1	783.5	7.8e-238	871	833	98.96670493685419	98.07923169267707	9	870	10	826	366.00000000000006	1.031452581032413	0.5920768307322929	0.4393757503001201
SY366YW-0-4_bin34|SY366YW-0-4_bin34-k141_1276861_15	SY366YW-0-4_bin34-k141_1276861_15	SY366YW-0-4_bin34	core49_T640_intersection	DIRM-synteny IdrA	0.0	1373.2	15.5	1	1373.0	0.0	890	892	99.5505617977528	99.43946188340807	5	890	5	891	5.3e-136	446.5	8.9	2	422.3	1e-128	855	892	98.59649122807018	94.84304932735427	7	779	10	783	1.5e-291	961.3	9.2	1	961.0	1.8e-291	871	892	99.19632606199771	98.99103139013452	6	869	8	890	926.7	1.5394618834080718	0.500560538116592	1.03890134529148
SY366YW-0-4_bin9|SY366YW-0-4_bin9-k141_1360848_3	SY366YW-0-4_bin9-k141_1360848_3	SY366YW-0-4_bin9	core49_T640_intersection	DIRM-synteny IdrA	0.0	1388.8	9.3	1	1388.7	0.0	890	892	99.66292134831461	99.55156950672645	4	890	4	891	6.4e-139	456.1	4.2	2	428.6	1.4e-130	855	892	98.59649122807018	94.84304932735427	6	779	9	783	7.8e-298	982.0	3.2	1	981.7	9.6e-298	871	892	99.31113662456946	99.10313901345292	5	869	7	890	932.6999999999999	1.5569506726457398	0.511322869955157	1.045627802690583
SY366YW-4-8_bin7|SY366YW-4-8_bin7-k141_14765_13	SY366YW-4-8_bin7-k141_14765_13	SY366YW-4-8_bin7	core49_T640_intersection	Canonical AioA	1.9e-118	388.4	4.8	2	193.3	1.8e-59	890	827	82.58426966292134	89.72188633615478	354	783	342	753	0.0	1314.7	4.0	1	1314.5	0.0	855	827	99.76608187134502	99.87908101571946	2	854	1	826	0.0	1175.0	3.7	1	1174.9	0.0	871	827	99.42594718714122	99.6372430471584	4	869	2	825	-926.3000000000001	0.4696493349455864	1.5897218863361549	-1.1200725513905685
SY366YW-8-12_bin2|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2	core49_T640_intersection	DIRM-synteny IdrA	0.0	1391.1	12.6	1	1390.9	0.0	890	893	99.66292134831461	99.4400895856663	4	890	4	891	3.2e-142	467.0	9.6	2	441.3	1.9e-134	855	893	98.71345029239767	94.8488241881299	6	779	9	783	5.6e-302	995.7	6.2	1	995.4	6.9e-302	871	893	99.42594718714122	99.10414333706606	5	870	7	891	924.0999999999999	1.5577827547592384	0.522956326987682	1.0348264277715564
SY368YW-4-8_bin24|SY368YW-4-8_bin24-k141_617455_9	SY368YW-4-8_bin24-k141_617455_9	SY368YW-4-8_bin24	core49_T640_intersection	IdrA phylogenetic	0.0	1762.1	10.0	1	1762.0	0.0	890	888	99.88764044943821	99.88738738738739	2	890	1	887	5.2e-148	486.2	2.3	2	463.5	3.8e-141	855	888	98.3625730994152	94.48198198198199	3	780	5	780	0.0	1177.5	2.6	1	1177.3	0.0	871	888	99.54075774971297	99.43693693693693	3	869	4	886	1275.8999999999999	1.9843468468468468	0.5475225225225225	1.4368243243243242
SY368YW-8-12_bin14|SY368YW-8-12_bin14-k141_222555_4	SY368YW-8-12_bin14-k141_222555_4	SY368YW-8-12_bin14	core49_T640_intersection	Uncertain DMSOR	1.9e-262	864.9	2.3	2	808.2	2.6e-245	890	837	96.85393258426966	99.2831541218638	8	791	5	756	1.2e-144	475.0	0.1	1	465.6	9e-142	855	837	99.18128654970761	99.0442054958184	3	850	3	831	2e-235	775.5	0.0	1	775.2	2.4e-235	871	837	99.42594718714122	99.4026284348865	5	870	4	835	389.9	1.0333333333333332	0.5675029868578255	0.46583034647550775
SY368YW-8-12_bin16|SY368YW-8-12_bin16-k141_314641_4	SY368YW-8-12_bin16-k141_314641_4	SY368YW-8-12_bin16	core49_T640_intersection	Uncertain DMSOR	1.4e-264	871.9	2.5	1	860.9	3e-261	890	825	98.98876404494382	99.15151515151516	10	890	7	824	8e-147	482.3	0.1	1	473.2	4.4e-144	855	825	97.6608187134503	97.6969696969697	7	841	7	812	8.5e-236	776.8	0.0	1	776.6	9.9e-236	871	825	99.19632606199771	99.27272727272727	6	869	5	823	389.59999999999997	1.056848484848485	0.5846060606060606	0.4722424242424242
SY368YW-8-12_bin33|SY368YW-8-12_bin33-k141_1103131_193	SY368YW-8-12_bin33-k141_1103131_193	SY368YW-8-12_bin33	core49_T640_intersection	DIRM-synteny IdrA	0.0	1382.6	13.4	1	1382.4	0.0	890	893	99.43820224719101	99.21612541993281	5	889	5	890	1.6e-140	461.4	10.4	2	435.8	9.1e-133	855	893	98.83040935672514	94.96080627099664	7	780	10	784	1.6e-299	987.6	7.9	1	987.3	1.9e-299	871	893	99.31113662456946	98.99216125419933	6	870	8	891	921.1999999999999	1.5482642777155655	0.5166853303471445	1.031578947368421
SY456YB-0-4_bin2|SY456YB-0-4_bin2-k141_200390_5	SY456YB-0-4_bin2-k141_200390_5	SY456YB-0-4_bin2	T640_new_blind_candidate	blind_unclassified	4.3e-274	903.4	13.0	1	903.2	4.9e-274	890	605	67.41573033707866	99.17355371900827	290	889	3	602	3.3e-82	268.5	5.4	2	246.6	1.4e-75	855	605	62.33918128654971	93.05785123966942	315	776	3	492	2.9e-189	622.8	5.0	1	622.6	3.2e-189	871	605	63.94948335246843	99.33884297520662	314	870	3	603	634.9	1.4932231404958678	0.44380165289256196	1.0494214876033057
SY456YB-0-4_bin8|SY456YB-0-4_bin8-k141_492248_42	SY456YB-0-4_bin8-k141_492248_42	SY456YB-0-4_bin8	core49_T640_intersection	DIRM-synteny IdrA	0.0	1395.7	10.6	1	1395.6	0.0	890	893	99.66292134831461	99.4400895856663	4	890	4	891	1.4e-138	454.9	7.2	2	430.7	3e-131	855	893	98.71345029239767	94.8488241881299	6	779	9	783	2.9e-300	990.0	4.7	1	989.7	3.6e-300	871	893	99.42594718714122	99.10414333706606	5	870	7	891	940.8000000000001	1.5629339305711087	0.5094064949608063	1.0535274356103024
SY456YB-4-8_bin24|SY456YB-4-8_bin24-k141_314185_12	SY456YB-4-8_bin24-k141_314185_12	SY456YB-4-8_bin24	core49_T640_intersection	IdrA phylogenetic	0.0	1383.4	14.1	1	1383.2	0.0	890	898	99.7752808988764	99.33184855233853	3	890	5	896	1e-141	465.4	8.6	2	445.8	8.4e-136	855	898	99.18128654970761	95.10022271714922	4	779	9	788	3.2e-292	963.4	7.9	1	963.2	3.7e-292	871	898	99.54075774971297	98.99777282850779	4	870	8	896	918.0000000000001	1.5405345211581292	0.5182628062360801	1.022271714922049
SY456YB-8-12_bin17|SY456YB-8-12_bin17-k141_937905_1	SY456YB-8-12_bin17-k141_937905_1	SY456YB-8-12_bin17	T640_new_blind_candidate	blind_unclassified	3.9e-234	771.2	2.9	1	771.0	4.5e-234	890	527	58.98876404494382	99.43074003795067	365	889	1	524	2.7e-75	245.6	6.2	2	223.5	1.3e-68	855	527	56.37426900584796	92.40986717267552	366	776	1	414	7.7e-170	558.5	1.6	1	558.4	8.6e-170	871	527	57.175660160734786	99.62049335863378	373	870	1	525	525.6	1.4633776091081594	0.46603415559772293	0.9973434535104365
SY456YB-8-12_bin27|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27	core49_T640_intersection	DIRM-synteny IdrA	0.0	1395.5	11.6	1	1395.3	0.0	890	893	99.66292134831461	99.4400895856663	4	890	4	891	1.2e-140	461.9	8.7	2	438.1	1.7e-133	855	893	98.71345029239767	94.8488241881299	6	779	9	783	2.1e-302	997.1	4.9	1	996.8	2.6e-302	871	893	99.42594718714122	99.10414333706606	5	870	7	891	933.6	1.5627099664053752	0.5172452407614782	1.045464725643897
SY456YB-8-12_bin34|SY456YB-8-12_bin34-k141_963697_76	SY456YB-8-12_bin34-k141_963697_76	SY456YB-8-12_bin34	core49_T640_intersection	DIRM-synteny IdrA	0.0	1396.5	13.8	1	1396.3	0.0	890	893	99.5505617977528	99.32810750279955	4	889	4	890	2.6e-141	464.0	10.9	2	436.2	6.9e-133	855	893	98.83040935672514	94.96080627099664	6	779	9	783	1.6e-301	994.2	8.7	1	993.9	2e-301	871	893	99.42594718714122	99.10414333706606	5	870	7	891	932.5	1.5638297872340425	0.5195968645016797	1.0442329227323628
SY456YB-8-12_bin4|SY456YB-8-12_bin4-k141_708485_189	SY456YB-8-12_bin4-k141_708485_189	SY456YB-8-12_bin4	core49_T640_intersection	DIRM-synteny IdrA	0.0	1373.4	14.9	1	1373.2	0.0	890	892	99.5505617977528	99.32735426008969	4	889	4	889	3.5e-136	447.0	12.3	2	422.1	1.2e-128	855	892	99.06432748538012	97.53363228699551	6	779	9	782	6.9e-295	972.3	9.1	1	972.0	8.6e-295	871	892	99.42594718714122	99.10313901345292	5	870	7	890	926.4000000000001	1.5396860986547085	0.5011210762331838	1.0385650224215248
SY456YB-8-12_bin5|SY456YB-8-12_bin5-k141_222164_2	SY456YB-8-12_bin5-k141_222164_2	SY456YB-8-12_bin5	core49_T640_intersection	IdrA phylogenetic	0.0	1386.1	11.5	1	1385.9	0.0	890	892	99.7752808988764	99.66367713004485	3	890	3	891	7.3e-144	472.5	6.0	2	443.6	3.8e-135	855	892	98.71345029239767	94.95515695067265	6	779	9	783	1e-299	988.2	5.6	1	987.9	1.3e-299	871	892	99.31113662456946	99.10313901345292	5	869	7	890	913.5999999999999	1.5539237668161434	0.5297085201793722	1.024215246636771
SY457BB-0-4_bin10|SY457BB-0-4_bin10-k141_729355_7	SY457BB-0-4_bin10-k141_729355_7	SY457BB-0-4_bin10	T640_new_blind_candidate	blind_unclassified	0.0	1021.8	9.1	1	1021.6	0.0	890	675	75.50561797752809	99.55555555555556	218	889	2	673	1.3e-88	289.7	0.8	2	268.5	3.3e-82	855	675	73.45029239766082	94.37037037037037	223	779	3	566	1e-203	670.6	1.3	1	670.3	1.3e-203	871	675	74.39724454649827	99.55555555555556	222	869	2	673	732.0999999999999	1.5137777777777777	0.42918518518518517	1.0845925925925926
SY457BB-0-4_bin20|SY457BB-0-4_bin20-k141_675426_1	SY457BB-0-4_bin20-k141_675426_1	SY457BB-0-4_bin20	T640_new_blind_candidate	blind_unclassified	1.3e-211	696.7	0.2	1	696.5	1.5e-211	890	640	73.03370786516854	99.21875	9	658	5	639	5.9e-111	363.6	0.1	2	196.4	2.1e-60	855	640	75.08771929824562	98.125	276	673	248	638	3.9e-183	602.5	0.0	1	602.3	4.7e-183	871	640	77.61194029850746	99.21875	6	681	4	638	333.1	1.08859375	0.568125	0.52046875
SY457BB-0-4_bin2|SY457BB-0-4_bin2-k141_509701_9	SY457BB-0-4_bin2-k141_509701_9	SY457BB-0-4_bin2	core49_T640_intersection	IdrA phylogenetic	0.0	1386.1	12.9	1	1385.9	0.0	890	904	99.7752808988764	98.78318584070796	3	890	10	902	4.1e-143	470.0	6.9	2	453.0	5.7e-138	855	904	99.18128654970761	94.57964601769912	4	780	14	795	9.9e-293	965.1	7.8	1	964.9	1.1e-292	871	904	99.65556831228473	98.56194690265487	3	870	12	902	916.0999999999999	1.533296460176991	0.5199115044247787	1.0133849557522123
SY457BB-0-4_bin35|SY457BB-0-4_bin35-k141_455312_8	SY457BB-0-4_bin35-k141_455312_8	SY457BB-0-4_bin35	core49_T640_intersection	DIRM-synteny IdrA	0.0	1399.6	12.0	1	1399.4	0.0	890	893	99.66292134831461	99.55207166853303	4	890	4	892	9.8e-139	455.5	12.2	2	436.4	6e-133	855	893	99.06432748538012	97.76035834266517	5	779	8	784	5.9e-298	982.4	8.5	1	982.2	6.7e-298	871	893	99.42594718714122	99.21612541993281	4	869	6	891	944.0999999999999	1.5673012318029114	0.5100783874580067	1.0572228443449048
