research_category	feature_name	source_type	score_semantics	n_MAG	mean_raw_score_pct	mean_completeness_adjusted_score_pct	mean_score_delta_pct	n_MAG_score_changed	n_MAG_threshold_flip_50	n_MAG_threshold_flip_75	spearman_score_vs_completeness_rho	spearman_score_vs_completeness_p	spearman_score_vs_completeness_BH
Nitrogen	Assimilatory nitrate reduction, nitrate => ammonia	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	1.04166666666667	1.12901642161148	0.08734975494481	3	0	0	0.239186960119595	0.101564134424906	0.166989881912071
Nitrogen	Complete nitrification, comammox, ammonia => nitrite => nitrate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	3.125	4.31329419119183	1.18829419119183	5	1	0	-0.175108413817798	0.233876706424012	0.289088912060492
Nitrogen	Denitrification, nitrate => nitrogen	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	29.1666666666667	35.081848315256	5.91518164858928	47	5	0	0.50861001820967	0.000223312758706393	0.000651328879560311
Nitrogen	Dissimilatory nitrate reduction, nitrate => ammonia	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	18.75	23.5673730496414	4.81737304964146	39	3	0	0.180597192426797	0.219310817382668	0.284291800310866
Nitrogen	Nitrate assimilation	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	41.6666666666667	41.6666666666667	0	0	0	0	0.225725882837443	0.122918833497694	0.179256632184136
Nitrogen	Nitrification, ammonia => nitrite	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	1.5625	1.72812728661233	0.165627286612331	3	0	0	0.0618390002587662	0.676283616734581	0.696174311344422
Nitrogen	Nitrogen fixation, nitrogen => ammonia	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	0	0	0	0	0	0	NA	NA	NA
Nitrogen	Urea cycle	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	47.2222222222222	58.7568865289922	11.53466430677	47	7	6	0.528889822197025	0.000111284847500051	0.000389496966250178
Nitrogen	Urea transport system	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	11.25	11.3596947338837	0.109694733883656	3	0	0	0.454137519094709	0.001185871300395	0.00276703303425499
Nitrogen	nitrite + ammonia => nitrogen	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	8.56481481481481	10.5100715073704	1.94525669255562	30	0	0	0.312239506387997	0.0307282162423625	0.0597493093601493
Sulfur	Assimilatory sulfate reduction, sulfate => H2S	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	19.5833333333333	23.0947585157936	3.51142518246025	42	1	0	0.603127461862388	5.70681263621373e-06	6.65794807558269e-05
Sulfur	Dissimilatory sulfate reduction, sulfate => H2S	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	30.952380952381	36.6675466555693	5.71516570318829	41	5	3	0.530698859266249	0.000104355028112682	0.000389496966250178
Sulfur	Sulfate/thiosulfate transport system	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	1.66666666666667	1.69050275551949	0.0238360888528248	1	0	0	0.236906645412156	0.104965068630445	0.166989881912071
Sulfur	Sulfonate transport system	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	12.5	14.885663921255	2.38566392125504	15	1	1	0.249637890887575	0.0870513982648412	0.160357838908918
Sulfur	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	39.2857142857143	44.2047383128905	4.91902402717623	24	1	7	0.201380352124449	0.169896884838264	0.228707344974586
Vitamin B12	Cobalamin biosynthesis, cobinamide => cobalamin	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	53.3854166666667	61.4087025668133	8.02328590014663	45	0	2	0.515165679703122	0.00017914732689606	0.000570014221942008
Vitamin B12	Cobalamin biosynthesis, precorrin2 => cobinamide	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	29.5	35.5661700474828	6.06617004748277	39	4	3	0.480378079819235	0.000549179909704207	0.00137294977426052
Vitamin B12	Cobalamin salvage	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	3.125	3.4834509238916	0.358450923891604	6	0	0	0.213718069012313	0.14468510507871	0.202559147110194
Vitamin B12	Vitamin B12 transport system	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	48	0	0	0	0	0	0	NA	NA	NA
