research_category	feature_name	source_type	score_semantics	model_status	n_MAG	design_rank	design_columns	rank_deficient	completeness_slope_per_10pct	completeness_p	completeness_BH	interpretation_limit
Carbon	Methanogenesis, methanol => methane	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	0.20669508892231	0.714545673240499	0.757851471618711	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Carbon	Methanogenesis, methylamine/dimethylamine/trimethylamine => methane	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	-0.0395133424066088	0.938535470229792	0.938535470229792	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Carbon	Pyruvate oxidation, pyruvate => acetyl-CoA	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	4.16297380590855	0.0065608246177796	0.0287036077027858	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Carbon	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	2.54768793830271	0.00162448327594944	0.0183414093844638	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Carbon	Reductive citrate cycle (Arnon-Buchanan cycle)	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	1.57092529272725	0.053370998887331	0.116749060066037	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Carbon	TCA /Reductive TCA	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	5.2347968895213	0.103497942221581	0.208341623758821	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Motility	Flagellar Assembly (partial 36-KO reconstruction)	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	6.3001516627652	0.0370017641731475	0.0925044104328687	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Nitrogen	Assimilatory nitrate reduction, nitrate => ammonia	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	0.45228133214815	0.307694032394847	0.398862634585913	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Nitrogen	Complete nitrification, comammox, ammonia => nitrite => nitrate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	1.51872253657822	0.216048142617569	0.338198755615832	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Nitrogen	Denitrification, nitrate => nitrogen	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	6.99769934943321	0.000136447445798323	0.0047756606029413	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Nitrogen	Dissimilatory nitrate reduction, nitrate => ammonia	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	2.06055067812362	0.221270119098733	0.338198755615832	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Nitrogen	Nitrate assimilation	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	5.51537955238829	0.3272689403837	0.409086175479625	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Nitrogen	Nitrification, ammonia => nitrite	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	1.43724019761433	0.107147120790251	0.208341623758821	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Nitrogen	Nitrogen fixation, nitrogen => ammonia	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	invariant outcome	47	NA	NA	NA	NA	NA	NA	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Nitrogen	Urea cycle	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	3.97755630570632	0.00644027914111898	0.0287036077027858	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Nitrogen	Urea transport system	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	6.44097491419344	0.0532220049690239	0.116749060066037	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Nitrogen	nitrite + ammonia => nitrogen	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	2.61525140089878	0.00262020134063769	0.0183414093844638	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Sulfur	Assimilatory sulfate reduction, sulfate => H2S	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	3.42982071292305	0.0279838961304455	0.0816196970471327	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Sulfur	Dissimilatory sulfate reduction, sulfate => H2S	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	7.36255818005836	0.000419777798641386	0.00734611147622425	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Sulfur	Sulfate/thiosulfate transport system	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	0.966243672666936	0.229341905981018	0.338198755615832	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Sulfur	Sulfonate transport system	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	2.58504315682857	0.265907526214344	0.357952439134693	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Sulfur	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	-2.16002101644975	0.572104086006594	0.662148571496887	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Vitamin B12	Cobalamin biosynthesis, cobinamide => cobalamin	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	2.36523183992532	0.22991470235959	0.338198755615832	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Vitamin B12	Cobalamin biosynthesis, precorrin2 => cobinamide	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	0.481360497547109	0.784379480376058	0.807449465093001	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Vitamin B12	Cobalamin salvage	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	descriptive OLS; dual-copy MAG excluded	47	8	8	FALSE	1.83899675845765	0.0165896046361055	0.0527851056603355	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
Vitamin B12	Vitamin B12 transport system	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	invariant outcome	47	NA	NA	NA	NA	NA	NA	Descriptive sensitivity only; sparse and structurally empty habitat-clade cells limit adjusted inference
