MAG	classification	domain	phylum	class	order	family	genus	species	classification_method	note	warnings	msa_percent	source_file	family_model	completeness	contamination	habitat	clade_memberships	n_clade_memberships
SY365BB-8-12_bin8	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NORP23;s__	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NORP23	NA	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	Genome has more than 15.8% of markers with multiple hits	36.68	gtdbtk_r226_existing_MAG47_summary.tsv	Rhodobacteraceae	56.89	8.62	IS	Clade 4	1
SY366YB-0-4_bin3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__HK1;f__HK1;g__JAABYT01;s__JAABYT01 sp964194585	Bacteria	Pseudomonadota	Gammaproteobacteria	HK1	HK1	JAABYT01	JAABYT01 sp964194585	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	38.6	gtdbtk_r226_existing_MAG47_summary.tsv	HK1	58.36	3.361	IS	Clade 3	1
SY366YB-0-4_bin5	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NORP23;s__	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NORP23	NA	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	56.33	gtdbtk_r226_existing_MAG47_summary.tsv	Rhodobacteraceae	71.3	5.933	IS	Clade 3	1
SY366YW-0-4_bin2	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__JACZST01;s__	Bacteria	Actinomycetota	Acidimicrobiia	UBA5794	UBA5794	JACZST01	NA	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	44.58	gtdbtk_r226_existing_MAG47_summary.tsv	UBA5794	52.68	7.692	IS	Clade 2	1
SY366YW-0-4_bin34	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA8366;f__GCA-2696645;g__JARFVT01;s__	Bacteria	Pseudomonadota	Alphaproteobacteria	UBA8366	GCA-2696645	JARFVT01	NA	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	87.91	gtdbtk_r226_existing_MAG47_summary.tsv	GCA-2696645	95.86	1.956	IS	Clade 4	1
SY366YW-0-4_bin9	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Casp-alpha2;g__JABJOR01;s__	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Casp-alpha2	JABJOR01	NA	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	89.36	gtdbtk_r226_existing_MAG47_summary.tsv	Casp-alpha2	94.52	0.597	IS	Clade 4	1
SY366YW-4-8_bin7	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Vreelandella;s__Vreelandella sp000235725	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Vreelandella	Vreelandella sp000235725	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	96.21	gtdbtk_r226_existing_MAG47_summary.tsv	Halomonadaceae	98.59	2.6	IS	Clade 1	1
SY366YW-8-12_bin2	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amylibacter;s__	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amylibacter	NA	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	96.64	gtdbtk_r226_existing_MAG47_summary.tsv	Rhodobacteraceae	97.87	1.367	IS	Clade 4	1
SY368YW-4-8_bin24	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudorhodobacter;s__	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudorhodobacter	NA	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	68.41	gtdbtk_r226_existing_MAG47_summary.tsv	Rhodobacteraceae	68.96	0	IS	Clade 3	1
SY368YW-8-12_bin14	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__JAENVV01;g__CAXMPE01;s__	Bacteria	Actinomycetota	Acidimicrobiia	UBA5794	JAENVV01	CAXMPE01	NA	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	55.92	gtdbtk_r226_existing_MAG47_summary.tsv	JAENVV01	65.87	2.136	IS	Clade 2	1
SY368YW-8-12_bin16	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__ZC4RG35;g__SZUA-217;s__SZUA-217 sp030623125	Bacteria	Actinomycetota	Acidimicrobiia	UBA5794	ZC4RG35	SZUA-217	SZUA-217 sp030623125	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	62.77	gtdbtk_r226_existing_MAG47_summary.tsv	ZC4RG35	68.01	4.487	IS	Clade 2	1
SY368YW-8-12_bin33	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Profundibacter;s__	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Profundibacter	NA	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	71.62	gtdbtk_r226_existing_MAG47_summary.tsv	Rhodobacteraceae	86.01	0.658	IS	Clade 4	1
SY456YB-0-4_bin8	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAAEUB01;s__	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	JAAEUB01	NA	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	88.86	gtdbtk_r226_existing_MAG47_summary.tsv	Rhodobacteraceae	97.72	8.262	IS	Clade 4	1
SY456YB-4-8_bin24	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Cocleimonas;s__	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Cocleimonas	NA	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	91.14	gtdbtk_r226_existing_MAG47_summary.tsv	Thiotrichaceae	95.8	1.853	IS	Clade 3	1
SY456YB-8-12_bin27	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amylibacter;s__Amylibacter sp030625465	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amylibacter	Amylibacter sp030625465	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	81.16	gtdbtk_r226_existing_MAG47_summary.tsv	Rhodobacteraceae	95.39	3.794	IS	Clade 4	1
SY456YB-8-12_bin34	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Profundibacter;s__	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Profundibacter	NA	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	57.9	gtdbtk_r226_existing_MAG47_summary.tsv	Rhodobacteraceae	55.32	1.724	IS	Clade 4	1
SY456YB-8-12_bin4	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__JALWJW01;s__	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Aestuariivirgaceae	JALWJW01	NA	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	79.35	gtdbtk_r226_existing_MAG47_summary.tsv	Aestuariivirgaceae	96.08	0.434	IS	Clade 4	1
SY456YB-8-12_bin5	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	56.41	gtdbtk_r226_existing_MAG47_summary.tsv	Rhodobacteraceae	54.24	0.625	IS	Clade 3	1
SY457BB-0-4_bin2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Arenicellales;f__Poriferihabitantaceae;g__JAAELZ01;s__	Bacteria	Pseudomonadota	Gammaproteobacteria	Arenicellales	Poriferihabitantaceae	JAAELZ01	NA	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	95.04	gtdbtk_r226_existing_MAG47_summary.tsv	Poriferihabitantaceae	96.64	2.388	IS	Clade 3	1
SY457BB-0-4_bin35	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Falsihalocynthiibacter;s__	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Falsihalocynthiibacter	NA	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	71.96	gtdbtk_r226_existing_MAG47_summary.tsv	Rhodobacteraceae	83.94	7.843	IS	Clade 4	1
SY457BB-0-4_bin6	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NORP110;s__	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NORP110	NA	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	94.4	gtdbtk_r226_existing_MAG47_summary.tsv	Rhodobacteraceae	98.47	1.727	IS	Clade 4	1
SY457BB-4-8_bin29	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077;s__	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	UBA3077	NA	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	72.86	gtdbtk_r226_existing_MAG47_summary.tsv	Rhodobacteraceae	81.09	3.292	IS	Clade 4	1
SY457BB-4-8_bin33	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NVTR01;s__NVTR01 sp030625325	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NVTR01	NVTR01 sp030625325	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	94.84	gtdbtk_r226_existing_MAG47_summary.tsv	Rhodobacteraceae	98.53	3.138	IS	Clade 4	1
SY457BB-8-12_bin10	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077;s__	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	UBA3077	NA	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	66.72	gtdbtk_r226_existing_MAG47_summary.tsv	Rhodobacteraceae	66.24	0	IS	Clade 3	1
SY457BB-8-12_bin15	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAAEUB01;s__	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	JAAEUB01	NA	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	87.31	gtdbtk_r226_existing_MAG47_summary.tsv	Rhodobacteraceae	94.28	2.895	IS	Clade 4	1
SY457BB-8-12_bin16	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAAEUB01;s__JAAEUB01 sp030625565	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	JAAEUB01	JAAEUB01 sp030625565	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	65.63	gtdbtk_r226_existing_MAG47_summary.tsv	Rhodobacteraceae	85.85	0.833	IS	Clade 3	1
SY457BB-8-12_bin25	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077;s__	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	UBA3077	NA	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	61.32	gtdbtk_r226_existing_MAG47_summary.tsv	Rhodobacteraceae	75.78	1.657	IS	Clade 4	1
SY457BB-8-12_bin4	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NORP23;s__	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NORP23	NA	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	80.0	gtdbtk_r226_existing_MAG47_summary.tsv	Rhodobacteraceae	88.13	3.473	IS	Clade 4	1
SY459WG-0-4_bin26	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__;s__	Bacteria	Actinomycetota	Acidimicrobiia	UBA5794	UBA5794	NA	NA	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	47.7	gtdbtk_r226_existing_MAG47_summary.tsv	UBA5794	63.31	6.077	IS	Clade 2	1
SY459WG-0-4_bin37	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NORP23;s__	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NORP23	NA	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	81.02	gtdbtk_r226_existing_MAG47_summary.tsv	Rhodobacteraceae	94.83	1.655	IS	Clade 4	1
SY459WG-4-8_bin39	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Poriferisodalaceae;g__;s__	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Poriferisodalaceae	NA	NA	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	94.02	gtdbtk_r226_existing_MAG47_summary.tsv	Poriferisodalaceae	98.11	2.991	IS	Clade 2	1
SY459WG-4-8_bin8	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Arenicellales;f__Poriferihabitantaceae;g__JAAELZ01;s__	Bacteria	Pseudomonadota	Gammaproteobacteria	Arenicellales	Poriferihabitantaceae	JAAELZ01	NA	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	87.19	gtdbtk_r226_existing_MAG47_summary.tsv	Poriferihabitantaceae	83.23	1.219	IS	Clade 3	1
SY459WG-8-12_bin19	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__SZUA-100;s__	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	SZUA-100	NA	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	88.84	gtdbtk_r226_existing_MAG47_summary.tsv	Rhizobiaceae	96.75	2.275	IS	Clade 3	1
SY459WG-8-12_bin2	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Profundibacter;s__	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Profundibacter	NA	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	95.37	gtdbtk_r226_existing_MAG47_summary.tsv	Rhodobacteraceae	98.48	2.227	IS	Clade 4	1
