MAG_ID	Habitat	completeness	contamination	GC	checkm_lineage	N50	genome_size_bp	binner	quality_source	clade_memberships	meets_MQ_50_10
SY456YB-4-8_bin24	IS	95.8	1.853	0.397	Gammaproteobacteria	97968	3100245	binsA	IS__SY456YB-4-8.stats	IdrA phylogenetic	TRUE
SY456YB-8-12_bin27	IS	95.39	3.794	0.514	Rhodobacteraceae	31501	2831600	binsAC	IS__SY456YB-8-12.stats	DIRM-synteny IdrA	TRUE
SY456YB-8-12_bin34	IS	55.32	1.724	0.555	Bacteria	60551	2826707	binsA	IS__SY456YB-8-12.stats	DIRM-synteny IdrA	TRUE
SY456YB-8-12_bin4	IS	96.08	0.434	0.485	Alphaproteobacteria	217320	3198483	binsA	IS__SY456YB-8-12.stats	DIRM-synteny IdrA	TRUE
SY456YB-8-12_bin5	IS	54.24	0.625	0.534	Rhodobacteraceae	7891	2011053	binsAC	IS__SY456YB-8-12.stats	IdrA phylogenetic	TRUE
SY457BB-0-4_bin2	IS	96.64	2.388	0.496	Proteobacteria	30466	3227008	binsAB	IS__SY457BB-0-4.stats	IdrA phylogenetic	TRUE
SY457BB-0-4_bin35	IS	83.94	7.843	0.508	Rhodobacteraceae	5181	2558365	binsA	IS__SY457BB-0-4.stats	DIRM-synteny IdrA	TRUE
SY457BB-0-4_bin6	IS	98.47	1.727	0.561	Rhodobacteraceae	126824	3505930	binsC	IS__SY457BB-0-4.stats	DIRM-synteny IdrA	TRUE
SY457BB-4-8_bin29	IS	81.09	3.292	0.503	Rhodobacteraceae	5814	2485136	binsAB	IS__SY457BB-4-8.stats	DIRM-synteny IdrA	TRUE
SY457BB-4-8_bin33	IS	98.53	3.138	0.552	Rhodobacteraceae	231192	3086940	binsBC	IS__SY457BB-4-8.stats	DIRM-synteny IdrA	TRUE
SY457BB-8-12_bin10	IS	66.24	0	0.516	Bacteria	16449	2101718	binsABC	IS__SY457BB-8-12.stats	IdrA phylogenetic	TRUE
SY457BB-8-12_bin15	IS	94.28	2.895	0.538	Rhodobacteraceae	41737	2729196	binsAC	IS__SY457BB-8-12.stats	DIRM-synteny IdrA	TRUE
SY457BB-8-12_bin16	IS	85.85	0.833	0.536	Rhodobacteraceae	49196	2382125	binsAB	IS__SY457BB-8-12.stats	IdrA phylogenetic	TRUE
SY457BB-8-12_bin25	IS	75.78	1.657	0.563	Alphaproteobacteria	12689	2455160	binsABC	IS__SY457BB-8-12.stats	DIRM-synteny IdrA	TRUE
SY457BB-8-12_bin4	IS	88.13	3.473	0.538	Rhodobacteraceae	16488	2497603	binsABC	IS__SY457BB-8-12.stats	DIRM-synteny IdrA	TRUE
SY459WG-0-4_bin26	IS	63.31	6.077	0.594	Bacteria	3930	1395181	binsABC	IS__SY459WG-0-4.stats	Uncertain DMSOR	TRUE
SY459WG-0-4_bin37	IS	94.83	1.655	0.533	Rhodobacteraceae	184330	2464651	binsBC	IS__SY459WG-0-4.stats	DIRM-synteny IdrA	TRUE
SY459WG-4-8_bin39	IS	98.11	2.991	0.545	Bacteria	52977	3519079	binsBC	IS__SY459WG-4-8.stats	Uncertain DMSOR	TRUE
SY459WG-4-8_bin8	IS	83.23	1.219	0.501	Proteobacteria	64784	2872432	binsA	IS__SY459WG-4-8.stats	IdrA phylogenetic	TRUE
SY459WG-8-12_bin19	IS	96.75	2.275	0.518	Rhizobiales	17437	3782489	binsAB	IS__SY459WG-8-12.stats	IdrA phylogenetic	TRUE
SY459WG-8-12_bin2	IS	98.48	2.227	0.558	Rhodobacteraceae	106822	3299534	binsA	IS__SY459WG-8-12.stats	DIRM-synteny IdrA	TRUE
R2111_N500_0-10_bin13	NS	79.77	9.829	0.613	Bacteria	14289	1946133	binsABC	NS__R2111_N500_0-10.stats	Uncertain DMSOR	TRUE
R2111_S300_0-10_bin19	NS	78.27	2.435	0.596	Gammaproteobacteria	18008	2313321	binsABC	NS__R2111_S300_0-10.stats	Canonical AioA	TRUE
