feature_name	MAG	marker	marker_component	hmm_file	gene_id	is_focal_K08356_sequence	retained_after_focal_exclusion
Arsenate reduction	SY456YB-8-12_bin27	arsC (grx)	detoxification arsenate reductase	arsC_glut.hmm	SY456YB-8-12_bin27-k141_91760_4	FALSE	TRUE
Arsenate reduction	SY456YB-8-12_bin34	arsC (grx)	detoxification arsenate reductase	arsC_glut.hmm	SY456YB-8-12_bin34-k141_1098581_16	FALSE	TRUE
Arsenate reduction	SY456YB-8-12_bin4	arsC (grx)	detoxification arsenate reductase	arsC_glut.hmm	SY456YB-8-12_bin4-k141_1051382_125	FALSE	TRUE
Arsenate reduction	SY457BB-0-4_bin2	arsC (grx)	detoxification arsenate reductase	arsC_glut.hmm	SY457BB-0-4_bin2-k141_855312_8	FALSE	TRUE
Arsenate reduction	SY457BB-4-8_bin29	arsC (grx)	detoxification arsenate reductase	arsC_glut.hmm	SY457BB-4-8_bin29-k141_1406157_3	FALSE	TRUE
Arsenate reduction	SY457BB-4-8_bin33	arsC (grx)	detoxification arsenate reductase	arsC_glut.hmm	SY457BB-4-8_bin33-k141_1298571_197	FALSE	TRUE
Arsenate reduction	SY457BB-8-12_bin10	arsC (grx)	detoxification arsenate reductase	arsC_glut.hmm	SY457BB-8-12_bin10-k141_757287_8	FALSE	TRUE
Arsenate reduction	SY457BB-8-12_bin15	arsC (grx)	detoxification arsenate reductase	arsC_glut.hmm	SY457BB-8-12_bin15-k141_633653_31	FALSE	TRUE
Arsenate reduction	SY457BB-8-12_bin16	arsC (grx)	detoxification arsenate reductase	arsC_glut.hmm	SY457BB-8-12_bin16-k141_57632_39	FALSE	TRUE
Arsenate reduction	SY457BB-8-12_bin25	arsC (grx)	detoxification arsenate reductase	arsC_glut.hmm	SY457BB-8-12_bin25-k141_1214782_10	FALSE	TRUE
Arsenate reduction	SY457BB-8-12_bin4	arsC (grx)	detoxification arsenate reductase	arsC_glut.hmm	SY457BB-8-12_bin4-k141_149787_4	FALSE	TRUE
Arsenate reduction	SY459WG-0-4_bin37	arsC (grx)	detoxification arsenate reductase	arsC_glut.hmm	SY459WG-0-4_bin37-k141_794804_152	FALSE	TRUE
Arsenate reduction	SY459WG-4-8_bin8	arsC (grx)	detoxification arsenate reductase	arsC_glut.hmm	SY459WG-4-8_bin8-k141_3540_45	FALSE	TRUE
Arsenate reduction	SY459WG-8-12_bin19	arsC (grx)	detoxification arsenate reductase	arsC_glut.hmm	SY459WG-8-12_bin19-k141_410325_10	FALSE	TRUE
Arsenate reduction	SY459WG-8-12_bin2	arsC (grx)	detoxification arsenate reductase	arsC_glut.hmm	SY459WG-8-12_bin2-k141_415007_25	FALSE	TRUE
Arsenite oxidation	S1_9-12_bin1	aioA	arsenite oxidase large subunit	aioA.hmm	S1_9-12_bin1-k141_637215_2	TRUE	FALSE
Arsenite oxidation	SY366YW-4-8_bin7	aioA	arsenite oxidase large subunit	aioA.hmm	SY366YW-4-8_bin7-k141_14765_13	TRUE	FALSE
