tree_label	source_svg_tree_label	habitat_label_status	clade_display	clade_color	Sequence_ID	MAG_ID	Habitat	Sample_group	Final_class	Confidence	Tree_clade	nearest_reference	nearest_reference_family	Combined_score	IdrA_score	AioA_score	IdrA_minus_AioA	neighborhood_class	strict_synteny_QC_pass	strict_synteny_QC_fail_reasons	gene_order
IS|SY457BB-8-12_bin4-k141_1432391_5	IS|SY457BB-8-12_bin4-k141_1432391_5	match	DIRM-synteny IdrA	#7B3294	SY457BB-8-12_bin4-k141_1432391_5	SY457BB-8-12_bin4	IS	SY457BB	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-associated	RuegerinterIdrA	IdrA	991.0	1391.3	460.2	931.1	complete DIRM-like neighborhood	yes		P1like2(+)-P2like3(+)-B4(+)-A5(+)
IS|SY459WG-0-4_bin37-k141_569169_31	IS|SY459WG-0-4_bin37-k141_569169_31	match	DIRM-synteny IdrA	#7B3294	SY459WG-0-4_bin37-k141_569169_31	SY459WG-0-4_bin37	IS	SY459WG	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-associated	RuegerinterIdrA	IdrA	994.7	1391.1	470.3	920.8	complete DIRM-like neighborhood	yes		A31(-)-B32(-)-P1like33(-)-P2like34(-)
IS|SY459WG-8-12_bin2-k141_281775_92	IS|SY459WG-8-12_bin2-k141_281775_92	match	DIRM-synteny IdrA	#7B3294	SY459WG-8-12_bin2-k141_281775_92	SY459WG-8-12_bin2	IS	SY459WG	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-associated	RuegerinterIdrA	IdrA	988.4	1384.4	462.8	921.6	complete DIRM-like neighborhood	yes		A92(-)-B93(-)-P1like94(-)-P2like95(-)
AS|S13_0-2_bin3-k141_1059512_3	ES|S13_0-2_bin3-k141_1059512_3	corrected_to_evidence_table	IdrA phylogenetic	#0072B2	S13_0-2_bin3-k141_1059512_3	S13_0-2_bin3	AS	S13	IdrA-associated phylogenetic lineage	Medium	IdrA-associated	RhodophyporphyIdrA	IdrA	928.9	1364.4	395.6	968.8	partial DIRM-like neighborhood	no	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	P1like1(+)-B2(+)-A3(+)
AS|S15_8-10_bin20-k141_2063280_11	ES|S15_8-10_bin20-k141_2063280_11	corrected_to_evidence_table	IdrA phylogenetic	#0072B2	S15_8-10_bin20-k141_2063280_11	S15_8-10_bin20	AS	S15	IdrA-associated phylogenetic lineage	Medium	IdrA-associated	VibritapetIdrA	IdrA	961.7	1376.8	445.3	931.5	unresolved/truncated neighborhood	no	missing_B_related_hit;fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa;B_length_outside_50_350aa;support_genes_not_compact_max_gap_gt3	A11(-)
AS|S1_9-12_bin1-k141_675749_2	AS|S1_9-12_bin1-k141_675749_2	match	IdrA phylogenetic	#0072B2	S1_9-12_bin1-k141_675749_2	S1_9-12_bin1	AS	S1	IdrA-associated phylogenetic lineage	Medium	IdrA-associated	VibritapetIdrA	IdrA	808.1	1159.3	360.0	799.3	partial DIRM-like neighborhood	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	B1(+)-A2(+)
ES|C1_12-18_bin19-k141_2550623_11	ES|C1_12-18_bin19-k141_2550623_11	match	IdrA phylogenetic	#0072B2	C1_12-18_bin19-k141_2550623_11	C1_12-18_bin19	ES	C1	IdrA-associated phylogenetic lineage	Medium	IdrA-associated	VibritapetIdrA	IdrA	958.5	1383.4	436.6	946.8	partial DIRM-like neighborhood	no	overlapping_support_gene_coordinates	P1like8(+)-P2like9(+)-B10(+)-A11(+)
ES|C1_12-18_bin24-k141_2459344_2	ES|C1_12-18_bin24-k141_2459344_2	match	IdrA phylogenetic	#0072B2	C1_12-18_bin24-k141_2459344_2	C1_12-18_bin24	ES	C1	IdrA-associated phylogenetic lineage	Medium	IdrA-associated	VibritapetIdrA	IdrA	788.2	1133.1	352.5	780.6	partial DIRM-like neighborhood	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	B1(+)-A2(+)
ES|C2_12-18_bin11-k141_1404867_2	ES|C2_12-18_bin11-k141_1404867_2	match	IdrA phylogenetic	#0072B2	C2_12-18_bin11-k141_1404867_2	C2_12-18_bin11	ES	C2	IdrA-associated phylogenetic lineage	Medium	IdrA-associated	RuegerinterIdrA	IdrA	935.5	1304.0	448.5	855.5	partial DIRM-like neighborhood	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	B1(+)-A2(+)
ES|C2_12-18_bin17-k141_1448372_1	ES|C2_12-18_bin17-k141_1448372_1	match	IdrA phylogenetic	#0072B2	C2_12-18_bin17-k141_1448372_1	C2_12-18_bin17	ES	C2	IdrA-associated phylogenetic lineage	Medium	IdrA-associated	SulfuriverfontisIdrA	IdrA	923.9	1321.0	436.6	884.4	partial DIRM-like neighborhood	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	A1(-)-B2(-)-P1like3(-)
IS|SY365BB-0-4_bin24-k141_346659_3	IS|SY365BB-0-4_bin24-k141_346659_3	match	IdrA phylogenetic	#0072B2	SY365BB-0-4_bin24-k141_346659_3	SY365BB-0-4_bin24	IS	SY365BB	IdrA-associated phylogenetic lineage	Medium	IdrA-associated	VibritapetIdrA	IdrA	996.1	1460.6	438.7	1021.9	partial DIRM-like neighborhood	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	B2(+)-A3(+)
IS|SY365BB-8-12_bin7-k141_1337394_7	IS|SY365BB-8-12_bin7-k141_1337394_7	match	IdrA phylogenetic	#0072B2	SY365BB-8-12_bin7-k141_1337394_7	SY365BB-8-12_bin7	IS	SY365BB	IdrA-associated phylogenetic lineage	Medium	IdrA-associated	MoritelviscoIdrA	IdrA	1029.6	1537.7	442.2	1095.5	partial DIRM-like neighborhood	no	overlapping_support_gene_coordinates	P1like4(+)-P2like5(+)-B6(+)-A7(+)
IS|SY366YB-0-4_bin3-k141_281514_2	IS|SY366YB-0-4_bin3-k141_281514_2	match	IdrA phylogenetic	#0072B2	SY366YB-0-4_bin3-k141_281514_2	SY366YB-0-4_bin3	IS	SY366YB	IdrA-associated phylogenetic lineage	Medium	IdrA-associated	LabrenalbaIdrA	IdrA	855.9	1260.5	374.4	886.1	unresolved/truncated neighborhood	no	missing_B_related_hit;fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa;B_length_outside_50_350aa;support_genes_not_compact_max_gap_gt3	A2(-)
IS|SY366YB-0-4_bin5-k141_98994_2	IS|SY366YB-0-4_bin5-k141_98994_2	match	IdrA phylogenetic	#0072B2	SY366YB-0-4_bin5-k141_98994_2	SY366YB-0-4_bin5	IS	SY366YB	IdrA-associated phylogenetic lineage	Medium	IdrA-associated	RuegerinterIdrA	IdrA	993.7	1396.4	461.2	935.2	partial DIRM-like neighborhood	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	A2(-)-B3(-)
IS|SY368YW-4-8_bin24-k141_617455_9	IS|SY368YW-4-8_bin24-k141_617455_9	match	IdrA phylogenetic	#0072B2	SY368YW-4-8_bin24-k141_617455_9	SY368YW-4-8_bin24	IS	SY368YW	IdrA-associated phylogenetic lineage	Medium	IdrA-associated	DefluviaquaeIdrA	IdrA	1177.5	1762.1	486.2	1275.9	partial DIRM-like neighborhood	no	overlapping_support_gene_coordinates	P1like6(+)-P2like7(+)-B8(+)-A9(+)
IS|SY456YB-4-8_bin24-k141_314185_12	IS|SY456YB-4-8_bin24-k141_314185_12	match	IdrA phylogenetic	#0072B2	SY456YB-4-8_bin24-k141_314185_12	SY456YB-4-8_bin24	IS	SY456YB	IdrA-associated phylogenetic lineage	Medium	IdrA-associated	VibritapetIdrA	IdrA	963.4	1383.4	465.4	918.0	partial DIRM-like neighborhood	no	overlapping_support_gene_coordinates	P1like9(+)-P2like10(+)-B11(+)-A12(+)
IS|SY456YB-8-12_bin5-k141_222164_2	IS|SY456YB-8-12_bin5-k141_222164_2	match	IdrA phylogenetic	#0072B2	SY456YB-8-12_bin5-k141_222164_2	SY456YB-8-12_bin5	IS	SY456YB	IdrA-associated phylogenetic lineage	Medium	IdrA-associated	RuegerinterIdrA	IdrA	988.2	1386.1	472.5	913.6	partial DIRM-like neighborhood	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	A2(-)-B3(-)-P1like4(-)
IS|SY457BB-0-4_bin2-k141_509701_9	IS|SY457BB-0-4_bin2-k141_509701_9	match	IdrA phylogenetic	#0072B2	SY457BB-0-4_bin2-k141_509701_9	SY457BB-0-4_bin2	IS	SY457BB	IdrA-associated phylogenetic lineage	Medium	IdrA-associated	VibritapetIdrA	IdrA	965.1	1386.1	470.0	916.1	partial DIRM-like neighborhood	no	overlapping_support_gene_coordinates	P1like6(+)-P2like7(+)-B8(+)-A9(+)
IS|SY457BB-8-12_bin10-k141_377897_3	IS|SY457BB-8-12_bin10-k141_377897_3	match	IdrA phylogenetic	#0072B2	SY457BB-8-12_bin10-k141_377897_3	SY457BB-8-12_bin10	IS	SY457BB	IdrA-associated phylogenetic lineage	Medium	IdrA-associated	RuegerinterIdrA	IdrA	981.5	1381.5	452.3	929.2	partial DIRM-like neighborhood	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	B2(+)-A3(+)
IS|SY457BB-8-12_bin16-k141_1142550_1	IS|SY457BB-8-12_bin16-k141_1142550_1	match	IdrA phylogenetic	#0072B2	SY457BB-8-12_bin16-k141_1142550_1	SY457BB-8-12_bin16	IS	SY457BB	IdrA-associated phylogenetic lineage	Medium	IdrA-associated	RuegerinterIdrA	IdrA	992.4	1394.8	460.0	934.8	unresolved/truncated neighborhood	no	missing_B_related_hit;fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa;B_length_outside_50_350aa;support_genes_not_compact_max_gap_gt3	A1(+)
IS|SY459WG-4-8_bin8-k141_320908_36	IS|SY459WG-4-8_bin8-k141_320908_36	match	IdrA phylogenetic	#0072B2	SY459WG-4-8_bin8-k141_320908_36	SY459WG-4-8_bin8	IS	SY459WG	IdrA-associated phylogenetic lineage	Medium	IdrA-associated	VibritapetIdrA	IdrA	957.3	1381.2	463.7	917.5	partial DIRM-like neighborhood	no	overlapping_support_gene_coordinates	A36(-)-B37(-)-P1like38(-)-P2like39(-)
IS|SY459WG-8-12_bin19-k141_364478_5	IS|SY459WG-8-12_bin19-k141_364478_5	match	IdrA phylogenetic	#0072B2	SY459WG-8-12_bin19-k141_364478_5	SY459WG-8-12_bin19	IS	SY459WG	IdrA-associated phylogenetic lineage	Medium	IdrA-associated	RuegerinterIdrA	IdrA	978.8	1364.2	456.2	908.0	partial DIRM-like neighborhood	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	A5(-)-B6(-)-P1like7(-)
AS|SQ_58_0-4_bin4-k141_1629246_3	AS|SQ_58_0-4_bin4-k141_1629246_3	match	Uncertain DMSOR	#D55E00	SQ_58_0-4_bin4-k141_1629246_3	SQ_58_0-4_bin4	AS	SQ_58	unknown/uncertain DMSOR	Medium	Unknown-clade-associated	ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium	Unknown_clade	776.6	855.0	489.3	365.7	partial DIRM-like neighborhood	no	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	B2(+)-A3(+)
IS|SY366YW-0-4_bin2-k141_1353278_2	IS|SY366YW-0-4_bin2-k141_1353278_2	match	Uncertain DMSOR	#D55E00	SY366YW-0-4_bin2-k141_1353278_2	SY366YW-0-4_bin2	IS	SY366YW	unknown/uncertain DMSOR	Medium	Unknown-clade-associated	ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium	Unknown_clade	783.9	859.2	493.2	366.0	partial DIRM-like neighborhood	no	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	B1(+)-A2(+)
IS|SY368YW-8-12_bin14-k141_222555_4	IS|SY368YW-8-12_bin14-k141_222555_4	match	Uncertain DMSOR	#D55E00	SY368YW-8-12_bin14-k141_222555_4	SY368YW-8-12_bin14	IS	SY368YW	unknown/uncertain DMSOR	Medium	Unknown-clade-associated	ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium	Unknown_clade	775.5	864.9	475.0	389.9	partial DIRM-like neighborhood	no	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	A4(-)-B5(-)
IS|SY368YW-8-12_bin16-k141_314641_4	SY368YW-8-12 bin16-k141_314641_4	prefix_missing_in_source_svg	Uncertain DMSOR	#D55E00	SY368YW-8-12_bin16-k141_314641_4	SY368YW-8-12_bin16	IS	SY368YW	unknown/uncertain DMSOR	Medium	Unknown-clade-associated	ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium	Unknown_clade	776.8	871.9	482.3	389.6	partial DIRM-like neighborhood	no	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	B3(+)-A4(+)
IS|SY459WG-0-4_bin26-k141_460220_2	IS|SY459WG-0-4_bin26-k141_460220_2	match	Uncertain DMSOR	#D55E00	SY459WG-0-4_bin26-k141_460220_2	SY459WG-0-4_bin26	IS	SY459WG	unknown/uncertain DMSOR	Medium	Unknown-clade-associated	ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium	Unknown_clade	787.4	856.7	481.0	375.7	partial DIRM-like neighborhood	no	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	B1(+)-A2(+)
IS|SY459WG-4-8_bin39-k141_681176_50	IS|SY459WG-4-8_bin39-k141_681176_50	match	Uncertain DMSOR	#D55E00	SY459WG-4-8_bin39-k141_681176_50	SY459WG-4-8_bin39	IS	SY459WG	unknown/uncertain DMSOR	Medium	Unknown-clade-associated	ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium	Unknown_clade	806.0	896.1	510.2	385.9	partial DIRM-like neighborhood	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	A50(-)-B51(-)
NS|R2111_N500_0-10_bin13-k141_4404301_3	R2111_N500_0-10 bin13-k141_4404301_3	prefix_missing_in_source_svg	Uncertain DMSOR	#D55E00	R2111_N500_0-10_bin13-k141_4404301_3	R2111_N500_0-10_bin13	NS	R2111_N500	unknown/uncertain DMSOR	Medium	Unknown-clade-associated	ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium	Unknown_clade	780.4	874.2	487.3	386.9	partial DIRM-like neighborhood	no	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	B2(+)-A3(+)
