target_id	bin_id	contig_id	target_gene_index	n_genes_in_window	target_annotation	idrB_present	idrP1_present	idrP2_present	aioB_present	aio_operon_like	gene_neighborhood	neighborhood_notes
SY366YB-0-4_bin3-k141_281514_2	SY366YB-0-4_bin3	SY366YB-0-4_bin3-k141_281514	2	2	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	No	No	no idrB/idrP1/idrP2/aioB detected in DRAM +/-10 annotations	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY366YB-0-4_bin5-k141_98994_2	SY366YB-0-4_bin5	SY366YB-0-4_bin5-k141_98994	2	3	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY366YW-0-4_bin2-k141_1353278_2	SY366YW-0-4_bin2	SY366YW-0-4_bin2-k141_1353278	2	3	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY366YW-0-4_bin34-k141_1276861_15	SY366YW-0-4_bin34	SY366YW-0-4_bin34-k141_1276861	15	21	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY366YW-0-4_bin9-k141_1360848_3	SY366YW-0-4_bin9	SY366YW-0-4_bin9-k141_1360848	3	13	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY366YW-4-8_bin7-k141_14765_13	SY366YW-4-8_bin7	SY366YW-4-8_bin7-k141_14765	13	21	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: D; Major Facilitator Superfamily [PF07690.21] (db=pfam)
SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2	SY366YW-8-12_bin2-k141_497241	22	21	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY368YW-4-8_bin24-k141_617455_9	SY368YW-4-8_bin24	SY368YW-4-8_bin24-k141_617455	9	18	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-7:rank: D; Putative transposase [PF04986.18] (db=pfam); -6:rank: C; putative transposase (db=kegg); -1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY368YW-8-12_bin14-k141_222555_4	SY368YW-8-12_bin14	SY368YW-8-12_bin14-k141_222555	4	5	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY368YW-8-12_bin16-k141_314641_4	SY368YW-8-12_bin16	SY368YW-8-12_bin16-k141_314641	4	7	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY368YW-8-12_bin33-k141_1103131_193	SY368YW-8-12_bin33	SY368YW-8-12_bin33-k141_1103131	193	19	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY456YB-0-4_bin8-k141_492248_42	SY456YB-0-4_bin8	SY456YB-0-4_bin8-k141_492248	42	21	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY456YB-4-8_bin24-k141_314185_12	SY456YB-4-8_bin24	SY456YB-4-8_bin24-k141_314185	12	21	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27	SY456YB-8-12_bin27-k141_1029503	28	21	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY456YB-8-12_bin34-k141_963697_76	SY456YB-8-12_bin34	SY456YB-8-12_bin34-k141_963697	76	21	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY456YB-8-12_bin4-k141_708485_189	SY456YB-8-12_bin4	SY456YB-8-12_bin4-k141_708485	189	21	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY456YB-8-12_bin5-k141_222164_2	SY456YB-8-12_bin5	SY456YB-8-12_bin5-k141_222164	2	4	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY457BB-0-4_bin2-k141_509701_9	SY457BB-0-4_bin2	SY457BB-0-4_bin2-k141_509701	9	9	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY457BB-0-4_bin35-k141_455312_8	SY457BB-0-4_bin35	SY457BB-0-4_bin35-k141_455312	8	15	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY457BB-0-4_bin6-k141_196093_82	SY457BB-0-4_bin6	SY457BB-0-4_bin6-k141_196093	82	21	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY457BB-4-8_bin29-k141_12975_7	SY457BB-4-8_bin29	SY457BB-4-8_bin29-k141_12975	7	8	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY457BB-4-8_bin33-k141_110702_26	SY457BB-4-8_bin33	SY457BB-4-8_bin33-k141_110702	26	21	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY457BB-8-12_bin10-k141_377897_3	SY457BB-8-12_bin10	SY457BB-8-12_bin10-k141_377897	3	13	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY457BB-8-12_bin15-k141_1498167_38	SY457BB-8-12_bin15	SY457BB-8-12_bin15-k141_1498167	38	15	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY457BB-8-12_bin16-k141_1142550_1	SY457BB-8-12_bin16	SY457BB-8-12_bin16-k141_1142550	1	11	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	No	No	no idrB/idrP1/idrP2/aioB detected in DRAM +/-10 annotations	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY457BB-8-12_bin25-k141_129537_12	SY457BB-8-12_bin25	SY457BB-8-12_bin25-k141_129537	12	21	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY457BB-8-12_bin4-k141_1432391_5	SY457BB-8-12_bin4	SY457BB-8-12_bin4-k141_1432391	5	12	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY459WG-0-4_bin26-k141_460220_2	SY459WG-0-4_bin26	SY459WG-0-4_bin26-k141_460220	2	9	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY459WG-0-4_bin37-k141_569169_31	SY459WG-0-4_bin37	SY459WG-0-4_bin37-k141_569169	31	21	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY459WG-4-8_bin39-k141_681176_50	SY459WG-4-8_bin39	SY459WG-4-8_bin39-k141_681176	50	21	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-9:rank: D; Major Facilitator Superfamily [PF07690.21]; Transmembrane secretion effector [PF0; 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY459WG-4-8_bin8-k141_320908_36	SY459WG-4-8_bin8	SY459WG-4-8_bin8-k141_320908	36	21	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY459WG-8-12_bin19-k141_364478_5	SY459WG-8-12_bin19	SY459WG-8-12_bin19-k141_364478	5	7	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
SY459WG-8-12_bin2-k141_281775_92	SY459WG-8-12_bin2	SY459WG-8-12_bin2-k141_281775	92	21	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
R2111_N500_0-10_bin13-k141_4404301_3	R2111_N500_0-10_bin13	R2111_N500_0-10_bin13-k141_4404301	3	4	rank: KOfam reliable; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (K08356; score=729.7; threshold=666.67; e=5.3e-220)	No	No	No	Yes	Yes	aioB/aio-like neighborhood	-2:unresolved/partial CDS; weak KOfam match below adaptive threshold: cytochrome c (K08738; score=18.2; threshold=41.33); -1:rank: KOfam reliable; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (K08355; score=178.5; threshold=112.37; e=1.4e-53); 0:rank: KOfam reliable; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (K08356; score=729.7; threshold=666.67; e=5.3e-220); 1:unresolved/partial CDS; weak KOfam match below adaptive threshold: two-component system, NarL family, response regulator DevR (K07695; score=33.2; threshold=246.00)
