tree_label	candidate_id	source	gene_id	relative_gene_position	relative_bp_start	relative_bp_end	strand	plot_label	neighborhood_structure_class	strict_synteny_QC_pass	annotation
IS|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	GFF+DRAM annotation	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_33	1	1491	3680	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: D; HEAT repeats [PF13646.11] (db=pfam)
IS|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	GFF+DRAM annotation	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_34	2	3706	4446	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: D; Polysaccharide lyase family 4, domain II [PF14686.11] (db=pfam)
IS|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	GFF+DRAM annotation	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_35	3	4465	4572	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: E
IS|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	GFF+DRAM annotation	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_36	4	4602	5405	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: D; Sulfatase-modifying factor enzyme 1 [PF03781.21] (db=pfam)
IS|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	GFF+DRAM annotation	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_37	5	5417	7069	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: D; Universal stress protein family [PF00582.31]; Proto-chlorophyllide reductase 57 kD subunit [PF08369.15] (db=pfam)
IS|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	GFF+DRAM annotation	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_38	6	7062	8333	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: C; AdoMet-dependent heme synthase [EC:1.3.98.6] (db=kegg)
IS|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	GFF+DRAM annotation	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_39	7	8330	9703	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: C; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15] (db=kegg)
IS|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	GFF+DRAM annotation	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_40	8	9690	10913	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: C; molybdopterin molybdotransferase [EC:2.10.1.1] (db=kegg)
IS|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	GFF+DRAM annotation	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_41	9	10910	11551	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: D; Nitroreductase family [PF00881.29] (db=pfam)
IS|SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982_32	GFF+DRAM annotation	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_42	10	11704	13899	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: C; two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3] (db=kegg)
IS|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	GFF+DRAM annotation	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_12	-10	-13442	-13065	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: C; cytochrome c (db=kegg)
IS|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	GFF+DRAM annotation	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_13	-9	-12877	-12149	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: C; two-component system, OmpR family, response regulator (db=kegg)
IS|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	GFF+DRAM annotation	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_14	-8	-12024	-9757	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: C; two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3] (db=kegg)
IS|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	GFF+DRAM annotation	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_15	-7	-9730	-8318	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: C; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15] (db=kegg)
IS|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	GFF+DRAM annotation	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_16	-6	-8367	-7090	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: C; AdoMet-dependent heme synthase [EC:1.3.98.6] (db=kegg)
IS|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	GFF+DRAM annotation	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_17	-5	-7086	-5446	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: D; Universal stress protein family [PF00582.31]; Proto-chlorophyllide reductase 57 kD subunit [PF08369.15] (db=pfam)
IS|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	GFF+DRAM annotation	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_18	-4	-5436	-4585	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: D; Sulfatase-modifying factor enzyme 1 [PF03781.21] (db=pfam)
IS|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	GFF+DRAM annotation	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_19	-3	-4588	-4481	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: E
IS|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	GFF+DRAM annotation	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_20	-2	-4457	-3717	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: D; Polysaccharide lyase family 4, domain II [PF14686.11] (db=pfam)
IS|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	GFF+DRAM annotation	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_21	-1	-3691	-1493	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: D; HEAT repeats [PF13646.11] (db=pfam)
IS|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	focal MAG candidate + GFF	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_22	0	-1339	1339	-	AioA/IdrA-related A	complete DIRM-like neighborhood	yes	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
IS|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	joint reference search + strict-QC	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_23	1	1351	1938	-	IdrB/AioB-related small subunit	complete DIRM-like neighborhood	yes	rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
IS|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	joint reference search + strict-QC	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_24	2	1953	3104	-	P-like	complete DIRM-like neighborhood	yes	rank: C; cytochrome c peroxidase [EC:1.11.1.5] (db=kegg)
IS|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	joint reference search + strict-QC	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_25	3	3125	4243	-	P-like	complete DIRM-like neighborhood	yes	rank: C; cytochrome c peroxidase [EC:1.11.1.5] (db=kegg)
IS|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	GFF+DRAM annotation	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_26	4	4387	6651	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: D; Ethylbenzene dehydrogenase [PF09459.15]; Cytochrome c [PF00034.26]; Cytochrome C oxidase, cbb3-type, subunit III [PF13442.11] (db=pfam)
IS|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	GFF+DRAM annotation	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_27	5	6662	7804	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: E
IS|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	GFF+DRAM annotation	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_28	6	7801	9558	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: C; cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7] (db=kegg)
IS|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	GFF+DRAM annotation	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_29	7	9570	9698	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: E
IS|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	GFF+DRAM annotation	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_30	8	9952	10254	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: E
IS|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	GFF+DRAM annotation	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_31	9	10447	11214	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: D; Crp-like helix-turn-helix domain [PF13545.11] (db=pfam)
IS|SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241_22	GFF+DRAM annotation	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_32	10	11207	12184	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: C; protoporphyrin/coproporphyrin ferrochelatase [EC:4.98.1.1 4.99.1.9] (db=kegg)
IS|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	GFF+DRAM annotation	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_18	-10	-13554	-12823	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: C; two-component system, OmpR family, response regulator (db=kegg)
IS|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	GFF+DRAM annotation	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_19	-9	-12677	-10431	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: C; two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3] (db=kegg)
IS|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	GFF+DRAM annotation	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_20	-8	-10324	-9713	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: D; Nitroreductase family [PF00881.29] (db=pfam)
IS|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	GFF+DRAM annotation	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_21	-7	-9766	-8393	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: C; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15] (db=kegg)
IS|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	GFF+DRAM annotation	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_22	-6	-8384	-7113	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: C; AdoMet-dependent heme synthase [EC:1.3.98.6] (db=kegg)
IS|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	GFF+DRAM annotation	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_23	-5	-7108	-5468	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: D; Universal stress protein family [PF00582.31]; Proto-chlorophyllide reductase 57 kD subunit [PF08369.15] (db=pfam)
IS|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	GFF+DRAM annotation	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_24	-4	-5456	-4596	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: D; Sulfatase-modifying factor enzyme 1 [PF03781.21] (db=pfam)
IS|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	GFF+DRAM annotation	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_25	-3	-4611	-4504	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: E
IS|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	GFF+DRAM annotation	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_26	-2	-4459	-3719	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: D; Polysaccharide lyase family 4, domain II [PF14686.11] (db=pfam)
IS|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	GFF+DRAM annotation	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_27	-1	-3693	-1507	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: D; HEAT repeats [PF13646.11] (db=pfam)
IS|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	focal MAG candidate + GFF	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_28	0	-1339	1339	-	AioA/IdrA-related A	complete DIRM-like neighborhood	yes	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
IS|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	joint reference search + strict-QC	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_29	1	1351	1932	-	IdrB/AioB-related small subunit	complete DIRM-like neighborhood	yes	rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
IS|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	joint reference search + strict-QC	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_30	2	1953	3104	-	P-like	complete DIRM-like neighborhood	yes	rank: C; cytochrome c peroxidase [EC:1.11.1.5] (db=kegg)
IS|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	joint reference search + strict-QC	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_31	3	3125	4246	-	P-like	complete DIRM-like neighborhood	yes	rank: C; cytochrome c peroxidase [EC:1.11.1.5] (db=kegg)
IS|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	GFF+DRAM annotation	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_32	4	4393	6657	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: D; Ethylbenzene dehydrogenase [PF09459.15]; Cytochrome C oxidase, cbb3-type, subunit III [PF13442.11]; Cytochrome c [PF00034.26] (db=pfam)
IS|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	GFF+DRAM annotation	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_33	5	6668	7810	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: E
IS|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	GFF+DRAM annotation	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_34	6	7807	9573	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: C; cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7] (db=kegg)
IS|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	GFF+DRAM annotation	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_35	7	9583	9711	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: E
IS|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	GFF+DRAM annotation	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_36	8	9743	9886	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: E
IS|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	GFF+DRAM annotation	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_37	9	9963	10265	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: E
IS|SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503_28	GFF+DRAM annotation	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_38	10	10457	11224	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: D; Crp-like helix-turn-helix domain [PF13545.11] (db=pfam)
IS|SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26-k141_1297159_20	GFF+DRAM annotation	SY365BB-8-12_bin26_SY365BB-8-12_bin26-k141_1297159_10	-10	-11233	-10607	-	other annotated CDS	complete DIRM-like neighborhood	yes	rank: D; Crp-like helix-turn-helix domain [PF13545.11] (db=pfam)
IS|SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26-k141_1297159_20	GFF+DRAM annotation	SY365BB-8-12_bin26_SY365BB-8-12_bin26-k141_1297159_11	-9	-10283	-9981	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: E
IS|SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26-k141_1297159_20	GFF+DRAM annotation	SY365BB-8-12_bin26_SY365BB-8-12_bin26-k141_1297159_12	-8	-9825	-9703	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: E
IS|SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26-k141_1297159_20	GFF+DRAM annotation	SY365BB-8-12_bin26_SY365BB-8-12_bin26-k141_1297159_13	-7	-9683	-9555	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: E
IS|SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26-k141_1297159_20	GFF+DRAM annotation	SY365BB-8-12_bin26_SY365BB-8-12_bin26-k141_1297159_14	-6	-9543	-7786	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: C; cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7] (db=kegg)
IS|SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26-k141_1297159_20	GFF+DRAM annotation	SY365BB-8-12_bin26_SY365BB-8-12_bin26-k141_1297159_15	-5	-7789	-6650	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: E
IS|SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26-k141_1297159_20	GFF+DRAM annotation	SY365BB-8-12_bin26_SY365BB-8-12_bin26-k141_1297159_16	-4	-6640	-4376	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: D; Ethylbenzene dehydrogenase [PF09459.15]; Cytochrome c [PF00034.26]; Cytochrome C oxidase, cbb3-type, subunit III [PF13442.11] (db=pfam)
IS|SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26-k141_1297159_20	joint reference search + strict-QC	SY365BB-8-12_bin26_SY365BB-8-12_bin26-k141_1297159_17	-3	-4233	-3112	+	P-like	complete DIRM-like neighborhood	yes	rank: C; cytochrome c peroxidase [EC:1.11.1.5] (db=kegg)
IS|SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26-k141_1297159_20	joint reference search + strict-QC	SY365BB-8-12_bin26_SY365BB-8-12_bin26-k141_1297159_18	-2	-3099	-1954	+	P-like	complete DIRM-like neighborhood	yes	rank: C; cytochrome c peroxidase [EC:1.11.1.5] (db=kegg)
IS|SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26-k141_1297159_20	joint reference search + strict-QC	SY365BB-8-12_bin26_SY365BB-8-12_bin26-k141_1297159_19	-1	-1933	-1352	+	IdrB/AioB-related small subunit	complete DIRM-like neighborhood	yes	rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
IS|SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26-k141_1297159_20	focal MAG candidate + GFF	SY365BB-8-12_bin26_SY365BB-8-12_bin26-k141_1297159_20	0	-1339	1339	+	AioA/IdrA-related A	complete DIRM-like neighborhood	yes	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)
IS|SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26-k141_1297159_20	GFF+DRAM annotation	SY365BB-8-12_bin26_SY365BB-8-12_bin26-k141_1297159_21	1	1495	3687	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: E
IS|SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26-k141_1297159_20	GFF+DRAM annotation	SY365BB-8-12_bin26_SY365BB-8-12_bin26-k141_1297159_22	2	3713	4453	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: D; Polysaccharide lyase family 4, domain II [PF14686.11] (db=pfam)
IS|SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26-k141_1297159_20	GFF+DRAM annotation	SY365BB-8-12_bin26_SY365BB-8-12_bin26-k141_1297159_23	3	4475	4582	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: E
IS|SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26-k141_1297159_20	GFF+DRAM annotation	SY365BB-8-12_bin26_SY365BB-8-12_bin26-k141_1297159_24	4	4594	5424	+	other annotated CDS	complete DIRM-like neighborhood	yes	rank: D; Sulfatase-modifying factor enzyme 1 [PF03781.21] (db=pfam)
