candidate_id	contig_id	A_gene_id	A_start	A_end	A_strand	A_partial	B_hit_id	B_start	B_end	B_strand	B_partial	B_ref_family	B_reference_hit	B_bitscore	B_qcov_pct	P_like_1_id	P_like_1_start	P_like_1_end	P_like_1_strand	P_like_1_partial	P_like_1_reference_hit	P_like_1_bitscore	P_like_1_qcov_pct	P_like_2_id	P_like_2_start	P_like_2_end	P_like_2_strand	P_like_2_partial	P_like_2_reference_hit	P_like_2_bitscore	P_like_2_qcov_pct	relative_gene_order	strand_pattern	distinct_P_like_count	same_contig	maximum_gene_gap	arrow_plot_visible	coordinates_non_overlapping	protein_lengths_reasonable	QC_pass	QC_fail_reasons	strict_neighborhood_class	strict_neighborhood_class_revised
SY365BB-0-4_bin24-k141_346659_3	SY365BB-0-4_bin24-k141_346659	SY365BB-0-4_bin24_SY365BB-0-4_bin24-k141_346659_3	760	3468	+	00	SY365BB-0-4_bin24_SY365BB-0-4_bin24-k141_346659_2	137	757	+	00	IdrB_related	IdrB_TIER2|GCA_009653635.1|MRI32053.1	286	83.57																	B2(+)-A3(+)	B:+;A:+	0	yes	1	yes	yes	no	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	partial DIRM-like neighborhood
SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10-k141_688982	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_32	28209	30887	+	00	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_31	27615	28196	+	00	IdrB_related	IdrB_TIER2|GCA_003544895.1|AXX96742.1	311	99.48	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_29	25310	26428	+	00	IdrP_like_TIER2|GCA_003544895.1|AXX96740.1	589	100.00	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_30	26443	27594	+	00	IdrP_like_TIER2|GCA_003544895.1|AXX96741.1	695	99.74	P1like29(+)-P2like30(+)-B31(+)-A32(+)	P1like:+;P2like:+;B:+;A:+	2	yes	1	yes	yes	yes	yes		complete DIRM-like neighborhood	complete DIRM-like neighborhood
SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26-k141_1297159	SY365BB-8-12_bin26_SY365BB-8-12_bin26-k141_1297159_20	21801	24479	+	00	SY365BB-8-12_bin26_SY365BB-8-12_bin26-k141_1297159_19	21207	21788	+	00	IdrB_related	IdrB_TIER2|GCA_003544895.1|AXX96742.1	319	99.48	SY365BB-8-12_bin26_SY365BB-8-12_bin26-k141_1297159_17	18907	20028	+	00	IdrP_like_TIER2|GCA_003544895.1|AXX96740.1	603	99.73	SY365BB-8-12_bin26_SY365BB-8-12_bin26-k141_1297159_18	20041	21186	+	00	IdrP_like_TIER2|GCA_003544895.1|AXX96741.1	683	100.26	P1like17(+)-P2like18(+)-B19(+)-A20(+)	P1like:+;P2like:+;B:+;A:+	2	yes	1	yes	yes	yes	yes		complete DIRM-like neighborhood	complete DIRM-like neighborhood
SY365BB-8-12_bin7-k141_1337394_7	SY365BB-8-12_bin7-k141_1337394	SY365BB-8-12_bin7_SY365BB-8-12_bin7-k141_1337394_7	9700	12396	+	00	SY365BB-8-12_bin7_SY365BB-8-12_bin7-k141_1337394_6	9077	9697	+	00	IdrB_related	IdrB_TIER2|GCA_002836355.1|PKH06717.1	384	99.52	SY365BB-8-12_bin7_SY365BB-8-12_bin7-k141_1337394_4	6725	7819	+	00	IdrP_like_TIER2|GCA_002836355.1|PKH06718.1	707	99.73	SY365BB-8-12_bin7_SY365BB-8-12_bin7-k141_1337394_5	7782	9080	+	00	IdrP_like_TIER2|GCA_002733565.1|PHR90155.1	757	96.07	P1like4(+)-P2like5(+)-B6(+)-A7(+)	P1like:+;P2like:+;B:+;A:+	2	yes	1	yes	no	yes	no	overlapping_support_gene_coordinates	partial DIRM-like neighborhood	partial DIRM-like neighborhood
SY365BB-8-12_bin8-k141_832694_5	SY365BB-8-12_bin8-k141_832694	SY365BB-8-12_bin8_SY365BB-8-12_bin8-k141_832694_5	3218	5896	+	00	SY365BB-8-12_bin8_SY365BB-8-12_bin8-k141_832694_4	2623	3204	+	00	IdrB_related	IdrB_TIER2|GCA_003544895.1|AXX96742.1	304	99.48	SY365BB-8-12_bin8_SY365BB-8-12_bin8-k141_832694_2	328	1446	+	00	IdrP_like_TIER2|GCA_003544895.1|AXX96740.1	550	100.00	SY365BB-8-12_bin8_SY365BB-8-12_bin8-k141_832694_3	1461	2600	+	00	IdrP_like_TIER2|GCA_003544895.1|AXX96741.1	637	100.00	P1like2(+)-P2like3(+)-B4(+)-A5(+)	P1like:+;P2like:+;B:+;A:+	2	yes	1	yes	yes	yes	yes		complete DIRM-like neighborhood	complete DIRM-like neighborhood
SY366YB-0-4_bin3-k141_281514_2	SY366YB-0-4_bin3-k141_281514	SY366YB-0-4_bin3_SY366YB-0-4_bin3-k141_281514_2	752	3181	-	01																										A2(-)	A:-	0	yes		yes	yes	no	no	missing_B_related_hit;fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa;B_length_outside_50_350aa;support_genes_not_compact_max_gap_gt3	unresolved/truncated neighborhood	unresolved/truncated neighborhood
SY366YB-0-4_bin5-k141_98994_2	SY366YB-0-4_bin5-k141_98994	SY366YB-0-4_bin5_SY366YB-0-4_bin5-k141_98994_2	751	3429	-	00	SY366YB-0-4_bin5_SY366YB-0-4_bin5-k141_98994_3	3443	4024	-	00	IdrB_related	IdrB_TIER2|GCA_003544895.1|AXX96742.1	307	99.48																	A2(-)-B3(-)	A:-;B:-	0	yes	1	yes	yes	no	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	partial DIRM-like neighborhood
SY366YW-0-4_bin2-k141_1353278_2	SY366YW-0-4_bin2-k141_1353278	SY366YW-0-4_bin2_SY366YW-0-4_bin2-k141_1353278_2	471	2969	+	00	SY366YW-0-4_bin2_SY366YW-0-4_bin2-k141_1353278_1	1	474	+	10	IdrB_related	IdrB_TIER2|GCA_001771985.1|OGA54489.1	137	94.30																	B1(+)-A2(+)	B:+;A:+	0	yes	1	yes	no	no	no	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	partial DIRM-like neighborhood
SY366YW-0-4_bin34-k141_1276861_15	SY366YW-0-4_bin34-k141_1276861	SY366YW-0-4_bin34_SY366YW-0-4_bin34-k141_1276861_15	19424	22099	-	00	SY366YW-0-4_bin34_SY366YW-0-4_bin34-k141_1276861_16	22112	22690	-	00	IdrB_related	IdrB_TIER2|GCA_002897995.1|GBE44173.1	282	94.82	SY366YW-0-4_bin34_SY366YW-0-4_bin34-k141_1276861_17	22704	23840	-	00	IdrP_like_TIER2|GCA_003544895.1|AXX96741.1	564	100.26	SY366YW-0-4_bin34_SY366YW-0-4_bin34-k141_1276861_18	23852	24982	-	00	IdrP_like_TIER2|GCA_003544895.1|AXX96740.1	518	93.10	A15(-)-B16(-)-P1like17(-)-P2like18(-)	A:-;B:-;P1like:-;P2like:-	2	yes	1	yes	yes	yes	yes		complete DIRM-like neighborhood	complete DIRM-like neighborhood
SY366YW-0-4_bin9-k141_1360848_3	SY366YW-0-4_bin9-k141_1360848	SY366YW-0-4_bin9_SY366YW-0-4_bin9-k141_1360848_3	2837	5512	-	00	SY366YW-0-4_bin9_SY366YW-0-4_bin9-k141_1360848_4	5525	6079	-	00	IdrB_related	IdrB_TIER2|GCA_002731375.1|MBV37768.1	259	95.68	SY366YW-0-4_bin9_SY366YW-0-4_bin9-k141_1360848_5	6091	7251	-	00	IdrP_like_TIER2|GCA_003544895.1|AXX96741.1	543	89.92	SY366YW-0-4_bin9_SY366YW-0-4_bin9-k141_1360848_6	7269	8390	-	00	IdrP_like_TIER2|GCA_002732845.1|PHS79677.1	521	91.44	A3(-)-B4(-)-P1like5(-)-P2like6(-)	A:-;B:-;P1like:-;P2like:-	2	yes	1	yes	yes	yes	yes		complete DIRM-like neighborhood	complete DIRM-like neighborhood
SY366YW-4-8_bin7-k141_14765_13	SY366YW-4-8_bin7-k141_14765	SY366YW-4-8_bin7_SY366YW-4-8_bin7-k141_14765_13	14352	16832	+	00	SY366YW-4-8_bin7_SY366YW-4-8_bin7-k141_14765_12	13817	14335	+	00	canonical_AioB	AioB_CANONICAL|Q7SIF3|canonical_AioB_reviewed_Alcaligenes_faecalis	200	98.27																	B12(+)-A13(+)	B:+;A:+	0	yes	1	yes	yes	no	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	Aio-like neighborhood
SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2-k141_497241	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_22	25062	27740	-	00	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_23	27752	28339	-	00	IdrB_related	IdrB_TIER2|GCA_003544895.1|AXX96742.1	333	98.47	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_24	28354	29505	-	00	IdrP_like_TIER2|GCA_003544895.1|AXX96741.1	695	99.74	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_25	29526	30644	-	00	IdrP_like_TIER2|GCA_003544895.1|AXX96740.1	620	100.00	A22(-)-B23(-)-P1like24(-)-P2like25(-)	A:-;B:-;P1like:-;P2like:-	2	yes	1	yes	yes	yes	yes		complete DIRM-like neighborhood	complete DIRM-like neighborhood
SY368YW-4-8_bin24-k141_617455_9	SY368YW-4-8_bin24-k141_617455	SY368YW-4-8_bin24_SY368YW-4-8_bin24-k141_617455_9	7841	10504	+	00	SY368YW-4-8_bin24_SY368YW-4-8_bin24-k141_617455_8	7273	7824	+	00	IdrB_related	IdrB_TIER2|GCA_003688285.1|RMA42283.1	295	98.91	SY368YW-4-8_bin24_SY368YW-4-8_bin24-k141_617455_6	5054	6145	+	00	IdrP_like_TIER2|GCA_004126395.1|RXV59294.1	496	97.80	SY368YW-4-8_bin24_SY368YW-4-8_bin24-k141_617455_7	6158	7276	+	00	IdrP_like_TIER2|GCA_004126395.1|RXV59293.1	581	98.93	P1like6(+)-P2like7(+)-B8(+)-A9(+)	P1like:+;P2like:+;B:+;A:+	2	yes	1	yes	no	yes	no	overlapping_support_gene_coordinates	partial DIRM-like neighborhood	partial DIRM-like neighborhood
SY368YW-8-12_bin14-k141_222555_4	SY368YW-8-12_bin14-k141_222555	SY368YW-8-12_bin14_SY368YW-8-12_bin14-k141_222555_4	5802	8312	-	00	SY368YW-8-12_bin14_SY368YW-8-12_bin14-k141_222555_5	8309	9061	-	00	IdrB_related	IdrB_TIER2|GCA_003538055.1|HCX33660.1	144	50.60																	A4(-)-B5(-)	A:-;B:-	0	yes	1	yes	no	no	no	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	partial DIRM-like neighborhood
SY368YW-8-12_bin16-k141_314641_4	SY368YW-8-12_bin16-k141_314641	SY368YW-8-12_bin16_SY368YW-8-12_bin16-k141_314641_4	2042	4516	+	00	SY368YW-8-12_bin16_SY368YW-8-12_bin16-k141_314641_3	1452	2042	+	00	canonical_AioB	AioB_LOCAL|GCA_001828925.1|OHC63617.1	147	92.39																	B3(+)-A4(+)	B:+;A:+	0	yes	1	yes	no	no	no	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	partial DIRM-like neighborhood
SY368YW-8-12_bin33-k141_1103131_193	SY368YW-8-12_bin33-k141_1103131	SY368YW-8-12_bin33_SY368YW-8-12_bin33-k141_1103131_193	207664	210342	-	00	SY368YW-8-12_bin33_SY368YW-8-12_bin33-k141_1103131_194	210355	210936	-	00	IdrB_related	IdrB_TIER2|GCA_003544895.1|AXX96742.1	358	99.48	SY368YW-8-12_bin33_SY368YW-8-12_bin33-k141_1103131_195	210958	212103	-	00	IdrP_like_TIER2|GCA_003544895.1|AXX96741.1	680	100.26	SY368YW-8-12_bin33_SY368YW-8-12_bin33-k141_1103131_196	212119	213237	-	00	IdrP_like_TIER2|GCA_003544895.1|AXX96740.1	677	99.73	A193(-)-B194(-)-P1like195(-)-P2like196(-)	A:-;B:-;P1like:-;P2like:-	2	yes	1	yes	yes	yes	yes		complete DIRM-like neighborhood	complete DIRM-like neighborhood
SY456YB-0-4_bin8-k141_492248_42	SY456YB-0-4_bin8-k141_492248	SY456YB-0-4_bin8_SY456YB-0-4_bin8-k141_492248_42	39113	41791	-	00	SY456YB-0-4_bin8_SY456YB-0-4_bin8-k141_492248_43	41804	42385	-	00	IdrB_related	IdrB_TIER2|GCA_003544895.1|AXX96742.1	325	99.48	SY456YB-0-4_bin8_SY456YB-0-4_bin8-k141_492248_44	42406	43548	-	00	IdrP_like_TIER2|GCA_003544895.1|AXX96741.1	650	100.52	SY456YB-0-4_bin8_SY456YB-0-4_bin8-k141_492248_45	43564	44685	-	00	IdrP_like_TIER2|GCA_003544895.1|AXX96740.1	628	99.73	A42(-)-B43(-)-P1like44(-)-P2like45(-)	A:-;B:-;P1like:-;P2like:-	2	yes	1	yes	yes	yes	yes		complete DIRM-like neighborhood	complete DIRM-like neighborhood
SY456YB-4-8_bin24-k141_314185_12	SY456YB-4-8_bin24-k141_314185	SY456YB-4-8_bin24_SY456YB-4-8_bin24-k141_314185_12	10913	13606	+	00	SY456YB-4-8_bin24_SY456YB-4-8_bin24-k141_314185_11	10290	10901	+	00	IdrB_related	IdrB_TIER2|GCA_001715975.1|ODJ89648.1	246	94.61	SY456YB-4-8_bin24_SY456YB-4-8_bin24-k141_314185_9	7969	9081	+	00	IdrP_like_TIER2|GCA_001715975.1|ODJ89650.1	499	98.92	SY456YB-4-8_bin24_SY456YB-4-8_bin24-k141_314185_10	9097	10293	+	00	IdrP_like_TIER2|GCA_001715975.1|ODJ89649.1	554	90.23	P1like9(+)-P2like10(+)-B11(+)-A12(+)	P1like:+;P2like:+;B:+;A:+	2	yes	1	yes	no	yes	no	overlapping_support_gene_coordinates	partial DIRM-like neighborhood	partial DIRM-like neighborhood
SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27-k141_1029503	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_28	30367	33045	-	00	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_29	33057	33638	-	00	IdrB_related	IdrB_TIER2|GCA_003544895.1|AXX96742.1	333	99.48	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_30	33659	34810	-	00	IdrP_like_TIER2|GCA_003544895.1|AXX96741.1	692	99.74	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_31	34831	35952	-	00	IdrP_like_TIER2|GCA_003544895.1|AXX96740.1	620	99.73	A28(-)-B29(-)-P1like30(-)-P2like31(-)	A:-;B:-;P1like:-;P2like:-	2	yes	1	yes	yes	yes	yes		complete DIRM-like neighborhood	complete DIRM-like neighborhood
SY456YB-8-12_bin34-k141_963697_76	SY456YB-8-12_bin34-k141_963697	SY456YB-8-12_bin34_SY456YB-8-12_bin34-k141_963697_76	79814	82492	+	00	SY456YB-8-12_bin34_SY456YB-8-12_bin34-k141_963697_75	79220	79801	+	00	IdrB_related	IdrB_TIER2|GCA_003544895.1|AXX96742.1	370	99.48	SY456YB-8-12_bin34_SY456YB-8-12_bin34-k141_963697_73	76918	78036	+	00	IdrP_like_TIER2|GCA_003544895.1|AXX96740.1	644	99.73	SY456YB-8-12_bin34_SY456YB-8-12_bin34-k141_963697_74	78052	79197	+	00	IdrP_like_TIER2|GCA_003544895.1|AXX96741.1	681	100.26	P1like73(+)-P2like74(+)-B75(+)-A76(+)	P1like:+;P2like:+;B:+;A:+	2	yes	1	yes	yes	yes	yes		complete DIRM-like neighborhood	complete DIRM-like neighborhood
SY456YB-8-12_bin4-k141_708485_189	SY456YB-8-12_bin4-k141_708485	SY456YB-8-12_bin4_SY456YB-8-12_bin4-k141_708485_189	190825	193500	+	00	SY456YB-8-12_bin4_SY456YB-8-12_bin4-k141_708485_188	190224	190808	+	00	IdrB_related	IdrB_TIER2|GCA_003544895.1|AXX96742.1	286	92.31	SY456YB-8-12_bin4_SY456YB-8-12_bin4-k141_708485_186	187917	189038	+	00	IdrP_like_TIER2|GCA_003544895.1|AXX96740.1	545	98.93	SY456YB-8-12_bin4_SY456YB-8-12_bin4-k141_708485_187	189057	190211	+	00	IdrP_like_TIER2|GCA_003544895.1|AXX96741.1	599	98.18	P1like186(+)-P2like187(+)-B188(+)-A189(+)	P1like:+;P2like:+;B:+;A:+	2	yes	1	yes	yes	yes	yes		complete DIRM-like neighborhood	complete DIRM-like neighborhood
SY456YB-8-12_bin5-k141_222164_2	SY456YB-8-12_bin5-k141_222164	SY456YB-8-12_bin5_SY456YB-8-12_bin5-k141_222164_2	580	3255	-	00	SY456YB-8-12_bin5_SY456YB-8-12_bin5-k141_222164_3	3267	3854	-	00	IdrB_related	IdrB_TIER2|GCA_002731375.1|MBV37768.1	285	87.24	SY456YB-8-12_bin5_SY456YB-8-12_bin5-k141_222164_4	3867	4898	-	01	IdrP_like_TIER2|GCA_002731375.1|MBV37769.1	608	99.71									A2(-)-B3(-)-P1like4(-)	A:-;B:-;P1like:-	1	yes	1	yes	yes	no	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	partial DIRM-like neighborhood
SY457BB-0-4_bin2-k141_509701_9	SY457BB-0-4_bin2-k141_509701	SY457BB-0-4_bin2_SY457BB-0-4_bin2-k141_509701_9	6709	9420	+	00	SY457BB-0-4_bin2_SY457BB-0-4_bin2-k141_509701_8	6071	6697	+	00	IdrB_related	IdrB_TIER2|GCA_000785145.2|KHD08441.1	254	87.08	SY457BB-0-4_bin2_SY457BB-0-4_bin2-k141_509701_6	3749	4867	+	00	IdrP_like_TIER2|GCA_000785145.2|KHD08439.1	501	98.66	SY457BB-0-4_bin2_SY457BB-0-4_bin2-k141_509701_7	4884	6074	+	00	IdrP_like_TIER2|GCA_003660225.1|RLJ20877.1	546	101.01	P1like6(+)-P2like7(+)-B8(+)-A9(+)	P1like:+;P2like:+;B:+;A:+	2	yes	1	yes	no	yes	no	overlapping_support_gene_coordinates	partial DIRM-like neighborhood	partial DIRM-like neighborhood
SY457BB-0-4_bin35-k141_455312_8	SY457BB-0-4_bin35-k141_455312	SY457BB-0-4_bin35_SY457BB-0-4_bin35-k141_455312_8	6522	9200	+	00	SY457BB-0-4_bin35_SY457BB-0-4_bin35-k141_455312_7	5931	6503	+	00	IdrB_related	IdrB_TIER2|GCA_001404055.1|CTQ52169.1	256	91.10	SY457BB-0-4_bin35_SY457BB-0-4_bin35-k141_455312_4	3610	4725	+	00	IdrP_like_TIER2|GCA_002731375.1|MBV37770.1	491	95.97	SY457BB-0-4_bin35_SY457BB-0-4_bin35-k141_455312_6	5007	5918	+	00	IdrP_like_TIER2|GCA_003208435.1|PYG33376.1	467	98.03	P1like4(+)-P2like6(+)-B7(+)-A8(+)	P1like:+;P2like:+;B:+;A:+	2	yes	2	yes	yes	yes	yes		complete DIRM-like neighborhood	complete DIRM-like neighborhood
SY457BB-0-4_bin6-k141_196093_82	SY457BB-0-4_bin6-k141_196093	SY457BB-0-4_bin6_SY457BB-0-4_bin6-k141_196093_82	90938	93613	+	00	SY457BB-0-4_bin6_SY457BB-0-4_bin6-k141_196093_81	90338	90925	+	00	IdrB_related	IdrB_TIER2|GCA_002731375.1|MBV37768.1	294	92.86	SY457BB-0-4_bin6_SY457BB-0-4_bin6-k141_196093_79	87987	89162	+	00	IdrP_like_TIER2|GCA_002897995.1|GBE44175.1	597	97.45	SY457BB-0-4_bin6_SY457BB-0-4_bin6-k141_196093_80	89173	90324	+	00	IdrP_like_TIER2|GCA_002731375.1|MBV37769.1	643	99.74	P1like79(+)-P2like80(+)-B81(+)-A82(+)	P1like:+;P2like:+;B:+;A:+	2	yes	1	yes	yes	yes	yes		complete DIRM-like neighborhood	complete DIRM-like neighborhood
SY457BB-4-8_bin29-k141_12975_7	SY457BB-4-8_bin29-k141_12975	SY457BB-4-8_bin29_SY457BB-4-8_bin29-k141_12975_7	7478	10156	+	00	SY457BB-4-8_bin29_SY457BB-4-8_bin29-k141_12975_6	6890	7465	+	00	IdrB_related	IdrB_TIER2|GCA_003544895.1|AXX96742.1	317	97.92	SY457BB-4-8_bin29_SY457BB-4-8_bin29-k141_12975_4	4593	5711	+	00	IdrP_like_TIER2|GCA_003544895.1|AXX96740.1	620	100.00	SY457BB-4-8_bin29_SY457BB-4-8_bin29-k141_12975_5	5726	6868	+	00	IdrP_like_TIER2|GCA_003544895.1|AXX96741.1	650	100.52	P1like4(+)-P2like5(+)-B6(+)-A7(+)	P1like:+;P2like:+;B:+;A:+	2	yes	1	yes	yes	yes	yes		complete DIRM-like neighborhood	complete DIRM-like neighborhood
