group	bin_id	K08356_hit_count	K08356_full_gene_ids	K08356_gene_ids	source_faa	input_symlink	protein_sequence_count	file_bytes	sha256
IS	SY365BB-8-12_bin26	1	SY365BB-8-12_bin26-k141_1297159_20	k141_1297159_20	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY365BB-8-12_bin26.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY365BB-8-12_bin26.cds.faa	4867	2179954	9f344fc64ec0c77c4a5d7fa32ede0cfcf94b4c61cab4af39d1acc9215a3854cc
IS	SY365BB-8-12_bin7	1	SY365BB-8-12_bin7-k141_1337394_7	k141_1337394_7	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY365BB-8-12_bin7.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY365BB-8-12_bin7.cds.faa	4094	1792366	a2e886c19b175955f4bb7949652d3d03a3ee05b75190aced8377ed100af68b12
IS	SY365BB-8-12_bin8	1	SY365BB-8-12_bin8-k141_832694_5	k141_832694_5	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY365BB-8-12_bin8.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY365BB-8-12_bin8.cds.faa	4417	1916942	1d37145ca6bbae740c40b77cb286623d6a8e548082f00276f9841ddc36311e85
IS	SY366YB-0-4_bin3	1	SY366YB-0-4_bin3-k141_281514_2	k141_281514_2	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY366YB-0-4_bin3.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY366YB-0-4_bin3.cds.faa	2605	1011535	a4f8a168c339c769f595e8fcc0c2f7904ad3442a1cbe5871124682d37dee6086
IS	SY366YB-0-4_bin5	1	SY366YB-0-4_bin5-k141_98994_2	k141_98994_2	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY366YB-0-4_bin5.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY366YB-0-4_bin5.cds.faa	2745	1111029	2324943ce9fa66a316ca1d8402f51adc70069cf87d050747d0244db8199a9b59
IS	SY366YW-0-4_bin2	1	SY366YW-0-4_bin2-k141_1353278_2	k141_1353278_2	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY366YW-0-4_bin2.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY366YW-0-4_bin2.cds.faa	2143	824902	b3fa8a9710adec00efaf48aa2a4219d6e6ea2301902bd1e11504c599e01e83e6
IS	SY366YW-0-4_bin34	1	SY366YW-0-4_bin34-k141_1276861_15	k141_1276861_15	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY366YW-0-4_bin34.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY366YW-0-4_bin34.cds.faa	3718	1741650	df2cacf9cf1a4bb370ff626cb71e5fb190d599f98a659c124198f9e2789c8bb1
IS	SY366YW-0-4_bin9	1	SY366YW-0-4_bin9-k141_1360848_3	k141_1360848_3	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY366YW-0-4_bin9.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY366YW-0-4_bin9.cds.faa	3549	1664157	1dcdf5815453c21b1b63a49df737c2ac956f43b5bab122547d09712e50a304fb
IS	SY366YW-4-8_bin7	1	SY366YW-4-8_bin7-k141_14765_13	k141_14765_13	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY366YW-4-8_bin7.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY366YW-4-8_bin7.cds.faa	4122	1918323	2e3392947b4bf3fe505a14bfe42573ae5cd1aea4dbdb5efd7b30d6b35370271e
IS	SY366YW-8-12_bin2	1	SY366YW-8-12_bin2-k141_497241_22	k141_497241_22	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY366YW-8-12_bin2.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY366YW-8-12_bin2.cds.faa	3602	1639099	a8d9a98e36c8493d750627217e93c1eb8ba4a130d21ca0d524ec7b54a116751f
IS	SY368YW-4-8_bin24	1	SY368YW-4-8_bin24-k141_617455_9	k141_617455_9	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY368YW-4-8_bin24.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY368YW-4-8_bin24.cds.faa	3374	1437770	e45a03d937ee41da5340918a44a94df5b70a11101d5f7a5c4c8ac1667010b836
IS	SY368YW-8-12_bin14	1	SY368YW-8-12_bin14-k141_222555_4	k141_222555_4	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY368YW-8-12_bin14.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY368YW-8-12_bin14.cds.faa	2257	863518	31d6fa357a743be1aa8687ebd99584fbd762d5a343d0d05235daac361b5efd07
IS	SY368YW-8-12_bin16	1	SY368YW-8-12_bin16-k141_314641_4	k141_314641_4	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY368YW-8-12_bin16.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY368YW-8-12_bin16.cds.faa	2119	884159	587f1057d086e353101375b209e3cd7a31e95b03af50c34af9fc2a3247a14afa
IS	SY368YW-8-12_bin33	1	SY368YW-8-12_bin33-k141_1103131_193	k141_1103131_193	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY368YW-8-12_bin33.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY368YW-8-12_bin33.cds.faa	2709	1246808	ca188ad106311d6485392be0513bf05c4369ec19063e09053a10a405cb8eb9f8
IS	SY456YB-0-4_bin8	1	SY456YB-0-4_bin8-k141_492248_42	k141_492248_42	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY456YB-0-4_bin8.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY456YB-0-4_bin8.cds.faa	3059	1389175	cd626b39c1927a9f90f6d7985705411f8b35d665bf87c75917dc20b72e450892
IS	SY456YB-4-8_bin24	1	SY456YB-4-8_bin24-k141_314185_12	k141_314185_12	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY456YB-4-8_bin24.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY456YB-4-8_bin24.cds.faa	2942	1321810	02a2305b5e3877423ed1e24396eafb4c65e53efc48f63d5b4db80cffcb274aa6
IS	SY456YB-8-12_bin27	1	SY456YB-8-12_bin27-k141_1029503_28	k141_1029503_28	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY456YB-8-12_bin27.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY456YB-8-12_bin27.cds.faa	2846	1285859	aef9cb3425f1e21c183ba45ac7495c21e98be866509f6c1def623da182ed2e29
IS	SY456YB-8-12_bin34	1	SY456YB-8-12_bin34-k141_963697_76	k141_963697_76	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY456YB-8-12_bin34.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY456YB-8-12_bin34.cds.faa	2843	1281094	5d915c99a9e1bdd6a8f420e564f029b760f211ee94631013e4894524abcc5160
IS	SY456YB-8-12_bin4	1	SY456YB-8-12_bin4-k141_708485_189	k141_708485_189	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY456YB-8-12_bin4.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY456YB-8-12_bin4.cds.faa	3064	1427487	c9e3717dabea03cf55fa6f473b84c688941a876cb20d61a5b5fc1d4adf4c1249
IS	SY456YB-8-12_bin5	1	SY456YB-8-12_bin5-k141_222164_2	k141_222164_2	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY456YB-8-12_bin5.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY456YB-8-12_bin5.cds.faa	2166	919437	90745d478f9a7e71eba6a055e5ad465f36fc6da96b93f12a6ed2497e5fdf0ed5
IS	SY457BB-0-4_bin2	1	SY457BB-0-4_bin2-k141_509701_9	k141_509701_9	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY457BB-0-4_bin2.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY457BB-0-4_bin2.cds.faa	3042	1398890	3f818133e8b16dbd368d0eb74e4fa051b78145f92c39fb23e82ad002e992dec8
IS	SY457BB-0-4_bin35	1	SY457BB-0-4_bin35-k141_455312_8	k141_455312_8	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY457BB-0-4_bin35.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY457BB-0-4_bin35.cds.faa	2897	1186690	e18e61eb5f860807e1b98154ce2a1672855e547f5cc431cee89e090c518015d9
IS	SY457BB-0-4_bin6	1	SY457BB-0-4_bin6-k141_196093_82	k141_196093_82	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY457BB-0-4_bin6.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY457BB-0-4_bin6.cds.faa	3381	1564330	20da3b3452111aba1fee4b4140ceb17721772d2718a44bc5655fec856c4e2620
IS	SY457BB-4-8_bin29	1	SY457BB-4-8_bin29-k141_12975_7	k141_12975_7	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY457BB-4-8_bin29.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY457BB-4-8_bin29.cds.faa	2860	1174819	2a5ef6cd44dabd408647e1427be2a7fb546ae689043cb882e5be52fc6f0a7b22
IS	SY457BB-4-8_bin33	1	SY457BB-4-8_bin33-k141_110702_26	k141_110702_26	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY457BB-4-8_bin33.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY457BB-4-8_bin33.cds.faa	2976	1384844	ef0baa430edefaab38a59ed566c3d383461e02e8775711ded8e979751e84f815
IS	SY457BB-8-12_bin10	1	SY457BB-8-12_bin10-k141_377897_3	k141_377897_3	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY457BB-8-12_bin10.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY457BB-8-12_bin10.cds.faa	2177	970530	7bfc6a926b64084afae40eab2405a52b57375a648c5d6a704c75706b0d66d62e
IS	SY457BB-8-12_bin15	1	SY457BB-8-12_bin15-k141_1498167_38	k141_1498167_38	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY457BB-8-12_bin15.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY457BB-8-12_bin15.cds.faa	2727	1237848	0db837ed81efcd80a5ffc66d45618c90fc83249f6332942e7f37baea0e85c4a8
IS	SY457BB-8-12_bin16	1	SY457BB-8-12_bin16-k141_1142550_1	k141_1142550_1	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY457BB-8-12_bin16.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY457BB-8-12_bin16.cds.faa	2357	1081847	61a5aaefd60c6c3b412241b547ac00e73b06442c64775d77c1f0ade6df37b0f2
IS	SY457BB-8-12_bin25	1	SY457BB-8-12_bin25-k141_129537_12	k141_129537_12	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY457BB-8-12_bin25.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY457BB-8-12_bin25.cds.faa	2616	1133703	72c62585906f91fc1306c4a27dcf5ff3d7a1937b9d5bf63bca2cabe051916392
IS	SY457BB-8-12_bin4	1	SY457BB-8-12_bin4-k141_1432391_5	k141_1432391_5	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY457BB-8-12_bin4.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY457BB-8-12_bin4.cds.faa	2634	1152314	9c3b28715548e1676904b4ac2bf85c0b31e46bb902ad35015c35a10917139a6d
IS	SY459WG-0-4_bin26	1	SY459WG-0-4_bin26-k141_460220_2	k141_460220_2	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY459WG-0-4_bin26.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY459WG-0-4_bin26.cds.faa	1654	662654	66242cf78a92686d2d6c40c10a1525be9265a526119d4a695204853ab1ce5bf8
IS	SY459WG-0-4_bin37	1	SY459WG-0-4_bin37-k141_569169_31	k141_569169_31	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY459WG-0-4_bin37.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY459WG-0-4_bin37.cds.faa	2473	1133902	65d39e159e16fdb7124c7ed5b67c95721f83c3859025249fd6b5d3b1bd37d42d
IS	SY459WG-4-8_bin39	1	SY459WG-4-8_bin39-k141_681176_50	k141_681176_50	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY459WG-4-8_bin39.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY459WG-4-8_bin39.cds.faa	3613	1614866	3bd9a26ffc1ed3db9bb9833aeda485ea61d3d81db1d895a5d2787e7ab05de3f2
IS	SY459WG-4-8_bin8	1	SY459WG-4-8_bin8-k141_320908_36	k141_320908_36	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY459WG-4-8_bin8.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY459WG-4-8_bin8.cds.faa	2664	1234919	a0446b50439cf2cb3c2602201c15aea13032cb9b84a518471eff652aed02127d
IS	SY459WG-8-12_bin19	1	SY459WG-8-12_bin19-k141_364478_5	k141_364478_5	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY459WG-8-12_bin19.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY459WG-8-12_bin19.cds.faa	3781	1685879	91aaac0f5bc5c884a12a997a52fc8c2904b806462ab8ce67b6f98c181520e6ff
IS	SY459WG-8-12_bin2	1	SY459WG-8-12_bin2-k141_281775_92	k141_281775_92	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/IS/IS_50_10_dRep/dereplicated_genomes/SY459WG-8-12_bin2.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/SY459WG-8-12_bin2.cds.faa	3329	1489353	023c12c67a84618af4d209e1e11d3243fa204afa4bb65c3dd45924f2a302cd2b
NS	R2111_N500_0-10_bin13	1	R2111_N500_0-10_bin13-k141_4404301_3	k141_4404301_3	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/NS/NS_50_10_dRep/dereplicated_genomes/R2111_N500_0-10_bin13.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/R2111_N500_0-10_bin13.cds.faa	2151	920999	18f105a1e24aa0a2dfa74dfe34a2f1a32bb1b465627033952ebf894439556b26
NS	R2111_S300_0-10_bin19	1	R2111_S300_0-10_bin19-k141_825759_6	k141_825759_6	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/NS/NS_50_10_dRep/dereplicated_genomes/R2111_S300_0-10_bin19.cds.faa	/home/ps/ps1/data/bihongyu/cold_seep/illu/binning/K08356_four_group_annotation/METABOLIC_group_derep49_20260801/input_faa/R2111_S300_0-10_bin19.cds.faa	2218	993152	2b72ec97dca3b69c6340f0d96b29030e8fea5c23d586b5831b54cde0c95675ea
