target_gene_id,MAG_id,branch,habitat,sample_group,sample_id,target_contig,neighbor_orf_id,contig_id,relative_position,strand,start,end,KO,product,function_class,function_label,is_target,source_remote_orf_path
S15_8-10_bin20-k141_2063280_11,S15_8-10_bin20,IdrA-associated,ES,S15,S15_8-10,k141_2063280,k141_2063280_7,k141_2063280,-4,+,6145,7344,K02004,putative ABC transport system permease protein,Transporter,transporter,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
S15_8-10_bin20-k141_2063280_11,S15_8-10_bin20,IdrA-associated,ES,S15,S15_8-10,k141_2063280,k141_2063280_8,k141_2063280,-3,+,7419,7628,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
S15_8-10_bin20-k141_2063280_11,S15_8-10_bin20,IdrA-associated,ES,S15,S15_8-10,k141_2063280,k141_2063280_9,k141_2063280,-2,+,7746,8507,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
S15_8-10_bin20-k141_2063280_11,S15_8-10_bin20,IdrA-associated,ES,S15,S15_8-10,k141_2063280,k141_2063280_10,k141_2063280,-1,+,8504,9670,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
S15_8-10_bin20-k141_2063280_11,S15_8-10_bin20,IdrA-associated,ES,S15,S15_8-10,k141_2063280,k141_2063280_11,k141_2063280,0,-,9811,12504,K08356,arsenite oxidase large subunit,Target IdrA-like K08356,IdrA,True,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C1_12-18_bin19-k141_2550623_11,C1_12-18_bin19,IdrA-associated,ES,C1_12,C1_12-18,k141_2550623,k141_2550623_1,k141_2550623,-10,+,86,1438,K07491,REP-associated tyrosine transposase,Annotated other,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C1_12-18_bin19-k141_2550623_11,C1_12-18_bin19,IdrA-associated,ES,C1_12,C1_12-18,k141_2550623,k141_2550623_2,k141_2550623,-9,+,1639,1920,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C1_12-18_bin19-k141_2550623_11,C1_12-18_bin19,IdrA-associated,ES,C1_12,C1_12-18,k141_2550623,k141_2550623_3,k141_2550623,-8,+,1913,2188,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C1_12-18_bin19-k141_2550623_11,C1_12-18_bin19,IdrA-associated,ES,C1_12,C1_12-18,k141_2550623,k141_2550623_4,k141_2550623,-7,-,2917,3351,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C1_12-18_bin19-k141_2550623_11,C1_12-18_bin19,IdrA-associated,ES,C1_12,C1_12-18,k141_2550623,k141_2550623_5,k141_2550623,-6,-,3357,4550,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C1_12-18_bin19-k141_2550623_11,C1_12-18_bin19,IdrA-associated,ES,C1_12,C1_12-18,k141_2550623,k141_2550623_6,k141_2550623,-5,+,4834,6201,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C1_12-18_bin19-k141_2550623_11,C1_12-18_bin19,IdrA-associated,ES,C1_12,C1_12-18,k141_2550623,k141_2550623_7,k141_2550623,-4,+,6296,6892,K07152,protein SCO1,Annotated other,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C1_12-18_bin19-k141_2550623_11,C1_12-18_bin19,IdrA-associated,ES,C1_12,C1_12-18,k141_2550623,k141_2550623_8,k141_2550623,-3,+,7251,8357,K00428,cytochrome c peroxidase,Cytochrome/peroxidase,cyt,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C1_12-18_bin19-k141_2550623_11,C1_12-18_bin19,IdrA-associated,ES,C1_12,C1_12-18,k141_2550623,k141_2550623_9,k141_2550623,-2,+,8372,9616,K00428,cytochrome c peroxidase,Cytochrome/peroxidase,cyt,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C1_12-18_bin19-k141_2550623_11,C1_12-18_bin19,IdrA-associated,ES,C1_12,C1_12-18,k141_2550623,k141_2550623_10,k141_2550623,-1,+,9616,10191,K08355,arsenite oxidase small subunit,Rieske/AioB,AioB,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C1_12-18_bin19-k141_2550623_11,C1_12-18_bin19,IdrA-associated,ES,C1_12,C1_12-18,k141_2550623,k141_2550623_11,k141_2550623,0,+,10205,12898,K08356,arsenite oxidase large subunit,Target IdrA-like K08356,IdrA,True,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C1_12-18_bin19-k141_2550623_11,C1_12-18_bin19,IdrA-associated,ES,C1_12,C1_12-18,k141_2550623,k141_2550623_12,k141_2550623,1,-,13104,14021,K03769,peptidyl-prolyl cis-trans isomerase C,Annotated other,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C1_12-18_bin19-k141_2550623_11,C1_12-18_bin19,IdrA-associated,ES,C1_12,C1_12-18,k141_2550623,k141_2550623_13,k141_2550623,2,-,14070,14372,K09780,uncharacterized protein,Annotated other,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C1_12-18_bin19-k141_2550623_11,C1_12-18_bin19,IdrA-associated,ES,C1_12,C1_12-18,k141_2550623,k141_2550623_14,k141_2550623,3,-,14373,15044,K06190,intracellular septation protein,Annotated other,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C1_12-18_bin19-k141_2550623_11,C1_12-18_bin19,IdrA-associated,ES,C1_12,C1_12-18,k141_2550623,k141_2550623_15,k141_2550623,4,-,15079,15843,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C1_12-18_bin19-k141_2550623_11,C1_12-18_bin19,IdrA-associated,ES,C1_12,C1_12-18,k141_2550623,k141_2550623_16,k141_2550623,5,+,15969,16838,K07053,"3',5'-nucleoside bisphosphate phosphatase",Annotated other,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C1_12-18_bin19-k141_2550623_11,C1_12-18_bin19,IdrA-associated,ES,C1_12,C1_12-18,k141_2550623,k141_2550623_17,k141_2550623,6,+,16847,17470,K07566,L-threonylcarbamoyladenylate synthase,Annotated other,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C1_12-18_bin19-k141_2550623_11,C1_12-18_bin19,IdrA-associated,ES,C1_12,C1_12-18,k141_2550623,k141_2550623_18,k141_2550623,7,+,17489,18175,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C1_12-18_bin19-k141_2550623_11,C1_12-18_bin19,IdrA-associated,ES,C1_12,C1_12-18,k141_2550623,k141_2550623_19,k141_2550623,8,+,18178,19392,K01867,tryptophanyl-tRNA synthetase,Annotated other,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C1_12-18_bin19-k141_2550623_11,C1_12-18_bin19,IdrA-associated,ES,C1_12,C1_12-18,k141_2550623,k141_2550623_20,k141_2550623,9,+,19478,20248,K05896,segregation and condensation protein A,Annotated other,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C1_12-18_bin19-k141_2550623_11,C1_12-18_bin19,IdrA-associated,ES,C1_12,C1_12-18,k141_2550623,k141_2550623_21,k141_2550623,10,+,20250,21179,K06024,segregation and condensation protein B,Annotated other,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C1_12-18_bin24-k141_2459344_2,C1_12-18_bin24,IdrA-associated,ES,C1_12,C1_12-18,k141_2459344,k141_2459344_1,k141_2459344,-1,+,1,417,K08355,arsenite oxidase small subunit,Rieske/AioB,AioB,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C1_12-18_bin24-k141_2459344_2,C1_12-18_bin24,IdrA-associated,ES,C1_12,C1_12-18,k141_2459344,k141_2459344_2,k141_2459344,0,+,428,2548,K08356,arsenite oxidase large subunit,Target IdrA-like K08356,IdrA,True,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C2_12-18_bin17-k141_1448372_1,C2_12-18_bin17,IdrA-associated,ES,C2_12,C2_12-18,k141_1448372,k141_1448372_1,k141_1448372,0,-,2,2542,K08356,arsenite oxidase large subunit,Target IdrA-like K08356,IdrA,True,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C2_12-18_bin17-k141_1448372_1,C2_12-18_bin17,IdrA-associated,ES,C2_12,C2_12-18,k141_1448372,k141_1448372_2,k141_1448372,1,-,2627,3184,K08355,arsenite oxidase small subunit,Rieske/AioB,AioB,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
C2_12-18_bin17-k141_1448372_1,C2_12-18_bin17,IdrA-associated,ES,C2_12,C2_12-18,k141_1448372,k141_1448372_3,k141_1448372,2,-,3185,4417,K00428,cytochrome c peroxidase,Cytochrome/peroxidase,cyt,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY365BB-0-4_bin24-k141_346659_3,SY365BB-0-4_bin24,IdrA-associated,IS,SY365BB-0-4,SY365BB-0-4,k141_346659,k141_346659_1,k141_346659,-2,+,3,140,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY365BB-0-4_bin24-k141_346659_3,SY365BB-0-4_bin24,IdrA-associated,IS,SY365BB-0-4,SY365BB-0-4,k141_346659,k141_346659_2,k141_346659,-1,+,137,757,K08355,arsenite oxidase small subunit,Rieske/AioB,AioB,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY365BB-0-4_bin24-k141_346659_3,SY365BB-0-4_bin24,IdrA-associated,IS,SY365BB-0-4,SY365BB-0-4,k141_346659,k141_346659_3,k141_346659,0,+,760,3468,K08356,arsenite oxidase large subunit,Target IdrA-like K08356,IdrA,True,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY365BB-0-4_bin24-k141_346659_3,SY365BB-0-4_bin24,IdrA-associated,IS,SY365BB-0-4,SY365BB-0-4,k141_346659,k141_346659_4,k141_346659,1,+,3636,3926,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY365BB-0-4_bin24-k141_346659_3,SY365BB-0-4_bin24,IdrA-associated,IS,SY365BB-0-4,SY365BB-0-4,k141_346659,k141_346659_5,k141_346659,2,-,4138,4365,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY365BB-8-12_bin7-k141_1337394_7,SY365BB-8-12_bin7,IdrA-associated,IS,SY365BB-8-12,SY365BB-8-12,k141_1337394,k141_1337394_1,k141_1337394,-6,-,1,1347,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY365BB-8-12_bin7-k141_1337394_7,SY365BB-8-12_bin7,IdrA-associated,IS,SY365BB-8-12,SY365BB-8-12,k141_1337394,k141_1337394_2,k141_1337394,-5,-,1340,3862,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY365BB-8-12_bin7-k141_1337394_7,SY365BB-8-12_bin7,IdrA-associated,IS,SY365BB-8-12,SY365BB-8-12,k141_1337394,k141_1337394_3,k141_1337394,-4,-,4059,6383,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY365BB-8-12_bin7-k141_1337394_7,SY365BB-8-12_bin7,IdrA-associated,IS,SY365BB-8-12,SY365BB-8-12,k141_1337394,k141_1337394_4,k141_1337394,-3,+,6725,7819,K00428,cytochrome c peroxidase,Cytochrome/peroxidase,cyt,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY365BB-8-12_bin7-k141_1337394_7,SY365BB-8-12_bin7,IdrA-associated,IS,SY365BB-8-12,SY365BB-8-12,k141_1337394,k141_1337394_5,k141_1337394,-2,+,7782,9080,K00428,cytochrome c peroxidase,Cytochrome/peroxidase,cyt,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY365BB-8-12_bin7-k141_1337394_7,SY365BB-8-12_bin7,IdrA-associated,IS,SY365BB-8-12,SY365BB-8-12,k141_1337394,k141_1337394_6,k141_1337394,-1,+,9077,9697,K08355,arsenite oxidase small subunit,Rieske/AioB,AioB,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY365BB-8-12_bin7-k141_1337394_7,SY365BB-8-12_bin7,IdrA-associated,IS,SY365BB-8-12,SY365BB-8-12,k141_1337394,k141_1337394_7,k141_1337394,0,+,9700,12396,K08356,arsenite oxidase large subunit,Target IdrA-like K08356,IdrA,True,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY365BB-8-12_bin7-k141_1337394_7,SY365BB-8-12_bin7,IdrA-associated,IS,SY365BB-8-12,SY365BB-8-12,k141_1337394,k141_1337394_8,k141_1337394,1,+,12648,13151,K01462,peptide deformylase,Annotated other,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY365BB-8-12_bin7-k141_1337394_7,SY365BB-8-12_bin7,IdrA-associated,IS,SY365BB-8-12,SY365BB-8-12,k141_1337394,k141_1337394_9,k141_1337394,2,+,13187,13849,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY365BB-8-12_bin7-k141_1337394_7,SY365BB-8-12_bin7,IdrA-associated,IS,SY365BB-8-12,SY365BB-8-12,k141_1337394,k141_1337394_10,k141_1337394,3,+,14081,14893,K21064,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,Annotated other,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY365BB-8-12_bin7-k141_1337394_7,SY365BB-8-12_bin7,IdrA-associated,IS,SY365BB-8-12,SY365BB-8-12,k141_1337394,k141_1337394_11,k141_1337394,4,-,14960,15124,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY365BB-8-12_bin7-k141_1337394_7,SY365BB-8-12_bin7,IdrA-associated,IS,SY365BB-8-12,SY365BB-8-12,k141_1337394,k141_1337394_12,k141_1337394,5,+,15194,15901,K07038,inner membrane protein,Annotated other,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY365BB-8-12_bin7-k141_1337394_7,SY365BB-8-12_bin7,IdrA-associated,IS,SY365BB-8-12,SY365BB-8-12,k141_1337394,k141_1337394_13,k141_1337394,6,-,16002,16361,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY365BB-8-12_bin7-k141_1337394_7,SY365BB-8-12_bin7,IdrA-associated,IS,SY365BB-8-12,SY365BB-8-12,k141_1337394,k141_1337394_14,k141_1337394,7,+,16801,17478,K03673,protein dithiol oxidoreductase (disulfide-forming),Redox/oxidoreductase,Redox,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY365BB-8-12_bin7-k141_1337394_7,SY365BB-8-12_bin7,IdrA-associated,IS,SY365BB-8-12,SY365BB-8-12,k141_1337394,k141_1337394_15,k141_1337394,8,+,17720,18559,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY368YW-4-8_bin24-k141_617455_9,SY368YW-4-8_bin24,IdrA-associated,IS,SY368YW-4-8,SY368YW-4-8,k141_617455,k141_617455_1,k141_617455,-8,+,3,350,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY368YW-4-8_bin24-k141_617455_9,SY368YW-4-8_bin24,IdrA-associated,IS,SY368YW-4-8,SY368YW-4-8,k141_617455,k141_617455_2,k141_617455,-7,+,338,988,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY368YW-4-8_bin24-k141_617455_9,SY368YW-4-8_bin24,IdrA-associated,IS,SY368YW-4-8,SY368YW-4-8,k141_617455,k141_617455_3,k141_617455,-6,+,1374,1619,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY368YW-4-8_bin24-k141_617455_9,SY368YW-4-8_bin24,IdrA-associated,IS,SY368YW-4-8,SY368YW-4-8,k141_617455,k141_617455_4,k141_617455,-5,-,1900,2616,K02483,"two-component system, OmpR family, response regulator",Annotated other,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY368YW-4-8_bin24-k141_617455_9,SY368YW-4-8_bin24,IdrA-associated,IS,SY368YW-4-8,SY368YW-4-8,k141_617455,k141_617455_5,k141_617455,-4,+,2717,4921,K13587,"two-component system, cell cycle sensor histidine kinase and response regulator CckA",Annotated other,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY368YW-4-8_bin24-k141_617455_9,SY368YW-4-8_bin24,IdrA-associated,IS,SY368YW-4-8,SY368YW-4-8,k141_617455,k141_617455_6,k141_617455,-3,+,5054,6145,K00428,cytochrome c peroxidase,Cytochrome/peroxidase,cyt,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY368YW-4-8_bin24-k141_617455_9,SY368YW-4-8_bin24,IdrA-associated,IS,SY368YW-4-8,SY368YW-4-8,k141_617455,k141_617455_7,k141_617455,-2,+,6158,7276,K00428,cytochrome c peroxidase,Cytochrome/peroxidase,cyt,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY368YW-4-8_bin24-k141_617455_9,SY368YW-4-8_bin24,IdrA-associated,IS,SY368YW-4-8,SY368YW-4-8,k141_617455,k141_617455_8,k141_617455,-1,+,7273,7824,K08355,arsenite oxidase small subunit,Rieske/AioB,AioB,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY368YW-4-8_bin24-k141_617455_9,SY368YW-4-8_bin24,IdrA-associated,IS,SY368YW-4-8,SY368YW-4-8,k141_617455,k141_617455_9,k141_617455,0,+,7841,10504,K08356,arsenite oxidase large subunit,Target IdrA-like K08356,IdrA,True,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY368YW-4-8_bin24-k141_617455_9,SY368YW-4-8_bin24,IdrA-associated,IS,SY368YW-4-8,SY368YW-4-8,k141_617455,k141_617455_10,k141_617455,1,+,10563,11090,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY368YW-4-8_bin24-k141_617455_9,SY368YW-4-8_bin24,IdrA-associated,IS,SY368YW-4-8,SY368YW-4-8,k141_617455,k141_617455_11,k141_617455,2,+,12116,13582,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY368YW-4-8_bin24-k141_617455_9,SY368YW-4-8_bin24,IdrA-associated,IS,SY368YW-4-8,SY368YW-4-8,k141_617455,k141_617455_12,k141_617455,3,+,13600,14964,K22348,manganese oxidase,Annotated other,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY368YW-4-8_bin24-k141_617455_9,SY368YW-4-8_bin24,IdrA-associated,IS,SY368YW-4-8,SY368YW-4-8,k141_617455,k141_617455_13,k141_617455,4,+,15012,15716,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY368YW-4-8_bin24-k141_617455_9,SY368YW-4-8_bin24,IdrA-associated,IS,SY368YW-4-8,SY368YW-4-8,k141_617455,k141_617455_14,k141_617455,5,-,16194,16874,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY368YW-4-8_bin24-k141_617455_9,SY368YW-4-8_bin24,IdrA-associated,IS,SY368YW-4-8,SY368YW-4-8,k141_617455,k141_617455_15,k141_617455,6,+,16960,18366,K01812,glucuronate isomerase,Annotated other,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY368YW-4-8_bin24-k141_617455_9,SY368YW-4-8_bin24,IdrA-associated,IS,SY368YW-4-8,SY368YW-4-8,k141_617455,k141_617455_16,k141_617455,7,+,18401,19225,K01815,4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase,Annotated other,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY368YW-4-8_bin24-k141_617455_9,SY368YW-4-8_bin24,IdrA-associated,IS,SY368YW-4-8,SY368YW-4-8,k141_617455,k141_617455_17,k141_617455,8,+,19222,19953,K00065,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase,Redox/oxidoreductase,Redox,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY368YW-4-8_bin24-k141_617455_9,SY368YW-4-8_bin24,IdrA-associated,IS,SY368YW-4-8,SY368YW-4-8,k141_617455,k141_617455_18,k141_617455,9,+,19925,21061,K00040,fructuronate reductase,Annotated other,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY456YB-4-8_bin24-k141_314185_12,SY456YB-4-8_bin24,IdrA-associated,IS,SY456YB-4-8,SY456YB-4-8,k141_314185,k141_314185_2,k141_314185,-10,-,359,736,K01496,phosphoribosyl-AMP cyclohydrolase,Annotated other,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY456YB-4-8_bin24-k141_314185_12,SY456YB-4-8_bin24,IdrA-associated,IS,SY456YB-4-8,SY456YB-4-8,k141_314185,k141_314185_3,k141_314185,-9,-,740,1108,,,Hypothetical/unknown,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
SY456YB-4-8_bin24-k141_314185_12,SY456YB-4-8_bin24,IdrA-associated,IS,SY456YB-4-8,SY456YB-4-8,k141_314185,k141_314185_4,k141_314185,-8,-,1146,2486,K03667,ATP-dependent HslUV protease ATP-binding subunit HslU,Annotated other,,False,/home/ps/ps1/data/bihongyu/cold_seep/illu/all_fa/CDS/cat_result/cat_others
