target_id	MAG_ID	contig_id	target_gene_index	neighbor_gene_index	relative_position	role	neighbor_raw_id	start	end	strand	prodigal_attrs
C1_12-18_bin24-k141_2459344_2	C1_12-18_bin24	C1_12-18_bin24-k141_2459344	2	1	-1	upstream	C1_12-18_bin24-k141_2459344_1	1	417	+	ID=758_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.549
C1_12-18_bin24-k141_2459344_2	C1_12-18_bin24	C1_12-18_bin24-k141_2459344	2	2	0	target	C1_12-18_bin24-k141_2459344_2	428	2548	+	ID=758_2;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.551
C2_12-18_bin11-k141_1404867_2	C2_12-18_bin11	C2_12-18_bin11-k141_1404867	2	1	-1	upstream	C2_12-18_bin11-k141_1404867_1	3	332	+	ID=387_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.636
C2_12-18_bin11-k141_1404867_2	C2_12-18_bin11	C2_12-18_bin11-k141_1404867	2	2	0	target	C2_12-18_bin11-k141_1404867_2	340	3063	+	ID=387_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.609
C2_12-18_bin11-k141_1404867_2	C2_12-18_bin11	C2_12-18_bin11-k141_1404867	2	3	1	downstream	C2_12-18_bin11-k141_1404867_3	3196	5370	+	ID=387_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.642
C2_12-18_bin11-k141_1404867_2	C2_12-18_bin11	C2_12-18_bin11-k141_1404867	2	4	2	downstream	C2_12-18_bin11-k141_1404867_4	5415	6407	+	ID=387_4;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.616
C2_12-18_bin17-k141_1448372_1	C2_12-18_bin17	C2_12-18_bin17-k141_1448372	1	1	0	target	C2_12-18_bin17-k141_1448372_1	2	2542	-	ID=479_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.566
C2_12-18_bin17-k141_1448372_1	C2_12-18_bin17	C2_12-18_bin17-k141_1448372	1	2	1	downstream	C2_12-18_bin17-k141_1448372_2	2627	3184	-	ID=479_2;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.568
C2_12-18_bin17-k141_1448372_1	C2_12-18_bin17	C2_12-18_bin17-k141_1448372	1	3	2	downstream	C2_12-18_bin17-k141_1448372_3	3185	4417	-	ID=479_3;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.545
R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19	R2111_S300_0-10_bin19-k141_825759	6	1	-5	upstream	R2111_S300_0-10_bin19-k141_825759_1	2	730	+	ID=60_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.615
R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19	R2111_S300_0-10_bin19-k141_825759	6	2	-4	upstream	R2111_S300_0-10_bin19-k141_825759_2	734	1177	+	ID=60_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.586
R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19	R2111_S300_0-10_bin19-k141_825759	6	3	-3	upstream	R2111_S300_0-10_bin19-k141_825759_3	1181	2848	+	ID=60_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.589
R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19	R2111_S300_0-10_bin19-k141_825759	6	4	-2	upstream	R2111_S300_0-10_bin19-k141_825759_4	2845	3687	-	ID=60_4;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.591
R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19	R2111_S300_0-10_bin19-k141_825759	6	5	-1	upstream	R2111_S300_0-10_bin19-k141_825759_5	3677	3775	-	ID=60_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.657
R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19	R2111_S300_0-10_bin19-k141_825759	6	6	0	target	R2111_S300_0-10_bin19-k141_825759_6	3805	4716	-	ID=60_6;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.623
R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19	R2111_S300_0-10_bin19-k141_825759	6	7	1	downstream	R2111_S300_0-10_bin19-k141_825759_7	4713	5708	-	ID=60_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.653
R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19	R2111_S300_0-10_bin19-k141_825759	6	8	2	downstream	R2111_S300_0-10_bin19-k141_825759_8	5705	8194	-	ID=60_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.606
R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19	R2111_S300_0-10_bin19-k141_825759	6	9	3	downstream	R2111_S300_0-10_bin19-k141_825759_9	8198	8704	-	ID=60_9;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.611
R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19	R2111_S300_0-10_bin19-k141_825759	6	10	4	downstream	R2111_S300_0-10_bin19-k141_825759_10	8821	9150	-	ID=60_10;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.555
R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19	R2111_S300_0-10_bin19-k141_825759	6	11	5	downstream	R2111_S300_0-10_bin19-k141_825759_11	9301	9621	-	ID=60_11;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.595
R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19	R2111_S300_0-10_bin19-k141_825759	6	12	6	downstream	R2111_S300_0-10_bin19-k141_825759_12	9624	10835	-	ID=60_12;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.567
R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19	R2111_S300_0-10_bin19-k141_825759	6	13	7	downstream	R2111_S300_0-10_bin19-k141_825759_13	11412	11984	-	ID=60_13;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.532
R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19	R2111_S300_0-10_bin19-k141_825759	6	14	8	downstream	R2111_S300_0-10_bin19-k141_825759_14	12597	13577	+	ID=60_14;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.625
R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19	R2111_S300_0-10_bin19-k141_825759	6	15	9	downstream	R2111_S300_0-10_bin19-k141_825759_15	13612	14604	+	ID=60_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.585
R2111_S300_0-10_bin19-k141_825759_6	R2111_S300_0-10_bin19	R2111_S300_0-10_bin19-k141_825759	6	16	10	downstream	R2111_S300_0-10_bin19-k141_825759_16	14795	15088	+	ID=60_16;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.616
R2111_S300_0-10_bin6-k141_8337747_2	R2111_S300_0-10_bin6	R2111_S300_0-10_bin6-k141_8337747	2	1	-1	upstream	R2111_S300_0-10_bin6-k141_8337747_1	2	712	+	ID=579_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.615
R2111_S300_0-10_bin6-k141_8337747_2	R2111_S300_0-10_bin6	R2111_S300_0-10_bin6-k141_8337747	2	2	0	target	R2111_S300_0-10_bin6-k141_8337747_2	761	2014	+	ID=579_2;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.609
S13_0-2_bin3-k141_1059512_3	S13_0-2_bin3	S13_0-2_bin3-k141_1059512	3	1	-2	upstream	S13_0-2_bin3-k141_1059512_1	3	746	+	ID=441_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.636
S13_0-2_bin3-k141_1059512_3	S13_0-2_bin3	S13_0-2_bin3-k141_1059512	3	2	-1	upstream	S13_0-2_bin3-k141_1059512_2	743	1288	+	ID=441_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.639
S13_0-2_bin3-k141_1059512_3	S13_0-2_bin3	S13_0-2_bin3-k141_1059512	3	3	0	target	S13_0-2_bin3-k141_1059512_3	1301	3430	+	ID=441_3;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.633
S15_8-10_bin20-k141_2063280_11	S15_8-10_bin20	S15_8-10_bin20-k141_2063280	11	1	-10	upstream	S15_8-10_bin20-k141_2063280_1	2	418	-	ID=290_1;partial=10;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.532
S15_8-10_bin20-k141_2063280_11	S15_8-10_bin20	S15_8-10_bin20-k141_2063280	11	2	-9	upstream	S15_8-10_bin20-k141_2063280_2	408	1367	-	ID=290_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.511
S15_8-10_bin20-k141_2063280_11	S15_8-10_bin20	S15_8-10_bin20-k141_2063280	11	3	-8	upstream	S15_8-10_bin20-k141_2063280_3	1631	2101	-	ID=290_3;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.486
S15_8-10_bin20-k141_2063280_11	S15_8-10_bin20	S15_8-10_bin20-k141_2063280	11	4	-7	upstream	S15_8-10_bin20-k141_2063280_4	2661	3800	+	ID=290_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.547
S15_8-10_bin20-k141_2063280_11	S15_8-10_bin20	S15_8-10_bin20-k141_2063280	11	5	-6	upstream	S15_8-10_bin20-k141_2063280_5	3800	4489	+	ID=290_5;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.578
S15_8-10_bin20-k141_2063280_11	S15_8-10_bin20	S15_8-10_bin20-k141_2063280	11	6	-5	upstream	S15_8-10_bin20-k141_2063280_6	4479	5681	+	ID=290_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.564
S15_8-10_bin20-k141_2063280_11	S15_8-10_bin20	S15_8-10_bin20-k141_2063280	11	7	-4	upstream	S15_8-10_bin20-k141_2063280_7	6145	7344	+	ID=290_7;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.541
S15_8-10_bin20-k141_2063280_11	S15_8-10_bin20	S15_8-10_bin20-k141_2063280	11	8	-3	upstream	S15_8-10_bin20-k141_2063280_8	7419	7628	+	ID=290_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.495
S15_8-10_bin20-k141_2063280_11	S15_8-10_bin20	S15_8-10_bin20-k141_2063280	11	9	-2	upstream	S15_8-10_bin20-k141_2063280_9	7710	8507	+	ID=290_9;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.490
S15_8-10_bin20-k141_2063280_11	S15_8-10_bin20	S15_8-10_bin20-k141_2063280	11	10	-1	upstream	S15_8-10_bin20-k141_2063280_10	8504	9670	+	ID=290_10;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.496
S15_8-10_bin20-k141_2063280_11	S15_8-10_bin20	S15_8-10_bin20-k141_2063280	11	11	0	target	S15_8-10_bin20-k141_2063280_11	9811	12504	-	ID=290_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.510
S1_6-9_bin10-k141_481815_1	S1_6-9_bin10	S1_6-9_bin10-k141_481815	1	1	0	target	S1_6-9_bin10-k141_481815_1	2	1537	+	ID=198_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.571
S1_6-9_bin10-k141_876983_1	S1_6-9_bin10	S1_6-9_bin10-k141_876983	1	1	0	target	S1_6-9_bin10-k141_876983_1	2	1834	+	ID=783_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.564
S1_6-9_bin10-k141_876983_1	S1_6-9_bin10	S1_6-9_bin10-k141_876983	1	2	1	downstream	S1_6-9_bin10-k141_876983_2	2387	2836	-	ID=783_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.589
S1_6-9_bin10-k141_876983_1	S1_6-9_bin10	S1_6-9_bin10-k141_876983	1	3	2	downstream	S1_6-9_bin10-k141_876983_3	2833	3042	-	ID=783_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.576
S1_6-9_bin9-k141_583308_1	S1_6-9_bin9	S1_6-9_bin9-k141_583308	1	1	0	target	S1_6-9_bin9-k141_583308_1	3	1616	+	ID=143_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.455
S1_6-9_bin9-k141_583308_1	S1_6-9_bin9	S1_6-9_bin9-k141_583308	1	2	1	downstream	S1_6-9_bin9-k141_583308_2	2024	3298	-	ID=143_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.351
S1_6-9_bin9-k141_583308_1	S1_6-9_bin9	S1_6-9_bin9-k141_583308	1	3	2	downstream	S1_6-9_bin9-k141_583308_3	3361	3711	-	ID=143_3;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.399
S1_6-9_bin9-k141_583308_1	S1_6-9_bin9	S1_6-9_bin9-k141_583308	1	4	3	downstream	S1_6-9_bin9-k141_583308_4	3743	7975	-	ID=143_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
S1_6-9_bin9-k141_583308_1	S1_6-9_bin9	S1_6-9_bin9-k141_583308	1	5	4	downstream	S1_6-9_bin9-k141_583308_5	8255	9637	+	ID=143_5;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.435
S1_9-12_bin1-k141_637215_2	S1_9-12_bin1	S1_9-12_bin1-k141_637215	2	1	-1	upstream	S1_9-12_bin1-k141_637215_1	1	99	+	ID=95_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.495
S1_9-12_bin1-k141_637215_2	S1_9-12_bin1	S1_9-12_bin1-k141_637215	2	2	0	target	S1_9-12_bin1-k141_637215_2	1070	1588	+	ID=95_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.499
S1_9-12_bin1-k141_637215_2	S1_9-12_bin1	S1_9-12_bin1-k141_637215	2	3	1	downstream	S1_9-12_bin1-k141_637215_3	1613	4084	+	ID=95_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.474
S1_9-12_bin1-k141_637215_2	S1_9-12_bin1	S1_9-12_bin1-k141_637215	2	4	2	downstream	S1_9-12_bin1-k141_637215_4	4246	5181	+	ID=95_4;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.394
S1_9-12_bin1-k141_675749_2	S1_9-12_bin1	S1_9-12_bin1-k141_675749	2	1	-1	upstream	S1_9-12_bin1-k141_675749_1	17	619	+	ID=334_1;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.469
S1_9-12_bin1-k141_675749_2	S1_9-12_bin1	S1_9-12_bin1-k141_675749	2	2	0	target	S1_9-12_bin1-k141_675749_2	629	2842	+	ID=334_2;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.442
SQ_58_0-4_bin4-k141_1629246_3	SQ_58_0-4_bin4	SQ_58_0-4_bin4-k141_1629246	3	1	-2	upstream	SQ_58_0-4_bin4-k141_1629246_1	51	533	-	ID=94_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.644
SQ_58_0-4_bin4-k141_1629246_3	SQ_58_0-4_bin4	SQ_58_0-4_bin4-k141_1629246	3	2	-1	upstream	SQ_58_0-4_bin4-k141_1629246_2	591	1172	+	ID=94_2;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.646
SQ_58_0-4_bin4-k141_1629246_3	SQ_58_0-4_bin4	SQ_58_0-4_bin4-k141_1629246	3	3	0	target	SQ_58_0-4_bin4-k141_1629246_3	1169	3667	+	ID=94_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.638
SQ_81_0-4_bin5-k141_112333_1	SQ_81_0-4_bin5	SQ_81_0-4_bin5-k141_112333	1	1	0	target	SQ_81_0-4_bin5-k141_112333_1	3	1643	-	ID=5_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.530
SQ_81_0-4_bin5-k141_112333_1	SQ_81_0-4_bin5	SQ_81_0-4_bin5-k141_112333	1	2	1	downstream	SQ_81_0-4_bin5-k141_112333_2	1658	2209	-	ID=5_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.513
SY365BB-0-4_bin24-k141_346659_3	SY365BB-0-4_bin24	SY365BB-0-4_bin24-k141_346659	3	1	-2	upstream	SY365BB-0-4_bin24-k141_346659_1	3	140	+	ID=174_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.558
SY365BB-0-4_bin24-k141_346659_3	SY365BB-0-4_bin24	SY365BB-0-4_bin24-k141_346659	3	2	-1	upstream	SY365BB-0-4_bin24-k141_346659_2	137	757	+	ID=174_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.593
SY365BB-0-4_bin24-k141_346659_3	SY365BB-0-4_bin24	SY365BB-0-4_bin24-k141_346659	3	3	0	target	SY365BB-0-4_bin24-k141_346659_3	760	3468	+	ID=174_3;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.595
SY365BB-0-4_bin24-k141_346659_3	SY365BB-0-4_bin24	SY365BB-0-4_bin24-k141_346659	3	4	1	downstream	SY365BB-0-4_bin24-k141_346659_4	3636	3926	+	ID=174_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.557
SY365BB-0-4_bin24-k141_346659_3	SY365BB-0-4_bin24	SY365BB-0-4_bin24-k141_346659	3	5	2	downstream	SY365BB-0-4_bin24-k141_346659_5	4138	4365	-	ID=174_5;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.482
SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10	SY365BB-8-12_bin10-k141_688982	32	22	-10	upstream	SY365BB-8-12_bin10-k141_688982_22	17766	18068	+	ID=34_22;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.442
SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10	SY365BB-8-12_bin10-k141_688982	32	23	-9	upstream	SY365BB-8-12_bin10-k141_688982_23	18320	18442	+	ID=34_23;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.496
SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10	SY365BB-8-12_bin10-k141_688982	32	24	-8	upstream	SY365BB-8-12_bin10-k141_688982_24	18456	20213	+	ID=34_24;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.527
SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10	SY365BB-8-12_bin10-k141_688982	32	25	-7	upstream	SY365BB-8-12_bin10-k141_688982_25	20210	21343	+	ID=34_25;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.525
SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10	SY365BB-8-12_bin10-k141_688982	32	26	-6	upstream	SY365BB-8-12_bin10-k141_688982_26	21353	23629	+	ID=34_26;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.522
SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10	SY365BB-8-12_bin10-k141_688982	32	27	-5	upstream	SY365BB-8-12_bin10-k141_688982_27	23704	24219	+	ID=34_27;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.424
SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10	SY365BB-8-12_bin10-k141_688982	32	28	-4	upstream	SY365BB-8-12_bin10-k141_688982_28	24216	24977	+	ID=34_28;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.457
