sample_habitat	final_clade	final_clade_name	research_category	feature_name	source_type	n_samples	n_unique_MAG	total_host_TPM_all_samples	mean_total_host_TPM_per_sample	median_total_host_TPM_per_sample	mean_functional_host_TPM_50_per_sample	n_samples_host_detected	sample_host_detection_prevalence_pct	sample_functional_detection_prevalence_50_pct	abundance_weighted_score_pct	dual_MAG_excluded	reference_bias_note	score_aggregation_note	plot_label	prevalence_plot	weighted_score_plot
AS	Clade 3	IdrA-associated without complete DIRM-like synteny	Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	14	19	1085232.09192	77516.5779942857	51799.19093	183.185335714286	12	85.7142857142857	7.14285714285714	18.3355689656672	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Carbon | Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	7.14285714285714	18.3355689656672
AS	Clade 3	IdrA-associated without complete DIRM-like synteny	Carbon	Pyruvate oxidation, pyruvate => acetyl-CoA	Previous algorithm: distinct-gene set coverage	14	19	1085232.09192	77516.5779942857	51799.19093	2965.23016428571	12	85.7142857142857	28.5714285714286	22.0489175450223	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Carbon | Pyruvate oxidation, pyruvate => acetyl-CoA	28.5714285714286	22.0489175450223
AS	Clade 3	IdrA-associated without complete DIRM-like synteny	Carbon	TCA /Reductive TCA	Previous algorithm: distinct-gene set coverage	14	19	1085232.09192	77516.5779942857	51799.19093	3100.50316428571	12	85.7142857142857	21.4285714285714	5.32723254009654	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Carbon | TCA /Reductive TCA	21.4285714285714	5.32723254009654
AS	Clade 3	IdrA-associated without complete DIRM-like synteny	Motility	Flagellar Assembly (partial 36-KO reconstruction)	Previous algorithm: distinct-gene set coverage	14	19	1085232.09192	77516.5779942857	51799.19093	2861.80312857143	12	85.7142857142857	35.7142857142857	4.49363479847452	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Motility | Flagellar Assembly (partial 36-KO reconstruction)	35.7142857142857	4.49363479847452
AS	Clade 3	IdrA-associated without complete DIRM-like synteny	Nitrogen	Denitrification, nitrate => nitrogen	Previous algorithm: distinct-gene set coverage	14	19	1085232.09192	77516.5779942857	51799.19093	46359.6545571429	12	85.7142857142857	57.1428571428571	35.6361006257294	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Nitrogen | Denitrification, nitrate => nitrogen	57.1428571428571	35.6361006257294
AS	Clade 3	IdrA-associated without complete DIRM-like synteny	Nitrogen	Dissimilatory nitrate reduction, nitrate => ammonia	Previous algorithm: distinct-gene set coverage	14	19	1085232.09192	77516.5779942857	51799.19093	2582.10028571429	12	85.7142857142857	21.4285714285714	28.6610826501261	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Nitrogen | Dissimilatory nitrate reduction, nitrate => ammonia	21.4285714285714	28.6610826501261
AS	Clade 3	IdrA-associated without complete DIRM-like synteny	Nitrogen	Nitrate assimilation	Previous algorithm: distinct-gene set coverage	14	19	1085232.09192	77516.5779942857	51799.19093	14302.5671521429	12	85.7142857142857	78.5714285714286	24.042498546098	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Nitrogen | Nitrate assimilation	78.5714285714286	24.042498546098
AS	Clade 3	IdrA-associated without complete DIRM-like synteny	Nitrogen	Urea cycle	Previous algorithm: distinct-gene set coverage	14	19	1085232.09192	77516.5779942857	51799.19093	67995.9766628571	12	85.7142857142857	85.7142857142857	46.8282203249945	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Nitrogen | Urea cycle	85.7142857142857	46.8282203249945
AS	Clade 3	IdrA-associated without complete DIRM-like synteny	Nitrogen	Urea transport system	Previous algorithm: distinct-gene set coverage	14	19	1085232.09192	77516.5779942857	51799.19093	79.7583	12	85.7142857142857	7.14285714285714	0.44146132504842	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Nitrogen | Urea transport system	7.14285714285714	0.44146132504842
AS	Clade 3	IdrA-associated without complete DIRM-like synteny	Sulfur	Assimilatory sulfate reduction, sulfate => H2S	Previous algorithm: distinct-gene set coverage	14	19	1085232.09192	77516.5779942857	51799.19093	79.7583	12	85.7142857142857	7.14285714285714	10.7309352894966	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Sulfur | Assimilatory sulfate reduction, sulfate => H2S	7.14285714285714	10.7309352894966
AS	Clade 3	IdrA-associated without complete DIRM-like synteny	Sulfur	Dissimilatory sulfate reduction, sulfate => H2S	Previous algorithm: distinct-gene set coverage	14	19	1085232.09192	77516.5779942857	51799.19093	49620.6512907143	12	85.7142857142857	71.4285714285714	43.1455347547604	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Sulfur | Dissimilatory sulfate reduction, sulfate => H2S	71.4285714285714	43.1455347547604
AS	Clade 3	IdrA-associated without complete DIRM-like synteny	Sulfur	Sulfonate transport system	Previous algorithm: distinct-gene set coverage	14	19	1085232.09192	77516.5779942857	51799.19093	2737.59962142857	12	85.7142857142857	28.5714285714286	15.4365691327974	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Sulfur | Sulfonate transport system	28.5714285714286	15.4365691327974
AS	Clade 3	IdrA-associated without complete DIRM-like synteny	Sulfur	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	Previous algorithm: distinct-gene set coverage	14	19	1085232.09192	77516.5779942857	51799.19093	57361.8946185714	12	85.7142857142857	78.5714285714286	35.0287469545173	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Sulfur | Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	78.5714285714286	35.0287469545173
AS	Clade 3	IdrA-associated without complete DIRM-like synteny	Vitamin B12	Cobalamin biosynthesis, cobinamide => cobalamin	Previous algorithm: distinct-gene set coverage	14	19	1085232.09192	77516.5779942857	51799.19093	47318.2538478571	12	85.7142857142857	64.2857142857143	28.6832411814233	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Vitamin B12 | Cobalamin biosynthesis, cobinamide => cobalamin	64.2857142857143	28.6832411814233
AS	Clade 3	IdrA-associated without complete DIRM-like synteny	Vitamin B12	Cobalamin biosynthesis, precorrin2 => cobinamide	Previous algorithm: distinct-gene set coverage	14	19	1085232.09192	77516.5779942857	51799.19093	262.943635714286	12	85.7142857142857	14.2857142857143	12.9201882900498	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Vitamin B12 | Cobalamin biosynthesis, precorrin2 => cobinamide	14.2857142857143	12.9201882900498
AS	Clade 4	IdrA-associated with DIRM-like synteny	Arsenic	Arsenate detoxification/resistance (arsC) marker carriage	Independent non-focal arsenic HMM-marker carriage	14	20	3017.6885	215.549178571429	0	215.549178571429	1	7.14285714285714	7.14285714285714	100	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Arsenic | Arsenate detoxification/resistance (arsC) marker carriage	7.14285714285714	100
AS	Clade 4	IdrA-associated with DIRM-like synteny	Motility	Flagellar Assembly (partial 36-KO reconstruction)	Previous algorithm: distinct-gene set coverage	14	20	3017.6885	215.549178571429	0	215.549178571429	1	7.14285714285714	7.14285714285714	61.1111111111111	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Motility | Flagellar Assembly (partial 36-KO reconstruction)	7.14285714285714	61.1111111111111
AS	Clade 4	IdrA-associated with DIRM-like synteny	Sulfur	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	Previous algorithm: distinct-gene set coverage	14	20	3017.6885	215.549178571429	0	215.549178571429	1	7.14285714285714	7.14285714285714	85.7142857142857	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Sulfur | Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	7.14285714285714	85.7142857142857
AS	Clade 4	IdrA-associated with DIRM-like synteny	Vitamin B12	Cobalamin biosynthesis, cobinamide => cobalamin	Previous algorithm: distinct-gene set coverage	14	20	3017.6885	215.549178571429	0	215.549178571429	1	7.14285714285714	7.14285714285714	75	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Vitamin B12 | Cobalamin biosynthesis, cobinamide => cobalamin	7.14285714285714	75
AS	Clade 4	IdrA-associated with DIRM-like synteny	Vitamin B12	Cobalamin biosynthesis, precorrin2 => cobinamide	Previous algorithm: distinct-gene set coverage	14	20	3017.6885	215.549178571429	0	215.549178571429	1	7.14285714285714	7.14285714285714	52	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Vitamin B12 | Cobalamin biosynthesis, precorrin2 => cobinamide	7.14285714285714	52
ES	Clade 1	Canonical AioA-associated	Carbon	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Previous algorithm: distinct-gene set coverage	13	3	167423.26937	12878.7130284615	9308.539	1778.67130769231	13	100	15.3846153846154	7.69230769230769	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Carbon | Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	15.3846153846154	7.69230769230769
ES	Clade 1	Canonical AioA-associated	Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	13	3	167423.26937	12878.7130284615	9308.539	1778.67130769231	13	100	15.3846153846154	42.948717948718	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Carbon | Glycolysis, core module involving three-carbon compounds	15.3846153846154	42.948717948718
ES	Clade 1	Canonical AioA-associated	Nitrogen	Nitrate assimilation	Previous algorithm: distinct-gene set coverage	13	3	167423.26937	12878.7130284615	9308.539	11100.0417207692	13	100	84.6153846153846	84.6153846153846	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Nitrogen | Nitrate assimilation	84.6153846153846	84.6153846153846
ES	Clade 1	Canonical AioA-associated	Nitrogen	Urea cycle	Previous algorithm: distinct-gene set coverage	13	3	167423.26937	12878.7130284615	9308.539	12878.7130284615	13	100	100	52.5641025641026	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Nitrogen | Urea cycle	100	52.5641025641026
ES	Clade 1	Canonical AioA-associated	Sulfur	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	Previous algorithm: distinct-gene set coverage	13	3	167423.26937	12878.7130284615	9308.539	11100.0417207692	13	100	84.6153846153846	54.9450549450549	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Sulfur | Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	84.6153846153846	54.9450549450549
ES	Clade 2	Unknown/uncertain DMSOR	Nitrogen	Nitrate assimilation	Previous algorithm: distinct-gene set coverage	13	7	134495.54255	10345.8109653846	1972.18645	5097.4472	8	61.5384615384615	46.1538461538462	54.167300489822	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Nitrogen | Nitrate assimilation	46.1538461538462	54.167300489822
ES	Clade 3	IdrA-associated without complete DIRM-like synteny	Arsenic	Arsenate detoxification/resistance (arsC) marker carriage	Independent non-focal arsenic HMM-marker carriage	13	19	811380.80185	62413.9078346154	33964.22677	35963.4038630769	13	100	100	35.5081018120694	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Arsenic | Arsenate detoxification/resistance (arsC) marker carriage	100	35.5081018120694
ES	Clade 3	IdrA-associated without complete DIRM-like synteny	Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	13	19	811380.80185	62413.9078346154	33964.22677	33473.3103623077	13	100	92.3076923076923	43.6113132214567	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Carbon | Glycolysis, core module involving three-carbon compounds	92.3076923076923	43.6113132214567
ES	Clade 3	IdrA-associated without complete DIRM-like synteny	Carbon	Pyruvate oxidation, pyruvate => acetyl-CoA	Previous algorithm: distinct-gene set coverage	13	19	811380.80185	62413.9078346154	33964.22677	2585.64642846154	13	100	46.1538461538462	19.501839303128	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Carbon | Pyruvate oxidation, pyruvate => acetyl-CoA	46.1538461538462	19.501839303128
ES	Clade 3	IdrA-associated without complete DIRM-like synteny	Carbon	TCA /Reductive TCA	Previous algorithm: distinct-gene set coverage	13	19	811380.80185	62413.9078346154	33964.22677	6219.54806	13	100	84.6153846153846	12.7585904192241	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Carbon | TCA /Reductive TCA	84.6153846153846	12.7585904192241
ES	Clade 3	IdrA-associated without complete DIRM-like synteny	Motility	Flagellar Assembly (partial 36-KO reconstruction)	Previous algorithm: distinct-gene set coverage	13	19	811380.80185	62413.9078346154	33964.22677	2585.64642846154	13	100	46.1538461538462	3.88029341135929	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Motility | Flagellar Assembly (partial 36-KO reconstruction)	46.1538461538462	3.88029341135929
ES	Clade 3	IdrA-associated without complete DIRM-like synteny	Nitrogen	Denitrification, nitrate => nitrogen	Previous algorithm: distinct-gene set coverage	13	19	811380.80185	62413.9078346154	33964.22677	23511.8292307692	13	100	7.69230769230769	29.4730886455488	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Nitrogen | Denitrification, nitrate => nitrogen	7.69230769230769	29.4730886455488
ES	Clade 3	IdrA-associated without complete DIRM-like synteny	Nitrogen	Dissimilatory nitrate reduction, nitrate => ammonia	Previous algorithm: distinct-gene set coverage	13	19	811380.80185	62413.9078346154	33964.22677	2585.64642846154	13	100	46.1538461538462	26.9339828308712	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Nitrogen | Dissimilatory nitrate reduction, nitrate => ammonia	46.1538461538462	26.9339828308712
ES	Clade 3	IdrA-associated without complete DIRM-like synteny	Nitrogen	Nitrate assimilation	Previous algorithm: distinct-gene set coverage	13	19	811380.80185	62413.9078346154	33964.22677	13685.6881492308	13	100	84.6153846153846	33.9113925268071	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Nitrogen | Nitrate assimilation	84.6153846153846	33.9113925268071
ES	Clade 3	IdrA-associated without complete DIRM-like synteny	Nitrogen	Urea cycle	Previous algorithm: distinct-gene set coverage	13	19	811380.80185	62413.9078346154	33964.22677	56017.2059861538	13	100	100	48.8097495223962	FALSE	Descriptive only: target MAGs were quantified within four different background references (IS 315, AS 128, ES 252, NS 156 MAGs)	Each sample is equally weighted: calculate sum(TPM*score)/sum(TPM) within detected hosts per sample, then average non-missing sample scores within habitat; host-nondetection samples are NA for fill	Nitrogen | Urea cycle	100	48.8097495223962
